Date,Previous Settlement
2020-02-17,7046.0
2020-02-14,7047.0
2020-02-13,7009.0
2020-02-12,7000.0
2020-02-11,6971.0
2020-02-10,6926.0
2020-02-07,6935.0
2020-02-06,6960.0
2020-02-05,6888.0
2020-02-04,6868.0
2020-02-03,6837.0
2020-01-31,6933.0
2020-01-30,6918.0
2020-01-29,6943.0
2020-01-28,6917.0
2020-01-27,6981.0
2020-01-24,7011.0
2020-01-23,7008.0
2020-01-22,7054.0
2020-01-21,6986.0
2020-01-20,7004.0
2020-01-17,6986.0
2020-01-16,6967.0
2020-01-15,6908.0
2020-01-14,6887.0
2020-01-13,6819.0
2020-01-10,6847.0
2020-01-09,6793.0
2020-01-08,6729.0
2020-01-07,6741.0
2020-01-06,6651.0
2020-01-03,6638.0
2020-01-02,6601.0
2019-12-31,6580.0
2019-12-30,6718.0
2019-12-27,6721.0
2019-12-24,6687.0
2019-12-23,6692.0
2019-12-21,6752.0
2019-12-20,6729.0
2019-12-19,6772.0
2019-12-18,6793.0
2019-12-17,6781.0
2019-12-16,6782.0
2019-12-14,6675.0
2019-12-13,6675.0
2019-12-12,6636.0
2019-12-11,6683.0
2019-12-10,6647.0
2019-12-09,6659.0
2019-12-07,6632.0
2019-12-06,6632.0
2019-12-05,6609.0
2019-12-04,6541.0
2019-12-03,6629.0
2019-12-02,6797.0
2019-11-30,6786.0
2019-11-29,6786.0
2019-11-28,6802.0
2019-11-27,6788.0
2019-11-26,6724.0
2019-11-25,6670.0
2019-11-23,6649.0
2019-11-22,6649.0
2019-11-21,6600.0
2019-11-20,6645.0
2019-11-19,6749.0
2019-11-18,6703.0
2019-11-16,6725.0
2019-11-15,6725.0
2019-11-14,6667.0
2019-11-13,6619.0
2019-11-12,6672.0
2019-11-11,6692.0
2019-11-09,6627.0
2019-11-08,6627.0
2019-11-07,6630.0
2019-11-06,6557.0
2019-11-05,6594.0
2019-11-04,6584.0
2019-11-02,6573.0
2019-11-01,6573.0
2019-10-31,6566.0
2019-10-30,6596.0
2019-10-29,6648.0
2019-10-28,6642.0
2019-10-26,6639.0
2019-10-25,6639.0
2019-10-24,6595.0
2019-10-23,6569.0
2019-10-22,6570.0
2019-10-21,6542.0
2019-10-19,6539.0
2019-10-18,6539.0
2019-10-17,6588.0
2019-10-16,6641.0
2019-10-15,6554.0
2019-10-14,6546.0
2019-10-12,6504.0
2019-10-11,6504.0
2019-10-10,6451.0
2019-10-09,6437.0
2019-10-08,6489.0
2019-10-07,6462.0
2019-10-05,6410.0
2019-10-04,6410.0
