Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-02-14,56.5,57.42,56.15,57.2,0.82,56.91,170909.0,387473.0,,,7603.0
2020-02-13,55.8,56.82,55.15,56.38,0.47,56.05,215611.0,355665.0,,,7399.0
2020-02-12,54.62,56.45,54.53,55.91,1.7,55.73,198173.0,332731.0,,,4306.0
2020-02-11,53.79,54.89,53.79,54.21,0.64,54.41,159582.0,310386.0,,,6683.0
2020-02-10,54.7,55.03,53.42,53.57,-1.23,54.15,164243.0,272390.0,,,1028.0
2020-02-07,55.51,55.73,54.57,54.8,-0.46,55.05,142662.0,266844.0,,,1986.0
2020-02-06,55.76,56.72,54.54,55.26,-0.17,55.45,211868.0,263649.0,,,5247.0
2020-02-05,54.23,56.55,54.2,55.43,1.3,55.55,208562.0,250913.0,,,2530.0
2020-02-04,54.5,55.79,53.86,54.13,-0.48,54.96,190612.0,243112.0,,,2220.0
2020-02-03,55.89,56.6,54.22,54.61,-1.81,55.54,226117.0,235214.0,,,2837.0
2020-01-31,58.02,58.21,55.8,56.42,-0.58,56.73,194286.0,224550.0,682.0,,9470.0
2020-01-30,58.71,58.75,56.74,57.33,-1.58,57.57,442041.0,547239.0,4800.0,,13410.0
2020-01-29,59.02,59.84,58.38,58.91,0.1,59.09,316349.0,548136.0,3600.0,,5036.0
2020-01-28,58.24,59.39,57.9,58.81,0.23,58.66,299110.0,553956.0,3000.0,,6703.0
2020-01-27,60.16,60.16,57.74,58.58,-1.31,58.33,274864.0,545929.0,3000.0,,3980.0
2020-01-24,61.2,61.68,59.48,59.89,-1.39,60.3,210061.0,512850.0,,,13279.0
2020-01-23,61.8,61.92,60.54,61.28,-1.17,61.18,275270.0,459775.0,949.0,,15593.0
2020-01-22,63.71,63.81,61.86,62.45,-1.38,62.82,186034.0,447903.0,,,6347.0
2020-01-21,64.45,64.48,63.25,63.83,-0.51,63.77,156050.0,423885.0,10200.0,,4082.0
2020-01-20,64.91,65.14,64.1,64.34,0.31,64.48,112372.0,410349.0,,,2275.0
2020-01-17,63.98,64.53,63.68,64.03,0.22,64.0,186115.0,377395.0,,,2008.0
2020-01-16,63.4,64.13,63.13,63.81,0.6,63.71,150226.0,364127.0,,,4783.0
2020-01-15,63.7,63.84,62.8,63.21,-0.5,63.36,143834.0,348575.0,,,1271.0
2020-01-14,63.66,64.25,63.2,63.71,0.23,63.8,155762.0,330549.0,,,2981.0
2020-01-13,64.32,64.53,63.22,63.48,-0.77,63.89,133886.0,316814.0,,,3631.0
2020-01-10,64.66,64.92,64.12,64.25,-0.41,64.51,149958.0,297871.0,,,5744.0
2020-01-09,65.17,65.43,63.91,64.66,-0.13,64.68,185401.0,278263.0,,,2037.0
2020-01-08,70.4,70.99,64.29,64.79,-2.78,67.0,265286.0,263386.0,,,4745.0
2020-01-07,67.77,67.94,66.95,67.57,-0.5,67.49,141186.0,247532.0,,,1603.0
2020-01-06,68.34,69.8,67.4,68.07,0.31,68.57,148601.0,234327.0,,,3912.0
2020-01-03,65.74,68.71,65.54,67.76,2.2,67.71,198877.0,232968.0,,,3784.0
2020-01-02,65.52,65.87,65.04,65.56,,65.46,76473.0,227509.0,,,4712.0
2019-12-31,65.92,66.21,64.95,65.29,-0.7,65.62,53320.0,227072.0,,,1485.0
2019-12-30,66.35,66.88,65.4,65.99,-0.15,66.26,67268.0,220666.0,,,2134.0
2019-12-27,66.8,67.08,66.36,66.87,0.11,66.84,219575.0,643293.0,,,2790.0
2019-12-26,66.29,66.84,66.12,66.76,,66.49,113107.0,633469.0,,,786.0
2019-12-24,65.51,66.19,65.38,66.16,0.74,65.77,109339.0,629395.0,,,944.0
2019-12-23,65.24,65.64,64.87,65.42,0.22,65.25,127835.0,622939.0,,,2786.0
2019-12-20,65.65,65.76,64.8,65.2,-0.39,65.32,195078.0,611053.0,5044.0,,3270.0
2019-12-19,65.27,65.83,65.13,65.59,0.36,65.46,220711.0,573085.0,6997.0,,12426.0
2019-12-18,64.88,65.49,64.64,65.23,0.08,65.04,200709.0,533807.0,,,15462.0
2019-12-17,64.39,65.28,64.24,65.15,0.74,64.8,196723.0,495708.0,,,4466.0
2019-12-16,64.01,64.7,63.94,64.41,0.16,64.44,128627.0,479093.0,,,2137.0
2019-12-13,63.6,64.83,63.56,64.25,0.97,64.03,148208.0,462403.0,,,3394.0
2019-12-12,62.94,63.86,62.92,63.28,0.46,63.33,164398.0,441902.0,600.0,,767.0
2019-12-11,63.1,63.36,62.16,62.82,-0.64,62.79,160053.0,411714.0,,,608.0
2019-12-10,63.07,63.72,62.87,63.46,0.18,63.33,162360.0,382607.0,250.0,,5980.0
2019-12-09,63.34,63.51,62.64,63.28,-0.11,63.15,130908.0,373436.0,985.0,,3893.0
2019-12-06,62.54,63.91,61.91,63.39,0.91,63.0,179471.0,353492.0,,,4516.0
2019-12-05,62.11,63.03,61.95,62.48,0.28,62.52,148804.0,340554.0,,,1448.0
2019-12-04,60.3,62.67,60.25,62.2,2.09,61.79,165103.0,332104.0,600.0,,3561.0
2019-12-03,60.35,60.84,59.59,60.11,-0.12,60.18,114399.0,325082.0,,,3076.0
2019-12-02,60.12,61.38,60.08,60.23,0.38,60.69,143984.0,318238.0,,,6596.0
2019-11-29,62.52,62.54,59.7,59.85,-2.76,60.96,94681.0,312567.0,,,1266.0
