Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,30.21,30.43,30.21,30.3,0.15,30.37,22351.0,13702.0
2019-11-26,30.46,30.52,30.12,30.4,0.22,30.22,48292.0,25546.0
2019-11-25,30.91,31.1,30.33,30.43,0.44,30.44,54122.0,47910.0
2019-11-22,30.69,31.08,30.64,30.93,0.19,30.88,34020.0,57203.0
2019-11-21,31.2,31.25,30.57,30.61,0.51,30.69,58458.0,68360.0
2019-11-20,31.0,31.39,30.94,31.21,0.24,31.2,63746.0,80788.0
2019-11-19,30.64,31.24,30.57,31.18,0.32,30.96,72466.0,95706.0
2019-11-18,30.48,30.83,30.45,30.63,0.21,30.64,46973.0,107211.0
2019-11-15,30.81,30.84,30.41,30.43,0.35,30.43,54355.0,113444.0
2019-11-14,30.53,30.92,30.46,30.84,0.25,30.78,71904.0,123449.0
2019-11-13,31.02,31.22,30.51,30.58,0.5,30.53,81266.0,136415.0
2019-11-12,31.4,31.48,30.88,31.05,0.39,31.03,61927.0,143000.0
2019-11-11,31.5,31.89,31.4,31.46,0.08,31.42,66181.0,153889.0
2019-11-08,31.41,31.75,31.35,31.57,0.07,31.5,66873.0,156957.0
2019-11-07,31.75,31.78,31.41,31.48,0.32,31.43,65904.0,164622.0
2019-11-06,31.6,31.84,31.45,31.85,0.18,31.75,59761.0,167823.0
2019-11-05,31.81,31.96,31.53,31.58,0.3,31.57,51749.0,176176.0
2019-11-04,31.07,31.9,30.9,31.91,0.84,31.87,70771.0,175198.0
2019-11-01,30.78,31.12,30.65,31.05,0.28,31.03,46229.0,172306.0
2019-10-31,31.01,31.07,30.57,30.71,0.23,30.75,54479.0,172703.0
2019-10-30,31.05,31.32,30.9,30.98,0.02,30.98,48673.0,171700.0
2019-10-29,30.78,31.13,30.62,31.07,0.22,31.0,60742.0,171373.0
2019-10-28,30.98,31.21,30.61,30.82,0.18,30.78,59603.0,174625.0
2019-10-25,31.39,31.52,30.93,30.96,0.38,30.96,78511.0,178506.0
2019-10-24,30.63,31.42,30.53,31.42,0.76,31.34,71658.0,175947.0
2019-10-23,30.84,31.0,30.48,30.8,0.27,30.58,51785.0,178689.0
2019-10-22,30.42,30.97,30.35,30.85,0.37,30.85,70419.0,180445.0
2019-10-21,30.3,30.54,30.25,30.48,0.12,30.48,43578.0,180257.0
2019-10-18,30.45,30.6,30.33,30.54,0.03,30.36,42717.0,179150.0
2019-10-17,30.4,30.71,30.35,30.41,0.01,30.39,41945.0,178158.0
2019-10-16,30.39,30.54,30.25,30.54,0.01,30.4,51194.0,180580.0
2019-10-15,29.99,30.76,29.85,30.36,0.39,30.39,101053.0,181506.0
2019-10-14,30.04,30.04,30.04,30.04,0.07,29.9,67.0,10.0
2019-10-11,,29.78,,29.78,0.13,29.83,34.0,48.0
2019-10-10,,29.74,,29.74,0.07,29.7,8.0,89.0
2019-10-09,29.95,29.95,29.59,29.64,0.14,29.63,95.0,179.0
2019-10-08,29.71,29.8,29.71,29.78,0.24,29.77,77.0,223.0
2019-10-07,29.99,30.09,29.91,30.05,0.22,30.01,263.0,471.0
