Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-02-18,2930.0,2930.0,2900.0,2900.0,-4.0,2916.0,11.0,706.0,,,
2020-02-17,,,,2904.0,0.0,,,706.0,,,
2020-02-14,2988.0,2992.0,2885.0,2904.0,-84.0,2947.0,141.0,838.0,,,
2020-02-13,2897.0,2998.0,2886.0,2988.0,84.0,2947.0,4688.0,4045.0,25.0,20.0,
2020-02-12,2933.0,2970.0,2879.0,2904.0,-14.0,2915.0,7773.0,8728.0,30.0,24.0,
2020-02-11,2913.0,2994.0,2906.0,2918.0,-22.0,2955.0,13169.0,18795.0,1227.0,,
2020-02-10,2901.0,2947.0,2890.0,2940.0,40.0,2924.0,22602.0,38658.0,93.0,498.0,
2020-02-07,2860.0,2927.0,2860.0,2900.0,51.0,2903.0,34980.0,55420.0,135.0,1743.0,
2020-02-06,2789.0,2863.0,2760.0,2849.0,59.0,2815.0,28718.0,63865.0,91.0,10.0,
2020-02-05,2764.0,2812.0,2758.0,2790.0,33.0,2786.0,25514.0,72137.0,1091.0,,
2020-02-04,2731.0,2772.0,2717.0,2757.0,23.0,2747.0,21613.0,79034.0,88.0,,
2020-02-03,2753.0,2777.0,2711.0,2734.0,-43.0,2740.0,31901.0,86024.0,119.0,,
2020-01-31,2790.0,2810.0,2763.0,2777.0,-24.0,2779.0,24023.0,93760.0,203.0,130.0,
2020-01-30,2745.0,2826.0,2741.0,2801.0,74.0,2789.0,22666.0,97242.0,371.0,1450.0,
2020-01-29,2703.0,2743.0,2673.0,2727.0,24.0,2715.0,16972.0,97480.0,20.0,,
2020-01-28,2739.0,2767.0,2680.0,2703.0,-31.0,2719.0,20143.0,101779.0,561.0,20.0,
2020-01-27,2730.0,2776.0,2697.0,2734.0,1.0,2738.0,23170.0,102032.0,171.0,,
2020-01-24,2783.0,2792.0,2729.0,2733.0,-38.0,2755.0,18703.0,101316.0,313.0,,
2020-01-23,2792.0,2798.0,2762.0,2771.0,-32.0,2778.0,16642.0,103498.0,1093.0,,
2020-01-22,2819.0,2859.0,2789.0,2803.0,-15.0,2823.0,18788.0,104137.0,513.0,5.0,
2020-01-21,2804.0,2829.0,2776.0,2818.0,21.0,2811.0,22407.0,101508.0,124.0,25.0,
2020-01-20,,,,2797.0,0.0,,,102196.0,,,
2020-01-17,2699.0,2808.0,2682.0,2797.0,85.0,2771.0,27726.0,100387.0,462.0,,
2020-01-16,2712.0,2729.0,2693.0,2712.0,23.0,2715.0,25238.0,99005.0,131.0,30.0,
2020-01-15,2664.0,2722.0,2644.0,2689.0,34.0,2680.0,24167.0,95911.0,67.0,20.0,
2020-01-14,2618.0,2668.0,2605.0,2655.0,72.0,2636.0,22538.0,94641.0,7.0,48.0,
2020-01-13,2596.0,2600.0,2557.0,2583.0,-6.0,2579.0,17258.0,93826.0,1683.0,30.0,
2020-01-10,2563.0,2610.0,2556.0,2589.0,35.0,2582.0,21324.0,93560.0,213.0,,
2020-01-09,2496.0,2563.0,2496.0,2554.0,53.0,2542.0,16870.0,94836.0,54.0,,
2020-01-08,2530.0,2535.0,2497.0,2501.0,-32.0,2511.0,13582.0,96727.0,255.0,,
2020-01-07,2490.0,2549.0,2477.0,2533.0,49.0,2526.0,17105.0,98548.0,874.0,,
2020-01-06,2515.0,2518.0,2467.0,2484.0,-35.0,2485.0,15473.0,100077.0,84.0,20.0,
2020-01-03,2534.0,2576.0,2516.0,2519.0,-13.0,2535.0,16280.0,99979.0,438.0,5.0,
2020-01-02,2524.0,2565.0,2506.0,2532.0,,2534.0,23936.0,101112.0,10.0,20.0,
2019-12-31,2465.0,2545.0,2465.0,2540.0,77.0,2525.0,18692.0,100884.0,,,
2019-12-30,2484.0,2505.0,2458.0,2463.0,-34.0,2472.0,17206.0,104073.0,192.0,,
2019-12-27,2413.0,2516.0,2413.0,2497.0,92.0,2481.0,27036.0,105603.0,40.0,,
2019-12-26,2431.0,2441.0,2397.0,2405.0,,2416.0,8809.0,106300.0,,,
2019-12-24,2425.0,2450.0,2403.0,2443.0,16.0,2423.0,13235.0,108854.0,,,
2019-12-23,2409.0,2428.0,2388.0,2427.0,10.0,2406.0,22688.0,113262.0,159.0,72.0,
2019-12-20,2434.0,2440.0,2405.0,2417.0,-18.0,2420.0,22205.0,117334.0,1112.0,,
2019-12-19,2506.0,2516.0,2426.0,2435.0,-71.0,2457.0,27585.0,121931.0,450.0,,
2019-12-18,2528.0,2549.0,2483.0,2506.0,-28.0,2517.0,19998.0,123350.0,267.0,93.0,
2019-12-17,2531.0,2555.0,2515.0,2534.0,-11.0,2531.0,17363.0,126070.0,492.0,70.0,
2019-12-16,2556.0,2612.0,2542.0,2545.0,-27.0,2569.0,21893.0,126004.0,242.0,20.0,
2019-12-13,2546.0,2579.0,2530.0,2572.0,51.0,2554.0,15897.0,128164.0,72.0,,
2019-12-12,,,,2609.0,-47.0,,,41.0,,,
2019-12-11,,,,2656.0,-17.0,,,41.0,,,
2019-12-10,2646.0,2646.0,2629.0,2673.0,27.0,2638.0,2.0,51.0,,,
2019-12-09,,,,2646.0,-6.0,,,51.0,,,
2019-12-06,,,,2652.0,7.0,,1.0,60.0,,,
2019-12-05,2600.0,2667.0,2600.0,2645.0,33.0,2634.0,2.0,103.0,,,
2019-12-04,2630.0,2630.0,2630.0,2612.0,-19.0,2630.0,8.0,104.0,,,
2019-12-03,2604.0,2604.0,2604.0,2631.0,27.0,2604.0,2.0,106.0,,,
2019-12-02,2600.0,2600.0,2590.0,2604.0,-13.0,2593.0,15.0,122.0,,,
2019-11-29,,,,2617.0,-29.0,,,208.0,,,
2019-11-28,,,,2646.0,0.0,,,208.0,,,
2019-11-27,2685.0,2685.0,2629.0,2646.0,-59.0,2657.0,2.0,216.0,,,
2019-11-26,2687.0,2687.0,2640.0,2705.0,58.0,2648.0,6.0,221.0,,,
2019-11-25,2684.0,2685.0,2648.0,2647.0,-19.0,2668.0,7.0,229.0,,,
2019-11-22,,,,2666.0,-30.0,,4.0,231.0,,,
2019-11-21,,,,2696.0,14.0,,,231.0,,,
2019-11-20,2669.0,2692.0,2666.0,2682.0,-12.0,2675.0,21.0,300.0,,,
2019-11-19,2694.0,2701.0,2674.0,2694.0,-48.0,2696.0,23.0,301.0,,,
