Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,58.2,58.6,57.46,58.09,0.27,58.05,83753.0,211207.0
2019-11-26,57.85,58.47,57.66,58.24,0.41,58.32,73804.0,210636.0
2019-11-25,57.83,58.02,57.12,57.82,0.25,57.91,68221.0,211546.0
2019-11-22,58.22,58.56,57.39,57.82,0.75,57.66,73001.0,207081.0
2019-11-21,56.91,58.5,56.46,58.16,1.53,58.41,119688.0,192576.0
2019-11-20,55.26,57.37,54.85,57.09,1.66,57.01,671216.0,470723.0
2019-11-19,57.0,57.21,55.16,55.25,1.79,55.35,560932.0,446570.0
2019-11-18,57.97,58.17,56.64,56.97,0.69,57.14,416473.0,443694.0
2019-11-15,57.01,58.09,56.53,58.02,0.95,57.83,264580.0,427287.0
2019-11-14,57.42,57.85,56.76,56.99,0.32,56.88,233260.0,415707.0
2019-11-13,56.83,57.6,56.27,57.44,0.35,57.2,205847.0,384869.0
2019-11-12,56.91,57.59,56.59,56.85,0.05,56.85,208709.0,343555.0
2019-11-11,57.38,57.4,56.28,56.94,0.36,56.9,169477.0,310139.0
2019-11-08,57.11,57.48,55.77,57.46,0.11,57.26,186382.0,285731.0
2019-11-07,56.37,57.85,56.31,57.09,0.77,57.15,245588.0,265487.0
2019-11-06,57.3,57.87,56.16,56.4,0.91,56.38,126269.0,251632.0
2019-11-05,56.6,57.55,56.36,57.31,0.69,57.29,89093.0,243636.0
2019-11-04,56.47,57.45,55.92,56.59,0.33,56.6,138753.0,238648.0
2019-11-01,54.19,56.39,54.14,56.27,2.02,56.27,106339.0,227464.0
2019-10-31,54.99,55.64,53.84,54.19,0.85,54.25,176847.0,221635.0
2019-10-30,55.62,55.88,54.58,54.97,0.58,55.1,226465.0,232397.0
2019-10-29,55.88,56.04,54.74,55.66,0.22,55.68,106244.0,240837.0
2019-10-28,56.7,56.99,55.68,55.84,0.81,55.9,83558.0,244680.0
2019-10-25,56.13,56.79,55.65,56.7,0.44,56.71,59232.0,242793.0
2019-10-24,55.9,56.55,55.46,56.13,0.28,56.27,97166.0,255605.0
2019-10-23,54.31,56.1,53.69,55.93,1.49,55.99,121488.0,255994.0
2019-10-22,53.6,54.81,53.23,54.32,0.97,54.48,502874.0,449725.0
2019-10-21,53.83,54.17,52.85,53.63,0.36,53.51,502752.0,455861.0
2019-10-18,54.2,54.69,53.44,53.85,0.16,53.87,462367.0,442642.0
2019-10-17,53.08,54.26,52.73,54.2,0.58,54.03,311498.0,430146.0
2019-10-16,52.98,53.82,52.6,53.08,0.57,53.45,223664.0,412809.0
2019-10-15,53.56,53.84,52.46,52.98,0.77,52.88,231038.0,395322.0
2019-10-14,54.97,54.99,52.86,53.53,1.13,53.65,183542.0,382000.0
2019-10-11,53.87,54.99,53.67,54.98,1.22,54.78,317406.0,348014.0
2019-10-10,52.61,53.98,51.4,53.87,0.95,53.56,206839.0,334259.0
2019-10-09,52.57,53.71,52.3,52.65,0.01,52.61,206025.0,301293.0
2019-10-08,52.7,53.22,51.78,52.58,0.09,52.62,215028.0,285040.0
2019-10-07,52.59,53.96,52.52,52.76,0.03,52.71,183793.0,282119.0
2019-10-04,52.19,53.26,51.98,52.93,0.38,52.74,124871.0,278779.0
2019-10-03,52.31,52.77,50.89,52.22,0.15,52.36,177604.0,285168.0
2019-10-02,53.85,54.28,52.05,52.33,0.99,52.51,160354.0,284532.0
2019-10-01,54.13,54.73,52.95,53.86,0.48,53.5,153792.0,288828.0
2019-09-30,56.39,56.4,53.89,54.13,1.81,53.98,131863.0,289813.0
2019-09-27,56.3,56.61,54.64,56.08,0.49,55.79,158790.0,276176.0
2019-09-26,56.55,56.65,55.25,56.41,0.04,56.28,136310.0,270120.0
2019-09-25,56.45,56.8,55.37,56.49,0.76,56.32,112745.0,278145.0
2019-09-24,58.21,58.26,56.47,56.59,1.34,57.08,121732.0,277229.0
2019-09-23,58.98,59.11,57.13,58.25,0.58,58.42,105142.0,280089.0
2019-09-20,58.69,59.24,57.93,58.39,0.1,58.09,571940.0,412945.0
2019-09-19,58.17,59.49,58.02,58.64,0.15,58.19,702831.0,381467.0
2019-09-18,58.62,59.27,57.58,58.19,1.06,58.04,647532.0,378521.0
2019-09-17,61.72,62.39,58.27,58.62,3.57,59.1,716785.0,388534.0
2019-09-16,60.16,63.89,58.62,61.66,7.87,62.67,716430.0,362491.0
2019-09-13,55.11,55.61,54.38,54.79,0.25,54.8,201841.0,325131.0
2019-09-12,55.85,56.28,53.93,55.05,0.62,55.05,228840.0,287289.0
2019-09-11,57.76,58.19,55.54,55.9,1.62,55.67,218210.0,258923.0
2019-09-10,57.91,58.64,57.09,57.76,0.44,57.29,159028.0,236968.0
2019-09-09,56.68,58.05,56.51,57.92,1.3,57.73,155667.0,213766.0
2019-09-06,56.01,56.84,54.75,56.52,0.27,56.43,133096.0,210690.0
2019-09-05,55.77,57.59,55.6,56.04,0.06,56.16,107773.0,216836.0
2019-09-04,53.75,56.39,53.65,55.82,2.34,56.1,116157.0,217509.0
2019-09-03,54.76,55.01,52.71,53.74,1.13,53.76,160632.0,210165.0
2019-08-30,56.32,56.46,54.34,54.93,1.56,54.89,125451.0,212598.0
2019-08-29,55.69,56.62,55.23,56.34,0.85,56.45,135630.0,207823.0
2019-08-28,55.54,56.51,55.15,55.69,0.83,55.6,138884.0,211548.0
2019-08-27,53.65,55.54,53.57,55.5,1.27,54.77,91686.0,209160.0
2019-08-26,53.16,55.06,52.84,53.65,0.52,53.5,93492.0,202027.0
2019-08-23,55.16,55.41,53.12,53.8,1.14,54.02,116279.0,201840.0
2019-08-22,55.7,56.23,54.7,55.2,0.33,55.16,98693.0,194501.0
2019-08-21,55.78,56.85,55.35,55.62,0.31,55.49,158219.0,203392.0
2019-08-20,56.13,56.6,55.16,56.12,0.01,56.13,653191.0,382574.0
2019-08-19,54.95,56.32,54.79,56.11,1.33,56.14,581384.0,362143.0
2019-08-16,54.61,55.62,54.22,54.88,0.39,54.81,391014.0,348256.0
2019-08-15,54.92,55.32,53.77,54.63,0.83,54.42,365522.0,342127.0
2019-08-14,56.73,56.84,54.0,54.92,1.85,55.25,303856.0,319321.0
2019-08-13,54.68,57.4,54.13,56.72,2.25,57.1,311307.0,272642.0
2019-08-12,54.22,55.05,53.46,54.7,0.48,54.85,261744.0,247470.0
2019-08-09,52.72,54.75,52.31,54.09,1.91,54.37,282069.0,239418.0
2019-08-08,52.24,52.97,51.84,52.84,1.43,52.46,278706.0,220284.0
2019-08-07,53.37,53.74,50.5,52.22,2.56,51.03,269019.0,206281.0
2019-08-06,54.8,55.28,53.28,53.4,0.99,53.59,177297.0,194454.0
2019-08-05,55.36,55.51,54.22,54.89,1.09,54.58,216645.0,194147.0
2019-08-02,54.83,56.09,54.22,55.22,1.66,55.67,153247.0,189277.0
2019-08-01,57.96,58.05,53.67,54.54,4.62,54.01,168573.0,193041.0
2019-07-31,58.42,58.86,57.85,57.95,0.52,58.63,127896.0,197078.0
