Date,Open,High,Low,Close,Volume,Open Interest
2019-11-28,19220.0,19290.0,19180.0,19250.0,457.0,2261.0
2019-11-27,19320.0,19380.0,19190.0,19240.0,665.0,2168.0
2019-11-26,19170.0,19390.0,19170.0,19320.0,953.0,2156.0
2019-11-25,19060.0,19220.0,18890.0,19200.0,621.0,2128.0
2019-11-22,19110.0,19240.0,19100.0,19170.0,687.0,2053.0
2019-11-21,19140.0,19190.0,19100.0,19110.0,597.0,1856.0
2019-11-20,19150.0,19280.0,19100.0,19210.0,526.0,1803.0
2019-11-19,19130.0,19220.0,19100.0,19130.0,495.0,1717.0
2019-11-18,19240.0,19320.0,19100.0,19120.0,565.0,1604.0
2019-11-15,19100.0,19310.0,19070.0,19240.0,361.0,1612.0
2019-11-14,19070.0,19190.0,18950.0,19140.0,822.0,1594.0
2019-11-13,18980.0,19140.0,18950.0,19120.0,601.0,1556.0
2019-11-12,18880.0,18970.0,18820.0,18950.0,96.0,1384.0
2019-11-11,19050.0,19120.0,18870.0,18940.0,969.0,1387.0
2019-11-08,19260.0,19330.0,19060.0,19110.0,360.0,1299.0
2019-11-07,19280.0,19370.0,19120.0,19330.0,533.0,1277.0
2019-11-06,19350.0,19380.0,19020.0,19310.0,443.0,1294.0
2019-11-05,19410.0,19440.0,19330.0,19380.0,270.0,1250.0
2019-11-04,19420.0,19570.0,19410.0,19440.0,434.0,1250.0
2019-11-01,19340.0,19420.0,19300.0,19320.0,222.0,1171.0
2019-10-31,19460.0,19520.0,19260.0,19310.0,292.0,1096.0
2019-10-30,19480.0,19480.0,19330.0,19410.0,103.0,1064.0
2019-10-29,19360.0,19450.0,19340.0,19410.0,97.0,1003.0
2019-10-28,19360.0,19390.0,19320.0,19340.0,14.0,945.0
2019-10-25,19280.0,19360.0,19230.0,19340.0,75.0,861.0
2019-10-24,19250.0,19360.0,19230.0,19300.0,68.0,847.0
2019-10-23,19330.0,19330.0,19210.0,19260.0,44.0,833.0
2019-10-22,19250.0,19310.0,19140.0,19300.0,225.0,813.0
2019-10-21,19300.0,19300.0,19300.0,19300.0,2.0,852.0
2019-10-18,19350.0,19430.0,19310.0,19380.0,113.0,854.0
2019-10-17,19260.0,19350.0,19250.0,19280.0,52.0,848.0
2019-10-16,19240.0,19320.0,19240.0,19270.0,108.0,829.0
2019-10-15,19090.0,19350.0,19090.0,19280.0,50.0,814.0
2019-10-14,19200.0,19290.0,19100.0,19140.0,266.0,820.0
2019-10-11,18940.0,19090.0,18940.0,19050.0,91.0,802.0
2019-10-10,18980.0,19050.0,18940.0,19000.0,54.0,758.0
2019-10-09,18880.0,19010.0,18810.0,18960.0,84.0,737.0
2019-10-08,18900.0,18900.0,18900.0,18900.0,2.0,748.0
2019-10-07,18970.0,19000.0,18910.0,18960.0,10.0,748.0
2019-10-04,19050.0,19100.0,18880.0,18990.0,145.0,749.0
2019-10-03,18900.0,19040.0,18890.0,18980.0,94.0,730.0
2019-10-01,18970.0,19000.0,18900.0,18940.0,227.0,705.0
2019-09-30,19490.0,19500.0,18970.0,19060.0,185.0,685.0
2019-09-27,19070.0,19600.0,19060.0,19340.0,64.0,624.0
2019-09-26,19070.0,19070.0,19020.0,19050.0,5.0,599.0
2019-09-25,18980.0,19110.0,18980.0,19030.0,9.0,599.0
2019-09-24,19000.0,19000.0,18950.0,18980.0,13.0,598.0
2019-09-23,19110.0,19110.0,18930.0,19000.0,29.0,598.0
2019-09-20,19240.0,19250.0,19160.0,19180.0,37.0,588.0
2019-09-19,19170.0,19200.0,19170.0,19190.0,15.0,565.0
2019-09-18,19180.0,19240.0,19140.0,19230.0,76.0,579.0
2019-09-17,19350.0,19370.0,19050.0,19130.0,257.0,530.0
2019-09-16,19380.0,19500.0,19380.0,19430.0,91.0,402.0
2019-09-13,19400.0,19500.0,19350.0,19450.0,77.0,347.0
2019-09-12,19270.0,19350.0,19200.0,19330.0,49.0,323.0
2019-09-11,19200.0,19210.0,19180.0,19200.0,33.0,303.0
2019-09-10,19260.0,19290.0,19200.0,19240.0,55.0,296.0
2019-09-09,19100.0,19150.0,19100.0,19140.0,28.0,262.0
2019-09-06,19270.0,19270.0,19180.0,19190.0,34.0,243.0
2019-09-05,19230.0,19230.0,19220.0,19220.0,5.0,222.0
2019-09-04,19080.0,19210.0,19060.0,19180.0,30.0,219.0
2019-09-03,19190.0,19230.0,19110.0,19180.0,24.0,210.0
2019-09-02,0.0,0.0,0.0,19190.0,0.0,204.0
2019-08-29,19050.0,19250.0,19050.0,19170.0,64.0,205.0
2019-08-28,19020.0,19080.0,19020.0,19080.0,70.0,212.0
2019-08-27,19140.0,19180.0,19020.0,19090.0,104.0,195.0
2019-08-26,19020.0,19170.0,19020.0,19100.0,21.0,147.0
2019-08-23,19200.0,19200.0,19200.0,19200.0,1.0,137.0
2019-08-22,19440.0,19440.0,19360.0,19430.0,11.0,136.0
2019-08-21,19440.0,19440.0,19380.0,19410.0,2.0,127.0
2019-08-20,19280.0,19470.0,19280.0,19370.0,5.0,127.0
2019-08-19,19330.0,19330.0,19280.0,19310.0,3.0,130.0
2019-08-16,19600.0,19600.0,19330.0,19430.0,4.0,130.0
2019-08-14,0.0,0.0,0.0,19450.0,0.0,129.0
2019-08-13,0.0,0.0,0.0,19450.0,0.0,129.0
