Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,19.08,19.4,19.01,19.3,0.23,19.3,615.0,4569.0
2019-11-26,18.78,19.13,18.78,19.1,0.28,19.07,645.0,4719.0
2019-11-25,18.79,18.87,18.7,18.8,0.01,18.79,427.0,4722.0
2019-11-22,18.69,18.85,18.68,18.75,0.09,18.78,374.0,4691.0
2019-11-21,18.48,18.73,18.34,18.73,0.25,18.69,849.0,4710.0
2019-11-20,18.39,18.49,18.27,18.45,0.05,18.44,439.0,4782.0
2019-11-19,18.45,18.55,18.33,18.41,0.08,18.39,389.0,4837.0
2019-11-18,18.58,18.58,18.35,18.48,0.09,18.47,415.0,4935.0
2019-11-15,18.69,18.76,18.48,18.54,0.14,18.56,588.0,5017.0
2019-11-14,18.77,18.89,18.64,18.71,0.09,18.7,596.0,5125.0
2019-11-13,18.65,18.98,18.56,18.81,0.1,18.79,637.0,5116.0
2019-11-12,19.24,19.24,18.66,18.79,0.5,18.69,676.0,5151.0
2019-11-11,19.15,19.28,19.07,19.14,0.1,19.19,324.0,5101.0
2019-11-08,18.98,19.11,18.76,19.07,0.03,19.09,675.0,4976.0
2019-11-07,19.72,19.72,18.89,18.96,0.58,19.06,840.0,4923.0
2019-11-06,19.79,19.79,19.62,19.69,0.12,19.64,327.0,4865.0
2019-11-05,19.63,19.81,19.56,19.72,0.06,19.76,474.0,4755.0
2019-11-04,19.71,19.79,19.62,19.66,,19.7,537.0,4650.0
2019-11-01,19.56,19.71,19.52,19.67,0.23,19.7,456.0,4575.0
2019-10-31,19.4,19.85,19.34,19.5,0.01,19.47,1348.0,4274.0
2019-10-30,19.85,20.27,19.81,20.15,0.35,20.21,1028.0,5076.0
2019-10-29,19.66,19.93,19.61,19.83,0.18,19.86,659.0,4935.0
2019-10-28,19.48,19.82,19.48,19.68,0.13,19.68,870.0,4751.0
2019-10-25,19.2,19.58,19.19,19.48,0.18,19.55,962.0,4430.0
2019-10-24,18.99,19.48,18.96,19.35,0.36,19.37,740.0,4194.0
2019-10-23,19.09,19.13,18.94,18.99,0.09,19.01,470.0,4160.0
2019-10-22,19.14,19.19,19.0,19.06,0.08,19.1,955.0,4168.0
2019-10-21,18.61,19.23,18.59,19.12,0.62,19.18,1315.0,4004.0
2019-10-18,18.51,18.59,18.43,18.58,,18.56,388.0,4017.0
2019-10-17,18.61,18.7,18.53,18.57,0.12,18.56,250.0,4038.0
2019-10-16,18.78,18.87,18.64,18.67,,18.68,318.0,4043.0
2019-10-15,18.65,18.72,18.55,18.72,0.06,18.68,308.0,4097.0
2019-10-14,18.8,18.84,18.6,18.61,0.09,18.62,341.0,4176.0
2019-10-11,18.58,18.77,18.53,18.76,0.09,18.71,357.0,4165.0
2019-10-10,18.78,18.84,18.58,18.58,0.16,18.62,503.0,4040.0
2019-10-09,18.45,18.86,18.4,18.75,0.33,18.78,801.0,3996.0
2019-10-08,18.24,18.46,18.24,18.44,0.24,18.45,328.0,3934.0
2019-10-07,18.04,18.29,18.04,18.22,0.17,18.21,293.0,3922.0
2019-10-04,18.3,18.3,18.0,18.08,0.33,18.04,412.0,3828.0
2019-10-03,18.34,18.43,18.32,18.32,0.05,18.37,207.0,3807.0
2019-10-02,18.35,18.41,18.28,18.4,0.08,18.36,154.0,4004.0
2019-10-01,18.17,18.36,18.14,18.29,0.15,18.28,339.0,4032.0
2019-09-30,18.14,18.22,18.06,18.16,0.02,18.13,224.0,4089.0
2019-09-27,17.89,18.25,17.78,18.17,0.25,18.15,322.0,4174.0
