Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2019-11-28,97.845,97.9,97.78,97.853,0.0,97.853,53.0,2169.0,,,
2019-11-27,97.85,97.905,97.79,97.853,0.117,97.872,46.0,2158.0,,,
2019-11-26,97.78,97.865,97.715,97.736,-0.067,97.774,57.0,2145.0,,,
2019-11-25,97.775,97.855,97.68,97.803,0.043,97.717,173.0,2106.0,,,
2019-11-22,97.425,97.77,97.31,97.76,0.276,97.636,101.0,2084.0,,,
2019-11-21,97.28,97.5,97.25,97.484,0.085,97.37,72.0,2081.0,,,
2019-11-20,97.365,97.495,97.32,97.399,0.077,97.363,60.0,2097.0,,,
2019-11-19,97.33,97.335,97.255,97.322,0.077,97.298,34.0,2085.0,,,
2019-11-18,97.39,97.39,97.135,97.245,-0.206,97.302,102.0,2084.0,,,
2019-11-15,97.585,97.6,97.425,97.451,-0.143,97.454,30.0,2075.0,,,
2019-11-14,97.84,97.84,97.56,97.594,-0.211,97.751,98.0,2057.0,,,
2019-11-13,97.745,97.87,97.71,97.805,0.079,97.771,23.0,2054.0,,,
2019-11-12,97.69,97.805,97.69,97.726,0.118,97.736,66.0,2088.0,,,
2019-11-11,97.78,97.78,97.545,97.608,-0.178,97.737,583.0,2244.0,,,
2019-11-08,97.55,97.825,97.55,97.786,0.207,97.74,167.0,2293.0,,,
2019-11-07,97.395,97.64,97.32,97.579,0.22,97.563,99.0,2286.0,,,
2019-11-06,97.34,97.395,97.24,97.359,-0.046,97.32,11.0,2279.0,,,
2019-11-05,96.97,97.41,96.97,97.405,0.444,97.193,97.0,2303.0,,,
2019-11-04,96.595,96.97,96.595,96.961,0.321,96.78,32.0,2309.0,,,
2019-11-01,96.63,96.845,96.555,96.64,-0.104,96.63,114.0,2299.0,,,
2019-10-31,96.815,96.82,96.65,96.744,-0.275,96.72,156.0,2242.0,,,
2019-10-30,96.985,97.38,96.875,97.019,-0.025,97.1,115.0,2240.0,,,
2019-10-29,97.1,97.27,96.99,97.044,-0.056,97.067,163.0,2153.0,,,
2019-10-28,97.225,97.225,97.055,97.1,-0.079,97.101,139.0,2065.0,,,
2019-10-25,96.95,97.19,96.95,97.179,0.194,97.091,16.0,2059.0,,,
2019-10-24,96.81,97.085,96.675,96.985,0.164,96.875,138.0,2056.0,,,
2019-10-23,96.83,96.97,96.795,96.821,-0.03,96.901,36.0,2031.0,,,
2019-10-22,96.62,96.81,96.595,96.851,0.206,96.682,95.0,2000.0,,,
2019-10-21,96.65,96.695,96.505,96.645,0.042,96.613,62.0,1985.0,,,
2019-10-18,96.94,96.945,96.565,96.603,-0.312,96.838,68.0,1987.0,,,
2019-10-17,97.335,97.43,96.83,96.915,-0.393,97.058,194.0,1921.0,,,
2019-10-16,97.46,97.69,97.205,97.308,-0.29,97.418,384.0,1747.0,,,
2019-10-15,97.735,97.93,97.555,97.598,-0.182,97.674,292.0,1693.0,,,
2019-10-14,97.735,97.85,97.725,97.78,0.185,97.794,932.0,935.0,,,
