Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,1.1102,1.1104,1.10735,1.10805,0.00165,1.10865,2951.0,26854.0
2019-11-26,1.1094,1.1107,1.1089,1.11035,0.00105,1.1103,3308.0,25116.0
2019-11-25,1.1106,1.1115,1.10875,1.1096,0.0012,1.10925,2046.0,24115.0
2019-11-22,1.11495,1.1175,1.1098,1.1102,0.0039,1.11045,3118.0,23175.0
2019-11-21,1.1162,1.11815,1.1137,1.1142,0.00125,1.11435,1764.0,22559.0
2019-11-20,1.1164,1.1167,1.114,1.11585,0.0009,1.1156,3430.0,22160.0
2019-11-19,1.11585,1.117,1.11495,1.1165,0.0003,1.1165,857.0,21999.0
2019-11-18,1.1137,1.1177,1.1137,1.11595,0.00215,1.1162,2250.0,21418.0
2019-11-15,1.1109,1.1144,1.11025,1.114,0.003,1.11405,583.0,21596.0
2019-11-14,1.11,1.11155,1.10785,1.11085,0.0017,1.11105,944.0,21605.0
2019-11-13,1.11035,1.1112,1.10875,1.10985,0.00105,1.10935,888.0,21225.0
2019-11-12,1.1128,1.11305,1.1096,1.1101,0.0023,1.1104,501.0,21316.0
2019-11-11,1.1109,1.1138,1.1109,1.1126,0.00095,1.1127,536.0,21508.0
2019-11-08,1.11445,1.11495,1.1111,1.11135,0.00235,1.11175,411.0,21398.0
2019-11-07,1.1162,1.1185,1.11305,1.1144,0.0023,1.1141,971.0,21194.0
2019-11-06,1.1171,1.11875,1.11595,1.1162,0.0003,1.1164,423.0,21032.0
2019-11-05,1.1221,1.1237,1.116,1.11695,0.0065,1.1161,588.0,21015.0
2019-11-04,1.1265,1.12745,1.12235,1.1226,0.00375,1.1226,344.0,21185.0
2019-11-01,1.12505,1.1271,1.1229,1.1265,0.00185,1.12635,318.0,21175.0
2019-10-31,1.12535,1.1276,1.12325,1.1251,0.00165,1.1245,426.0,21206.0
2019-10-30,1.12105,1.12535,1.1183,1.12525,0.0013,1.12285,568.0,21334.0
2019-10-29,1.1204,1.1223,1.1179,1.12165,0.0011,1.12155,870.0,21325.0
2019-10-28,1.119,1.12125,1.1183,1.12065,0.0017,1.12045,230.0,21351.0
2019-10-25,1.1209,1.12295,1.118,1.11865,0.0029,1.11875,199.0,21372.0
2019-10-24,1.12385,1.127,1.12005,1.1212,0.00225,1.12165,632.0,21369.0
2019-10-23,1.12325,1.1251,1.1217,1.12405,0.0004,1.1239,153.0,21346.0
2019-10-22,1.12635,1.12675,1.12295,1.1236,0.0023,1.1235,562.0,21362.0
2019-10-21,1.1268,1.1291,1.1251,1.1261,0.00155,1.1258,572.0,21323.0
2019-10-18,1.12365,1.1283,1.12265,1.12815,0.00375,1.12735,798.0,21250.0
2019-10-17,1.1186,1.12525,1.1178,1.1237,0.0049,1.1236,1025.0,21220.0
2019-10-16,1.1146,1.11995,1.11365,1.11865,0.0038,1.1187,717.0,21090.0
2019-10-15,1.11405,1.1159,1.1105,1.1146,0.0004,1.1149,1568.0,20778.0
2019-10-14,1.1154,1.1157,1.1129,1.1141,0.0015,1.1145,399.0,20753.0
2019-10-11,1.11255,1.1182,1.1119,1.1155,0.0035,1.116,732.0,20640.0
2019-10-10,1.1104,1.11515,1.10905,1.1123,0.00315,1.1125,581.0,20505.0
2019-10-09,1.10815,1.11105,1.1075,1.1091,0.00165,1.10935,563.0,20348.0
2019-10-08,1.1095,1.1117,1.1062,1.10765,0.0019,1.1077,773.0,20407.0
2019-10-07,1.11075,1.11225,1.10845,1.1093,0.0011,1.1096,251.0,20359.0
2019-10-04,1.10945,1.1124,1.1083,1.1102,0.00085,1.1107,493.0,20455.0
2019-10-03,1.1086,1.1126,1.1068,1.1088,0.00105,1.10985,1312.0,20119.0
2019-10-02,1.1068,1.1092,1.1036,1.10875,0.00185,1.1088,844.0,20275.0
2019-10-01,1.1035,1.1075,1.10145,1.10655,0.0032,1.10695,1012.0,20237.0
2019-09-30,1.10675,1.1082,1.10205,1.1034,0.0038,1.10375,174.0,20230.0
2019-09-27,1.10555,1.10935,1.1041,1.10775,0.0009,1.10755,125.0,20281.0
2019-09-26,1.1083,1.1105,1.1048,1.10575,0.00155,1.10665,1207.0,20377.0
2019-09-25,1.11575,1.11615,1.1079,1.10835,0.0078,1.1082,695.0,20439.0
2019-09-24,1.11295,1.1166,1.1123,1.11625,0.00245,1.116,785.0,20594.0
2019-09-23,1.1158,1.11625,1.11045,1.1132,0.00185,1.11355,241.0,20592.0
2019-09-20,1.1196,1.12105,1.11375,1.1156,0.00435,1.1154,463.0,20638.0
2019-09-19,1.1171,1.12175,1.11675,1.11845,0.002,1.11975,257.0,20675.0
2019-09-18,1.12125,1.1224,1.1161,1.11765,0.00385,1.11775,637.0,20572.0
2019-09-17,1.11535,1.1223,1.11435,1.1221,0.00585,1.1216,281.0,20545.0
2019-09-16,1.11495,1.11595,1.10675,1.1079,0.00605,1.1081,155388.0,469290.0
2019-09-13,1.114,1.1184,1.113,1.11485,0.00075,1.11415,292172.0,426267.0
2019-09-12,1.1084,1.11625,1.10015,1.1139,0.00635,1.1149,397634.0,314176.0
2019-09-11,1.1127,1.1135,1.10635,1.1089,0.00415,1.10855,214638.0,203623.0
2019-09-10,1.11295,1.114,1.1111,1.11235,0.00065,1.1127,202739.0,110477.0
2019-09-09,1.1107,1.11495,1.1096,1.11275,0.00215,1.11335,69703.0,71608.0
2019-09-06,1.11175,1.11385,1.1102,1.11125,0.0006,1.1112,55347.0,45126.0
2019-09-05,1.1119,1.1167,1.1099,1.1117,0.0001,1.1118,46215.0,27119.0
2019-09-04,1.1055,1.1123,1.1053,1.11195,0.0064,1.1117,43147.0,19108.0
2019-09-03,1.1079,1.10835,1.1012,1.1057,0.00115,1.1053,22748.0,12707.0
2019-08-30,1.1144,1.11475,1.10505,1.1079,0.0075,1.10645,5550.0,12600.0
2019-08-29,1.11675,1.118,1.11295,1.11435,0.00305,1.11395,3349.0,11577.0
2019-08-28,1.1181,1.1188,1.1164,1.11675,0.00145,1.117,4406.0,10267.0
2019-08-27,1.1192,1.1207,1.11775,1.1181,0.0006,1.11845,1197.0,10123.0
2019-08-26,1.1245,1.12545,1.11875,1.11925,0.00485,1.11905,3322.0,9994.0
2019-08-23,1.11755,1.12455,1.11455,1.12315,0.006,1.1239,6207.0,9777.0
2019-08-22,1.1184,1.1207,1.11565,1.1173,0.00015,1.1179,3467.0,8882.0
2019-08-21,1.1193,1.12015,1.1171,1.1179,0.0011,1.11805,1065.0,8887.0
2019-08-20,1.1174,1.1201,1.11605,1.1195,0.00135,1.11915,1100.0,8546.0
2019-08-19,1.1189,1.12095,1.11725,1.11735,0.0017,1.1178,2145.0,8163.0
2019-08-16,1.1205,1.12145,1.11635,1.11885,0.0011,1.1195,2394.0,7989.0
2019-08-15,1.1241,1.12575,1.119,1.12055,0.00355,1.1206,1604.0,7980.0
2019-08-14,1.12795,1.1301,1.12315,1.12365,0.00385,1.12415,1584.0,7690.0
2019-08-13,1.1321,1.13325,1.1276,1.12765,0.0046,1.128,1156.0,7909.0
2019-08-12,1.1308,1.1335,1.12675,1.1319,0.00135,1.1326,1098.0,7797.0
2019-08-09,1.1296,1.13265,1.12885,1.1306,0.00215,1.13125,820.0,7771.0
2019-08-08,1.13095,1.13345,1.1284,1.12845,0.00305,1.1291,3763.0,6458.0
