Date,Open,High,Low,Settle,Volume,Interest
2020-02-17,168.0,168.5,168.0,168.25,867.0,10872.0
2020-02-14,167.75,169.25,167.75,168.25,471.0,11321.0
2020-02-13,167.75,173.25,167.25,168.25,690.0,12064.0
2020-02-12,167.0,168.0,166.5,167.5,1022.0,12541.0
2020-02-11,167.0,167.25,166.75,166.75,663.0,12891.0
2020-02-10,167.5,167.5,167.0,167.25,766.0,12485.0
2020-02-07,167.5,167.75,167.25,167.5,535.0,12997.0
2020-02-06,167.5,168.0,167.25,167.75,764.0,13598.0
2020-02-05,169.0,169.5,167.25,167.75,1504.0,13129.0
2020-02-04,168.25,169.25,168.25,168.75,849.0,13314.0
2020-02-03,168.0,168.5,167.5,168.0,1549.0,0.0
2020-01-31,169.0,169.25,168.25,168.5,1150.0,13028.0
2020-01-30,169.0,169.5,169.0,169.25,826.0,13077.0
2020-01-29,169.5,170.0,169.25,169.5,976.0,
2020-01-28,169.5,170.0,168.75,169.75,2567.0,13001.0
2020-01-27,170.25,170.75,170.0,170.25,1000.0,12683.0
2020-01-24,172.0,172.5,171.0,172.0,744.0,12803.0
2020-01-23,173.25,173.25,172.0,172.5,784.0,13583.0
2020-01-22,173.25,173.5,172.25,172.5,1192.0,13537.0
2020-01-21,172.5,173.0,172.0,172.5,991.0,13862.0
2020-01-20,173.5,173.75,172.5,172.5,1531.0,13938.0
2020-01-17,170.75,173.25,170.75,173.0,803.0,14001.0
2020-01-16,172.0,172.0,171.13,171.25,1102.0,14039.0
2020-01-15,174.0,174.0,171.75,172.75,750.0,13819.0
2020-01-14,173.25,173.75,173.0,173.5,989.0,13905.0
2020-01-13,173.25,173.25,172.25,173.0,860.0,13716.0
2020-01-10,173.25,173.25,172.25,173.0,906.0,13852.0
2020-01-09,172.0,173.0,171.5,172.75,1047.0,14142.0
2020-01-08,171.25,171.75,170.25,171.25,1016.0,0.0
2020-01-07,172.25,172.5,170.5,171.0,875.0,14629.0
2020-01-06,173.0,173.0,172.25,172.5,1108.0,14954.0
2020-01-03,168.25,168.5,165.0,168.0,108.0,529.0
2020-01-02,169.25,170.0,168.5,169.0,321.0,651.0
2019-12-31,169.0,169.0,168.5,168.5,126.0,931.0
2019-12-30,167.0,168.5,167.0,168.5,207.0,1169.0
2019-12-27,162.75,167.5,162.75,165.5,595.0,1447.0
2019-12-24,162.0,162.5,162.0,162.5,151.0,1772.0
