Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,3143.75,3155.0,3141.75,3154.5,10.0,3153.75,890391.0,2649050.0
2019-11-26,3131.25,3145.0,3128.0,3144.0,11.0,3143.75,1035129.0,2624864.0
2019-11-25,3119.0,3133.5,3116.5,3131.5,21.25,3132.75,880911.0,2597224.0
2019-11-22,3104.0,3114.5,3097.75,3112.0,7.5,3111.5,951663.0,2614810.0
2019-11-21,3097.25,3114.5,3091.25,3103.75,5.0,3104.0,1377808.0,2612319.0
2019-11-20,3116.5,3118.5,3090.75,3108.75,9.5,3109.0,1633911.0,2621487.0
2019-11-19,3121.5,3132.5,3112.75,3117.0,3.25,3118.5,1129974.0,2611425.0
2019-11-18,3119.0,3127.75,3111.0,3121.5,3.5,3121.75,980006.0,2611516.0
2019-11-15,3097.0,3119.5,3095.75,3119.0,21.25,3118.25,1185862.0,2617657.0
2019-11-14,3096.25,3099.75,3081.75,3097.5,1.5,3097.0,1048429.0,2595181.0
2019-11-13,3091.25,3097.0,3075.75,3096.25,3.5,3095.5,1217946.0,2598016.0
2019-11-12,3087.75,3102.0,3081.25,3090.5,4.5,3092.0,1072803.0,2581086.0
2019-11-11,3090.5,3092.25,3074.5,3087.5,3.0,3087.5,815130.0,2585427.0
2019-11-08,3086.25,3092.5,3072.5,3092.0,4.5,3090.5,1034699.0,2588418.0
2019-11-07,3077.25,3097.0,3070.25,3085.75,10.5,3086.0,1318312.0,2551909.0
2019-11-06,3071.5,3078.0,3063.0,3076.75,3.5,3075.5,1050977.0,2550577.0
2019-11-05,3076.75,3085.75,3069.75,3071.25,3.75,3072.0,1103444.0,2540075.0
2019-11-04,3064.75,3083.75,3064.75,3075.75,12.5,3075.75,1123812.0,2533393.0
2019-11-01,3036.0,3065.0,3033.0,3063.0,27.5,3063.25,1225064.0,2507355.0
2019-10-31,3051.75,3052.0,3020.25,3035.5,12.0,3035.75,1698572.0,2534765.0
2019-10-30,3036.5,3055.0,3023.25,3050.5,12.0,3047.75,1146837.0,2522874.0
2019-10-29,3038.25,3046.25,3029.5,3036.25,0.5,3035.75,1010067.0,2507590.0
2019-10-28,3023.0,3042.75,3022.75,3037.0,16.0,3036.25,1002330.0,2496273.0
2019-10-25,3003.75,3026.5,3000.0,3019.75,16.0,3020.25,1065492.0,2488017.0
2019-10-24,3006.0,3015.25,2998.75,3002.75,1.5,3004.25,1042131.0,2471470.0
2019-10-23,2992.0,3006.0,2982.0,3006.0,11.25,3005.75,1033841.0,2457791.0
2019-10-22,3006.5,3014.25,2988.25,2990.25,12.0,2994.5,1103176.0,2449385.0
2019-10-21,2984.75,3007.5,2983.75,3006.5,18.25,3006.5,854575.0,2440088.0
2019-10-18,2997.75,3001.25,2975.0,2989.25,9.75,2988.25,1267783.0,2447188.0
2019-10-17,2992.25,3008.0,2985.25,2998.25,6.5,2998.0,1063033.0,2458025.0
2019-10-16,2996.5,2997.75,2984.75,2992.25,6.25,2991.5,1101261.0,2470030.0
