Date,Open,High,Low,Settle,Volume,Interest
2019-11-28,5900.0,5903.0,5893.0,5898.0,5.0,592.0
2019-11-27,5915.0,5917.2,5915.0,5911.0,501.0,97.0
2019-11-26,5921.5,5921.5,5909.5,5914.0,2.0,95.0
2019-11-25,5900.0,5900.0,5900.0,,1.0,96.0
2019-11-22,,,,5876.0,0.0,107.0
2019-11-21,5845.5,5876.0,5832.0,5864.0,22.0,99.0
2019-11-20,5885.0,5885.0,5877.0,5877.0,5.0,99.0
2019-11-18,5911.5,5913.5,5908.5,5912.0,43.0,55.0
2019-11-15,5922.0,5926.0,5906.0,5921.0,5.0,50.0
2019-11-14,5899.0,5908.5,5880.5,5892.0,68928.0,325772.0
2019-11-13,5898.5,5907.0,5864.0,5898.0,143878.0,254044.0
2019-11-12,5911.5,5922.0,5888.0,5910.5,176184.0,128199.0
2019-11-11,5861.5,5897.0,5855.0,5884.5,47648.0,82397.0
2019-11-08,5854.5,5887.0,5852.5,5879.5,6064.0,79385.0
2019-11-07,5857.5,5897.0,5857.5,5881.0,2503.0,77022.0
2019-11-06,5833.5,5862.5,5830.0,5856.0,980.0,76593.0
2019-11-05,5831.5,5839.5,5811.0,5836.0,365.0,76439.0
2019-11-04,5779.0,5820.0,5770.0,5812.0,514.0,76548.0
2019-11-01,5747.5,5764.5,5731.0,5749.0,645.0,76580.0
2019-10-31,5763.0,5769.0,5705.0,5717.5,922.0,76405.0
2019-10-30,5727.0,5760.0,5704.0,5752.5,3541.0,73540.0
2019-10-29,5720.0,5735.5,5705.5,5727.0,144.0,73586.0
2019-10-28,5713.0,5732.5,5701.5,5717.5,259.0,73576.0
2019-10-25,5679.5,5711.5,5659.0,5708.5,28271.0,63570.0
2019-10-24,5650.0,5678.0,5647.5,5670.5,431.0,63828.0
2019-10-23,5608.0,5645.0,5602.5,5640.5,178.0,63850.0
2019-10-22,5642.5,5645.0,5599.0,5644.5,166.0,63861.0
2019-10-21,5631.0,5651.5,5617.0,5634.5,345.0,63832.0
2019-10-18,5640.0,5648.5,5610.0,5623.0,807.0,64029.0
2019-10-17,5685.0,5733.5,5653.0,5669.0,77474.0,253750.0
