Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2019-11-28,13245.0,13249.0,13221.0,13233.5,63.0,1882.0
2019-11-27,13271.5,13297.5,13217.5,13274.0,74.0,1836.0
2019-11-26,13265.5,13265.5,13189.5,13236.0,148.0,1790.0
2019-11-25,13239.5,13246.0,13209.0,13241.0,153.0,1675.0
2019-11-22,13146.5,13230.0,13111.5,13155.5,62.0,1689.0
2019-11-21,13050.0,13166.0,13040.5,13153.0,95.0,1673.0
2019-11-20,13155.0,13172.0,13070.5,13163.0,123.0,1616.0
2019-11-19,13243.5,13364.5,13210.0,13211.5,69.0,1549.0
2019-11-18,13233.0,13270.0,13134.0,13183.0,75.0,1565.0
2019-11-15,13210.0,13251.0,13164.5,13225.0,40.0,1541.0
2019-11-14,13234.0,13234.0,13150.0,13178.0,35.0,1536.0
2019-11-13,13212.0,13240.0,13149.5,13219.0,178.0,1544.0
2019-11-12,13234.0,13286.5,13207.0,13284.0,77.0,1467.0
2019-11-11,13170.0,13202.5,13131.5,13196.5,30.0,1444.0
2019-11-08,13232.0,13266.5,13210.5,13212.5,57.0,1429.0
2019-11-07,13182.0,13287.0,13177.0,13266.0,110.0,1422.0
2019-11-06,13115.0,13190.0,13105.5,13160.0,99.0,1383.0
2019-11-05,13150.0,13150.0,13107.0,13132.5,40.0,1335.0
2019-11-04,13000.0,13153.0,13000.0,13112.0,141.0,1374.0
2019-11-01,12935.0,12973.5,12889.5,12939.5,9.0,1305.0
2019-10-31,12905.0,12905.0,12825.0,12886.5,43.0,1301.0
2019-10-30,12912.0,12924.0,12857.0,12897.5,54.0,1287.0
2019-10-29,12901.0,12930.5,12897.0,12927.5,97.0,1271.0
2019-10-28,12904.0,12971.0,12878.0,12942.0,47.0,1204.0
2019-10-25,12832.5,12885.0,12818.0,12878.5,167.0,1214.0
2019-10-24,12822.5,12890.0,12822.5,12860.0,52.0,1124.0
2019-10-23,12681.5,12802.0,12681.5,12790.5,112.0,1097.0
2019-10-22,12749.5,12754.5,12697.0,12743.0,170.0,1021.0
2019-10-21,12661.0,12749.5,12661.0,12739.0,102.0,907.0
2019-10-18,12608.5,12652.5,12608.5,12636.0,220.0,922.0
2019-10-17,12671.0,12782.0,12626.0,12668.5,69.0,772.0
2019-10-16,12605.0,12674.0,12590.5,12670.0,61.0,743.0
2019-10-15,12520.0,12645.0,12495.5,12623.0,74.0,735.0
2019-10-14,12451.5,12470.0,12379.0,12458.0,227.0,742.0
2019-10-11,12147.0,12500.0,12147.0,12474.0,171.0,603.0
2019-10-10,11997.5,12164.5,11997.5,12162.0,68.0,562.0
2019-10-09,11957.0,12106.0,11957.0,12063.5,48.0,558.0
2019-10-08,12093.5,12104.0,11936.5,11963.0,43.0,564.0
2019-10-07,11991.0,12108.0,11979.0,12064.0,53.0,547.0
2019-10-04,11960.5,12032.0,11865.0,11972.0,144.0,576.0
2019-10-03,11932.0,11942.5,11806.0,11915.0,16.0,555.0
2019-10-02,12210.0,12218.0,11885.5,11932.5,126.0,579.0
2019-10-01,12444.5,12472.0,12227.5,12258.5,28.0,586.0
2019-09-30,12362.0,12413.5,12357.5,12399.5,15.0,580.0
2019-09-27,12265.0,12363.0,12265.0,12347.0,47.0,572.0
2019-09-26,12208.5,12297.0,12206.5,12259.0,28.0,557.0
2019-09-25,12220.5,12230.5,12116.0,12207.5,58.0,584.0
2019-09-24,12327.0,12340.0,12209.5,12288.5,41.0,560.0
2019-09-23,12311.5,12340.0,12250.0,12321.0,62.0,533.0
2019-09-20,12402.0,12457.0,12402.0,12439.0,18.0,523.0
2019-09-19,12402.0,12458.5,12333.5,12439.5,60382.0,94464.0
2019-09-18,12375.0,12410.0,12332.5,12387.5,51277.0,77297.0
2019-09-17,12375.0,12393.5,12286.5,12362.0,51836.0,58929.0
2019-09-16,12448.0,12448.0,12308.0,12383.0,20806.0,30017.0
2019-09-13,12390.0,12479.0,12389.0,12467.0,6804.0,16172.0
2019-09-12,12403.5,12450.0,12292.0,12397.5,7044.0,11552.0
2019-09-11,12266.0,12374.0,12266.0,12328.5,1039.0,8503.0
2019-09-10,12202.0,12290.0,12162.0,12250.0,2764.0,7915.0
2019-09-09,12187.0,12224.0,12171.5,12200.0,759.0,5412.0
2019-09-06,12124.5,12177.0,12100.0,12162.0,365.0,4764.0
2019-09-05,12031.5,12125.0,12031.5,12107.0,1010.0,4568.0
2019-09-04,11961.5,12055.0,11961.5,12000.5,1600.0,4021.0
2019-09-03,11937.5,11937.5,11850.5,11877.0,178.0,3011.0
2019-09-02,11897.5,11970.0,11897.5,11931.0,78.0,2892.0
2019-08-30,11820.5,11960.0,11820.5,11892.5,329.0,2879.0
2019-08-29,11632.0,11841.5,11632.0,11816.0,131.0,2817.0
2019-08-28,11688.5,11688.5,11549.0,11682.0,371.0,2796.0
2019-08-27,11671.0,11755.5,11600.5,11682.5,87.0,2534.0
2019-08-26,11464.5,11669.5,11464.5,11637.5,124.0,2487.0
2019-08-23,11772.0,11795.5,11536.0,11614.5,271.0,2555.0
2019-08-22,11769.0,11805.5,11695.0,11707.0,87.0,2383.0
2019-08-21,11640.5,11791.5,11640.5,11766.5,164.0,2352.0
2019-08-20,11697.5,11717.5,11605.0,11623.5,23.0,2220.0
2019-08-19,11602.5,11725.5,11602.5,11693.5,76.0,2225.0
2019-08-16,11441.0,11525.0,11430.0,11528.0,70.0,2223.0
2019-08-15,11456.0,11507.5,11241.0,11390.5,183.0,2248.0
2019-08-14,11749.0,11749.0,11422.0,11454.5,138.0,2215.0
2019-08-13,11620.0,11795.0,11524.0,11741.0,178.0,2190.0
2019-08-12,11735.5,11800.0,11602.0,11661.5,193.0,2196.0
2019-08-09,11763.5,11777.5,11657.5,11651.0,20.0,2099.0
2019-08-08,11640.0,11810.0,11640.0,11776.0,37.0,2102.0
2019-08-07,11543.5,11712.5,11543.5,11611.0,81.0,2084.0
2019-08-06,11650.0,11712.5,11546.0,11559.5,533.0,2062.0
