Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,1461.1,1461.9,1452.0,1453.5,6.9,1453.4,88164.0,42677.0
2019-11-26,1455.1,1462.9,1449.6,1461.2,3.4,1460.3,332715.0,170922.0
2019-11-25,1461.0,1462.0,1453.9,1455.1,6.7,1456.9,287666.0,210845.0
2019-11-22,1464.3,1473.4,1461.2,1461.5,,1463.6,305679.0,249542.0
2019-11-21,1475.1,1475.9,1462.4,1464.4,10.6,1463.6,383179.0,291707.0
2019-11-20,1472.7,1479.2,1466.1,1472.0,0.1,1474.2,362646.0,315630.0
2019-11-19,1471.9,1475.8,1465.1,1472.6,2.4,1474.3,301234.0,333380.0
2019-11-18,1467.8,1474.4,1456.6,1471.9,3.4,1471.9,325590.0,343582.0
2019-11-15,1471.9,1472.1,1462.8,1468.7,4.9,1468.5,245303.0,356391.0
2019-11-14,1464.0,1475.5,1461.7,1472.0,10.1,1473.4,312834.0,369525.0
2019-11-13,1456.5,1467.9,1456.4,1464.3,9.6,1463.3,343464.0,377440.0
2019-11-12,1455.9,1461.3,1446.2,1457.0,3.4,1453.7,420986.0,405458.0
2019-11-11,1460.0,1467.4,1448.9,1456.7,5.8,1457.1,304315.0,424329.0
2019-11-08,1469.0,1473.9,1457.0,1459.8,3.5,1462.9,436499.0,445056.0
2019-11-07,1492.1,1493.6,1461.4,1469.4,26.7,1466.4,652539.0,465720.0
2019-11-06,1484.3,1495.9,1483.8,1492.0,9.4,1493.1,303520.0,474763.0
2019-11-05,1511.6,1511.9,1480.7,1484.9,27.4,1483.7,573942.0,496650.0
2019-11-04,1516.4,1517.1,1506.5,1512.0,0.3,1511.1,252018.0,499233.0
2019-11-01,1515.1,1519.0,1505.4,1516.7,3.4,1511.4,370743.0,501191.0
2019-10-31,1498.8,1516.7,1496.0,1515.4,18.1,1514.8,377386.0,477447.0
2019-10-30,1490.5,1499.3,1483.1,1498.0,6.0,1496.7,347115.0,478496.0
2019-10-29,1485.9,1485.9,1485.9,1485.9,3.0,1487.0,1.0,214.0
2019-10-28,1504.1,1504.1,1490.4,1491.4,9.5,1490.0,37.0,326.0
2019-10-25,1501.4,1514.3,1499.0,1503.7,0.6,1499.5,93.0,279.0
2019-10-24,1490.5,1501.2,1485.9,1500.7,9.0,1498.9,115.0,208.0
2019-10-23,1486.4,1490.3,1486.4,1489.0,8.2,1489.9,67.0,167.0
2019-10-22,1483.4,1483.5,1481.2,1481.2,0.7,1481.7,99.0,199.0
2019-10-21,1489.9,1489.9,1481.5,1481.5,5.8,1482.4,72.0,1029.0
2019-10-18,1487.3,1489.1,1483.1,1487.2,4.1,1488.2,82.0,1011.0
2019-10-17,1486.2,1493.2,1485.8,1492.3,4.3,1492.3,271.0,989.0
2019-10-16,1482.0,1487.9,1480.0,1487.7,10.4,1488.0,383.0,736.0
2019-10-15,1488.9,1495.4,1476.6,1479.5,14.1,1477.6,367.0,447.0
2019-10-14,1484.4,1493.5,1481.3,1490.0,9.0,1491.7,400.0,261.0
2019-10-11,1491.9,1494.9,1476.9,1482.1,12.1,1482.7,57.0,246.0
2019-10-10,1511.2,1511.2,1490.6,1492.0,11.3,1494.8,78.0,293.0
2019-10-09,1507.7,1507.7,1498.4,1507.0,8.9,1506.1,120.0,437.0
2019-10-08,1489.4,1506.3,1489.3,1497.2,0.5,1497.2,46.0,414.0
2019-10-07,1504.8,1505.8,1489.1,1490.7,8.5,1497.7,121.0,395.0
2019-10-04,1505.6,1508.7,1497.1,1506.3,0.9,1506.2,233.0,1350.0
2019-10-03,1497.4,1518.2,1496.6,1506.1,6.1,1507.1,1213.0,1358.0
2019-10-02,1476.6,1503.7,1474.1,1498.9,19.0,1501.0,205.0,1940.0
2019-10-01,1468.7,1485.5,1458.3,1479.0,16.3,1482.0,219.0,2206.0
2019-09-30,1495.9,1495.9,1463.5,1472.1,33.4,1465.7,1078.0,9352.0
2019-09-27,1504.2,1506.1,1485.6,1495.9,8.8,1499.1,7827.0,12084.0
2019-09-26,1503.7,1512.0,1500.0,1503.8,2.8,1507.9,8178.0,17382.0
2019-09-25,1530.9,1534.9,1499.8,1504.0,27.5,1505.1,15391.0,31081.0
2019-09-24,1522.8,1535.6,1515.5,1531.3,8.6,1532.6,7667.0,30200.0
2019-09-23,1515.2,1526.7,1511.0,1521.9,16.0,1524.0,7240.0,32028.0
2019-09-20,1499.5,1517.4,1498.7,1516.9,8.5,1508.0,7122.0,34544.0
2019-09-19,1494.4,1505.2,1489.8,1499.5,9.6,1499.5,4695.0,34318.0
2019-09-18,1502.6,1512.7,1484.0,1494.9,2.2,1509.1,7428.0,33835.0
2019-09-17,1499.4,1508.4,1494.6,1502.4,2.1,1506.9,9769.0,36347.0
2019-09-16,1500.3,1512.8,1496.9,1499.2,11.9,1504.8,4886.0,38362.0
2019-09-13,1499.8,1509.8,1486.7,1489.8,7.9,1492.9,5580.0,39286.0
2019-09-12,1499.1,1525.4,1490.5,1500.2,4.2,1500.8,6531.0,39225.0
2019-09-11,1486.8,1499.6,1486.8,1498.3,3.9,1496.6,3355.0,40353.0
2019-09-10,1500.2,1502.5,1485.7,1487.0,11.8,1492.7,6153.0,41698.0
2019-09-09,1509.2,1517.1,1499.1,1500.3,4.5,1504.5,6902.0,41879.0
2019-09-06,1520.6,1529.6,1504.5,1511.1,10.0,1509.0,10708.0,43056.0
2019-09-05,1555.0,1555.5,1508.2,1520.6,35.0,1519.0,12647.0,45357.0
2019-09-04,1549.8,1559.8,1536.5,1555.4,4.4,1554.0,7658.0,45116.0
2019-09-03,1526.0,1552.5,1521.7,1550.0,26.6,1549.6,8020.0,44985.0
2019-08-30,1530.6,1535.7,1519.3,1523.0,7.5,1523.0,5645.0,45055.0
2019-08-29,1542.2,1553.4,1522.3,1530.0,12.3,1530.5,14016.0,46850.0
2019-08-28,1538.1,1538.1,1538.1,1538.1,3.2,1537.8,66.0,75.0
2019-08-27,1530.5,1542.1,1528.5,1542.0,14.7,1541.0,166.0,351.0
2019-08-26,1543.2,1543.3,1524.3,1526.9,0.3,1526.3,334.0,2222.0
2019-08-23,1493.5,1527.6,1493.3,1527.2,29.3,1526.6,983.0,1387.0
2019-08-22,1495.1,1495.1,1493.8,1493.8,7.3,1497.3,686.0,929.0
2019-08-21,1504.9,1505.0,1498.8,1503.5,,1504.6,350.0,894.0
2019-08-20,1497.5,1506.1,1497.5,1505.8,4.2,1504.6,486.0,761.0
2019-08-19,1507.2,1507.6,1492.9,1494.9,12.1,1500.4,205.0,1606.0
2019-08-16,1524.6,1524.6,1504.7,1508.6,7.1,1512.5,1331.0,1101.0
2019-08-15,1519.8,1522.7,1510.6,1522.1,3.7,1519.6,87.0,1831.0
2019-08-14,1500.0,1520.5,1497.0,1516.1,13.7,1515.9,328.0,2067.0
2019-08-13,1510.4,1531.4,1483.7,1501.7,3.1,1502.2,672.0,2183.0
2019-08-12,1496.0,1514.9,1488.1,1512.2,8.7,1505.3,257.0,2385.0
2019-08-09,1506.2,1507.5,1495.6,1497.5,1.1,1496.6,74.0,2418.0
2019-08-08,1498.4,1508.5,1492.0,1501.6,9.6,1497.7,367.0,2540.0
2019-08-07,1473.5,1509.9,1473.2,1500.8,34.9,1507.3,824.0,2754.0
2019-08-06,1469.7,1475.0,1457.7,1474.3,7.8,1472.4,460.0,2898.0
2019-08-05,1440.4,1469.7,1440.4,1463.7,19.0,1464.6,1008.0,3373.0
2019-08-02,1448.0,1448.0,1432.3,1441.5,24.7,1445.6,1873.0,3559.0
2019-08-01,1411.3,1445.2,1400.9,1443.9,5.2,1420.9,2021.0,6551.0
2019-07-31,1431.3,1435.8,1411.2,1413.3,3.6,1426.1,3194.0,8700.0
2019-07-30,1426.3,1433.9,1422.1,1431.3,9.3,1429.7,73874.0,40213.0
2019-07-29,1419.0,1428.0,1414.4,1426.7,1.1,1420.4,224819.0,95579.0
2019-07-26,1414.9,1424.8,1412.9,1418.5,4.6,1419.3,298339.0,130931.0
2019-07-25,1426.8,1434.1,1411.1,1414.4,8.9,1414.7,476242.0,196135.0
2019-07-24,1418.6,1430.0,1416.7,1426.2,1.9,1423.6,312513.0,236233.0
2019-07-23,1426.0,1431.4,1414.6,1418.1,5.2,1421.7,380653.0,276220.0
2019-07-22,1428.5,1430.8,1423.0,1425.5,0.2,1426.9,247986.0,290181.0
2019-07-19,1448.3,1454.4,1421.1,1426.5,1.4,1426.7,509401.0,320706.0
2019-07-18,1428.5,1449.7,1415.6,1447.4,4.8,1428.1,468333.0,323749.0
2019-07-17,1407.9,1428.4,1401.3,1428.2,12.1,1423.3,349550.0,317778.0
2019-07-16,1416.4,1420.0,1402.1,1407.6,2.3,1411.2,327649.0,329055.0
2019-07-15,1417.7,1421.6,1409.3,1415.7,1.3,1413.5,231713.0,330688.0
2019-07-12,1406.2,1418.9,1404.5,1417.7,5.5,1412.2,277331.0,339821.0
2019-07-11,1421.1,1429.4,1402.7,1405.4,5.8,1406.7,385941.0,362474.0
2019-07-10,1400.0,1421.1,1391.8,1421.0,12.0,1412.5,431541.0,377353.0
2019-07-09,1397.9,1402.4,1387.5,1399.6,0.5,1400.5,281080.0,393474.0
2019-07-08,1401.0,1409.9,1393.8,1397.6,0.1,1400.0,308188.0,407864.0
2019-07-05,1421.6,1426.8,1388.6,1401.2,20.8,1400.1,557936.0,419593.0
2019-07-03,1424.7,1441.0,1414.7,1421.5,12.9,1420.9,409549.0,424625.0
2019-07-02,1386.2,1424.0,1386.2,1421.5,18.7,1408.0,374016.0,418811.0
2019-07-01,1401.8,1401.9,1384.7,1387.0,24.4,1389.3,378921.0,417048.0
2019-06-28,1413.3,1427.8,1408.6,1412.5,1.7,1413.7,300220.0,418399.0
2019-06-27,1412.7,1415.3,1401.4,1412.8,3.4,1412.0,325479.0,415593.0
2019-06-26,1407.2,1416.0,1405.8,1413.3,3.3,1411.6,84.0,146.0
2019-06-25,1418.1,1433.3,1418.1,1422.5,0.6,1414.9,105.0,196.0
2019-06-24,1406.0,1420.6,1402.1,1418.1,18.1,1414.3,125.0,163.0
2019-06-21,1406.0,1406.0,1390.3,1399.3,3.3,1396.2,35.0,235.0
2019-06-20,1381.5,1389.7,1379.5,1386.9,48.3,1392.9,76.0,298.0
2019-06-19,1344.0,1344.0,1343.5,1344.0,2.0,1344.6,129.0,195.0
2019-06-18,1349.3,1349.3,1341.6,1347.5,7.9,1346.6,29.0,469.0
2019-06-17,1339.0,1340.3,1335.0,1339.8,1.4,1338.7,76.0,590.0
2019-06-14,1345.4,1355.4,1339.3,1340.7,0.9,1340.1,914.0,304.0
2019-06-13,1331.6,1341.1,1331.6,1340.9,7.3,1339.2,157.0,297.0
2019-06-12,1326.9,1334.5,1326.9,1331.7,5.5,1331.9,139.0,292.0
2019-06-11,1328.4,1328.4,1319.1,1325.9,1.7,1326.4,201.0,1160.0
2019-06-10,1335.8,1336.5,1324.1,1327.5,16.5,1324.7,268.0,1259.0
2019-06-07,1333.1,1347.7,1329.8,1340.0,3.6,1341.2,240.0,1282.0
2019-06-06,1330.8,1338.7,1326.2,1334.1,9.3,1337.6,161.0,1337.0
2019-06-05,1328.9,1343.3,1326.3,1329.2,4.9,1328.3,622.0,1366.0
2019-06-04,1324.3,1328.6,1320.7,1326.0,0.7,1323.4,302.0,1762.0
2019-06-03,1307.0,1327.8,1307.0,1324.2,16.9,1322.7,812.0,2013.0
2019-05-31,1287.7,1306.4,1287.5,1305.5,18.7,1305.8,2814.0,3382.0
2019-05-30,1279.4,1288.3,1273.9,1288.0,6.1,1287.1,55573.0,29638.0
2019-05-29,,,,,4.1,1280.6,0.0,49.0
2019-05-28,,,,,6.5,1276.5,0.0,57.0
2019-05-24,,,,,1.8,1283.0,9.0,58.0
2019-05-23,,,,,11.2,1284.8,0.0,58.0
2019-05-22,,,,,1.6,1273.6,0.0,58.0
2019-05-21,,,,,4.1,1272.0,0.0,73.0
2019-05-20,,,,,1.6,1276.1,20.0,67.0
2019-05-17,1280.0,1280.0,1280.0,1280.0,10.5,1274.5,1.0,69.0
2019-05-16,1285.2,1285.5,1285.1,1285.4,11.3,1285.0,3.0,123.0
2019-05-15,1296.9,1296.9,1296.0,1296.2,1.6,1296.3,55.0,121.0
2019-05-14,1297.8,1297.8,1296.8,1296.8,5.4,1294.7,6.0,159.0
2019-05-13,1286.7,1297.7,1281.8,1297.4,14.4,1300.1,56.0,119.0
2019-05-10,1285.4,1286.5,1283.3,1286.5,2.2,1285.7,6.0,128.0
2019-05-09,1278.9,1285.0,1278.8,1283.6,4.1,1283.5,38.0,128.0
2019-05-08,,,,,4.1,1279.4,5.0,130.0
