Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,2.6755,2.6905,2.6645,2.677,0.003,2.6745,23246.0,14199.0
2019-11-26,2.646,2.66,2.646,2.66,0.027,2.6745,255.0,325.0
2019-11-25,2.6475,2.6475,2.6475,2.6475,,2.6475,36.0,340.0
2019-11-22,2.6135,2.649,2.6135,2.649,0.0265,2.6475,89.0,421.0
2019-11-21,2.6245,2.6275,2.6205,2.621,0.0255,2.621,162.0,637.0
2019-11-20,2.647,2.65,2.647,2.65,0.007,2.6465,121.0,558.0
2019-11-19,2.65,2.653,2.6425,2.653,0.036,2.6535,209.0,590.0
2019-11-18,2.631,2.631,2.6165,2.6165,0.0175,2.6175,239.0,842.0
2019-11-15,2.632,2.634,2.632,2.6335,0.0165,2.635,327.0,817.0
2019-11-14,2.622,2.622,2.6175,2.6175,0.018,2.6185,162.0,983.0
2019-11-13,2.6325,2.6355,2.63,2.63,0.0055,2.6365,287.0,1009.0
2019-11-12,2.65,2.652,2.648,2.652,0.018,2.642,110.0,1016.0
2019-11-11,2.675,2.675,2.66,2.66,0.018,2.66,128.0,945.0
2019-11-08,2.698,2.698,2.679,2.679,0.046,2.678,46.0,1016.0
2019-11-07,2.7185,2.7185,2.7185,2.7185,0.063,2.724,303.0,1339.0
2019-11-06,2.67,2.67,2.664,2.664,0.034,2.661,113.0,1342.0
2019-11-05,2.6975,2.7085,2.691,2.6975,0.028,2.695,297.0,1344.0
2019-11-04,2.6615,2.667,2.6615,2.667,0.016,2.667,218.0,1304.0
2019-11-01,2.636,2.656,2.63,2.656,0.018,2.651,571.0,1840.0
2019-10-31,2.6565,2.6615,2.625,2.6355,0.0475,2.633,171.0,2421.0
2019-10-30,2.685,2.6865,2.675,2.68,0.005,2.6805,386.0,2554.0
2019-10-29,2.671,2.671,2.671,2.671,0.01,2.6825,170.0,362.0
2019-10-28,2.6725,2.675,2.6715,2.675,0.006,2.6725,239.0,379.0
2019-10-25,2.6605,2.6775,2.6605,2.6775,0.0075,2.6665,172.0,409.0
2019-10-24,2.667,2.667,2.6555,2.6555,0.0035,2.659,213.0,428.0
