Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,1.9529,1.9716,1.9385,1.9496,0.0127,1.9453,75927.0,126304.0
2019-11-26,1.9416,1.9646,1.9379,1.954,0.0157,1.958,67990.0,121027.0
2019-11-25,1.9343,1.945,1.9218,1.942,0.014,1.9423,63025.0,119230.0
2019-11-22,1.9379,1.9584,1.9185,1.9339,0.0148,1.9283,74974.0,118118.0
2019-11-21,1.8904,1.9453,1.881,1.9356,0.0527,1.9431,68722.0,114834.0
2019-11-20,1.8548,1.9111,1.8441,1.8922,0.0349,1.8904,86515.0,106551.0
2019-11-19,1.894,1.9032,1.8509,1.8545,0.0449,1.8555,78986.0,104891.0
2019-11-18,1.9514,1.9514,1.8903,1.8945,0.0429,1.9004,58232.0,102933.0
2019-11-15,1.9142,1.9563,1.8993,1.9472,0.0288,1.9433,51540.0,98112.0
2019-11-14,1.9107,1.9364,1.9102,1.9159,0.005,1.9145,36182.0,96241.0
2019-11-13,1.8932,1.9194,1.8663,1.9119,0.0144,1.9095,67266.0,94105.0
2019-11-12,1.9119,1.9185,1.8894,1.8927,0.0141,1.8951,54044.0,86957.0
2019-11-11,1.914,1.9281,1.8889,1.9103,0.004,1.9092,52257.0,82474.0
2019-11-08,1.9137,1.919,1.8669,1.9167,0.0014,1.9132,58622.0,80142.0
2019-11-07,1.922,1.9401,1.9063,1.9136,0.0063,1.9146,55134.0,78773.0
2019-11-06,1.9534,1.9621,1.9139,1.9206,0.0292,1.9209,40036.0,79964.0
2019-11-05,1.938,1.9549,1.9317,1.9504,0.0165,1.9501,35570.0,80315.0
2019-11-04,1.9317,1.9565,1.9185,1.9363,0.0089,1.9336,46138.0,77959.0
2019-11-01,1.8663,1.9276,1.8654,1.9237,0.0564,1.9247,53057.0,78965.0
2019-10-31,1.9019,1.9165,1.8594,1.8737,0.0264,1.8758,85686.0,146400.0
2019-10-30,1.9461,1.9535,1.895,1.9013,0.0437,1.9022,80468.0,144629.0
2019-10-29,1.9537,1.9611,1.9209,1.9442,0.0078,1.9459,70959.0,139894.0
2019-10-28,1.97,1.9788,1.946,1.9516,0.017,1.9537,64317.0,135810.0
2019-10-25,1.9748,1.9768,1.9403,1.9693,0.0041,1.9707,77257.0,136569.0
2019-10-24,1.955,1.9799,1.942,1.9725,0.0226,1.9748,84145.0,129115.0
2019-10-23,1.9319,1.9548,1.9065,1.9536,0.0228,1.9522,105826.0,128974.0
2019-10-22,1.9255,1.9529,1.9165,1.9306,0.0062,1.9294,71483.0,124020.0
2019-10-21,1.9316,1.9332,1.8959,1.9254,0.0066,1.9232,54003.0,119128.0
2019-10-18,1.9361,1.9455,1.9169,1.9273,0.0035,1.9298,61356.0,110525.0
2019-10-17,1.9213,1.938,1.9043,1.9353,0.0038,1.9333,60372.0,104679.0
2019-10-16,1.9032,1.9384,1.8976,1.9204,0.0289,1.9295,65912.0,100726.0
2019-10-15,1.9024,1.9221,1.8804,1.9049,0.0047,1.9006,62063.0,100528.0
2019-10-14,1.9408,1.9465,1.8915,1.9024,0.0355,1.9053,69974.0,95158.0
2019-10-11,1.917,1.9501,1.9076,1.9434,0.0381,1.9408,63934.0,91107.0
2019-10-10,1.9011,1.9181,1.8694,1.9135,0.0043,1.9027,71810.0,83381.0
2019-10-09,1.8835,1.9228,1.8821,1.8947,0.0075,1.8984,69858.0,76599.0
2019-10-08,1.8889,1.8999,1.8587,1.8873,0.0051,1.8909,59693.0,77088.0
2019-10-07,1.8768,1.915,1.8713,1.8863,0.0058,1.8858,55075.0,75933.0
2019-10-04,1.8635,1.8953,1.8633,1.884,0.0165,1.88,64659.0,74119.0
2019-10-03,1.8605,1.8693,1.8151,1.8641,0.0006,1.8635,62578.0,75688.0
2019-10-02,1.8941,1.9046,1.8489,1.8552,0.0256,1.8629,42140.0,74750.0
2019-10-01,1.8906,1.9124,1.877,1.8979,0.0001,1.8885,43494.0,76145.0
2019-09-30,1.9421,1.95,1.8957,1.9007,0.0388,1.8972,54559.0,114778.0
2019-09-27,1.9506,1.9608,1.9108,1.9408,0.0145,1.936,69699.0,112978.0
2019-09-26,1.9497,1.9598,1.9203,1.951,0.0008,1.9505,51648.0,110467.0
2019-09-25,1.9506,1.9541,1.9174,1.9509,0.0133,1.9497,53587.0,109795.0
2019-09-24,1.9862,1.9911,1.9449,1.9474,0.0295,1.963,61618.0,108957.0
2019-09-23,2.0159,2.0189,1.9671,1.9884,0.0105,1.9925,48136.0,104214.0
2019-09-20,2.0078,2.013,1.9793,1.997,0.0174,1.982,48812.0,102608.0
2019-09-19,1.9716,2.0223,1.9668,2.006,0.0288,1.9994,65224.0,103016.0
2019-09-18,1.9823,2.0,1.9572,1.9753,0.0183,1.9706,45169.0,101944.0
2019-09-17,2.057,2.0935,1.9664,1.9801,0.0907,1.9889,87525.0,93331.0
2019-09-16,1.9816,2.0921,1.9816,2.059,0.2027,2.0796,84235.0,91426.0
