Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-02-14,101.5,101.7,100.45,101.5,-0.2,101.37,1620.0,6267.0,20.0,,
2020-02-13,100.75,102.1,100.5,101.7,0.95,101.56,1417.0,5334.0,,,
2020-02-12,102.5,102.75,100.35,100.75,-1.55,101.77,1536.0,4319.0,,,
2020-02-11,101.4,102.55,101.25,102.3,1.05,102.04,524.0,4045.0,,,
2020-02-10,98.5,101.4,98.1,101.25,2.9,100.24,492.0,3886.0,,,
2020-02-07,98.4,98.45,98.0,98.35,0.15,98.22,712.0,3375.0,,,
2020-02-06,97.8,98.35,97.55,98.2,0.9,98.15,308.0,3225.0,32.0,,
2020-02-05,97.0,97.9,97.0,97.3,-0.15,97.62,349.0,3066.0,,,
2020-02-04,98.35,98.35,95.55,97.45,-0.85,97.0,595.0,2790.0,,,
2020-02-03,99.4,99.4,97.95,98.3,-1.2,98.49,350.0,2526.0,,,
2020-01-31,99.15,100.25,99.1,99.5,0.5,99.51,138.0,2412.0,,,
2020-01-30,99.85,100.5,98.85,99.0,-1.25,99.57,266.0,2194.0,,,
2020-01-29,99.95,101.0,99.9,100.25,0.75,100.16,98.0,2191.0,,,
2020-01-28,99.3,99.85,99.15,99.5,0.85,99.49,71.0,2196.0,,,
2020-01-27,99.2,99.6,98.55,98.65,-0.65,99.05,82.0,2199.0,,,
2020-01-24,98.8,100.05,98.8,99.3,0.5,99.54,88.0,2194.0,,,
2020-01-23,100.75,100.8,98.65,98.8,-1.4,99.59,102.0,2141.0,,,
2020-01-22,99.35,100.75,97.95,100.2,0.85,99.71,222.0,2078.0,,,
2020-01-21,98.55,99.75,98.55,99.35,0.8,99.14,104.0,2082.0,,,
2020-01-20,,,,98.55,0.0,,,2082.0,,,
2020-01-17,99.05,99.1,98.5,98.55,-0.55,98.72,89.0,2063.0,,,
2020-01-16,100.0,100.35,99.0,99.1,-0.65,99.36,222.0,2028.0,,,
2020-01-15,99.85,100.25,99.25,99.75,0.05,99.78,137.0,1970.0,,,
2020-01-14,98.5,99.8,97.9,99.7,1.1,98.81,116.0,1904.0,,,
2020-01-13,99.7,100.15,98.4,98.6,-1.45,99.19,139.0,1827.0,,,
2020-01-10,99.9,100.2,99.4,100.05,0.1,99.64,161.0,1789.0,20.0,,
2020-01-09,99.3,99.3,96.75,97.0,-1.95,97.56,1198.0,14390.0,36.0,,
2020-01-08,99.8,100.05,98.65,98.95,-0.7,99.23,473.0,14328.0,,,
2020-01-07,99.25,100.4,98.45,99.65,0.65,99.46,563.0,14297.0,2.0,,
2020-01-06,99.1,99.7,98.1,99.0,-0.4,98.87,766.0,14058.0,50.0,,
2020-01-03,101.0,101.3,99.2,99.4,-1.35,100.06,429.0,13987.0,,,
2020-01-02,99.75,101.5,99.75,100.75,,100.67,774.0,13927.0,150.0,,
