Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2020-02-14,104.15,109.4,103.65,109.1,4.65,107.07,9171.0,20927.0,471.0,22.0,
2020-02-13,100.5,104.65,99.95,104.45,3.8,102.51,27176.0,33121.0,772.0,610.0,
2020-02-12,101.0,102.3,100.0,100.65,0.15,101.12,34854.0,49256.0,314.0,1045.0,
2020-02-11,100.65,101.2,99.5,100.5,0.2,100.36,35562.0,64247.0,715.0,87.0,
2020-02-10,98.55,100.7,98.05,100.3,1.95,99.38,44542.0,76154.0,994.0,234.0,
2020-02-07,98.35,99.9,97.7,98.35,0.2,98.66,23483.0,83229.0,172.0,6.0,
2020-02-06,98.45,99.35,97.4,98.15,0.4,98.18,31274.0,88254.0,2886.0,29.0,
2020-02-05,98.5,99.25,97.55,97.75,-0.4,98.19,28854.0,92609.0,353.0,23.0,
2020-02-04,98.95,101.75,97.6,98.15,0.25,99.11,28905.0,93660.0,610.0,3.0,
2020-02-03,102.0,102.3,97.8,97.9,-4.75,99.25,30662.0,94446.0,537.0,38.0,
2020-01-31,101.45,103.25,100.15,102.65,1.15,101.52,22876.0,95106.0,241.0,49.0,
2020-01-30,102.0,103.5,100.9,101.5,-0.55,102.15,23887.0,94548.0,592.0,147.0,
2020-01-29,106.0,106.2,101.9,102.05,-3.0,103.34,31714.0,95007.0,822.0,145.0,
2020-01-28,106.4,106.8,104.9,105.05,-1.55,105.88,23193.0,93453.0,552.0,140.0,
2020-01-27,110.0,110.0,106.15,106.6,-3.55,107.15,24766.0,93929.0,720.0,14.0,
2020-01-24,112.6,112.65,109.85,110.15,-2.45,110.67,23699.0,95814.0,221.0,70.0,
2020-01-23,111.15,113.7,110.65,112.6,1.6,112.44,22372.0,97900.0,292.0,234.0,
2020-01-22,111.5,112.2,110.1,111.0,-0.05,111.06,18166.0,97635.0,356.0,59.0,
2020-01-21,111.5,113.25,109.75,111.05,-1.1,111.23,31334.0,99988.0,499.0,178.0,
2020-01-20,,,,112.15,0.0,,,100169.0,,,
2020-01-17,113.05,113.4,111.35,112.15,-0.8,112.09,17413.0,101800.0,418.0,8.0,
2020-01-16,114.3,115.1,112.35,112.95,-1.35,113.12,16004.0,103035.0,636.0,68.0,
2020-01-15,115.3,116.35,114.05,114.3,-0.6,114.93,24015.0,104088.0,651.0,11.0,
2020-01-14,115.0,115.55,113.7,114.9,0.35,114.65,17716.0,104405.0,401.0,501.0,
2020-01-13,118.55,118.55,114.15,114.55,-4.4,115.72,21981.0,105370.0,294.0,5.0,
2020-01-10,117.75,119.15,116.5,118.95,1.6,118.12,20871.0,107957.0,249.0,45.0,
2020-01-09,118.7,120.35,117.0,117.35,-1.8,118.61,24265.0,109336.0,342.0,30.0,
2020-01-08,122.5,123.05,118.25,119.15,-3.25,120.16,22643.0,111221.0,397.0,21.0,
2020-01-07,122.6,123.4,119.85,122.4,0.25,121.21,20523.0,111176.0,635.0,150.0,
2020-01-06,126.25,126.55,121.55,122.15,-4.2,123.16,23678.0,110943.0,724.0,26.0,
2020-01-03,127.2,128.45,125.45,126.35,-0.75,126.99,16168.0,111898.0,398.0,,
2020-01-02,129.55,130.95,126.5,127.1,,128.64,21309.0,111329.0,188.0,9.0,
2019-12-31,131.5,134.65,128.55,129.7,-2.45,131.46,17319.0,111355.0,33.0,24.0,
2019-12-30,132.5,132.75,129.8,132.15,-0.35,131.43,14886.0,111319.0,521.0,30.0,
2019-12-27,127.85,132.8,127.65,132.5,5.2,130.7,20717.0,110791.0,1326.0,1518.0,
2019-12-26,129.4,129.85,126.65,127.3,,128.28,8836.0,112178.0,42.0,8.0,
2019-12-24,126.05,130.65,125.35,129.4,4.1,128.28,15388.0,113756.0,179.0,164.0,
2019-12-23,130.4,131.5,124.9,125.3,-5.4,126.72,22188.0,113412.0,226.0,1497.0,
2019-12-20,126.9,131.05,126.3,130.7,3.5,129.02,18470.0,113250.0,329.0,230.0,
