Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,431.75,435.75,423.75,423.75,5.75,426.75,10745.0,8012.0
2019-11-26,435.25,435.75,427.75,432.75,3.0,432.5,14319.0,16602.0
2019-11-25,424.0,436.5,424.0,434.75,11.5,435.5,19848.0,23787.0
2019-11-22,421.0,427.25,420.25,421.0,3.0,424.0,16909.0,32059.0
2019-11-21,426.0,429.0,420.0,420.5,5.0,421.0,12307.0,36142.0
2019-11-20,426.25,429.75,422.0,426.0,0.25,426.0,16938.0,46491.0
2019-11-19,417.5,427.75,417.5,426.0,7.25,425.75,31526.0,56295.0
2019-11-18,416.75,424.0,413.25,419.25,1.5,418.5,42816.0,69102.0
2019-11-15,421.75,423.0,416.5,416.5,5.25,417.0,23130.0,74142.0
2019-11-14,427.25,429.0,418.75,422.0,2.5,422.25,37830.0,83910.0
2019-11-13,438.5,439.0,423.75,425.0,14.0,424.75,54268.0,101810.0
2019-11-12,424.5,439.25,423.5,437.75,16.0,438.75,58587.0,111822.0
2019-11-11,421.25,425.0,418.0,423.0,1.25,422.75,43811.0,126413.0
2019-11-08,424.25,430.0,417.75,420.5,3.25,421.5,47654.0,140192.0
2019-11-07,427.5,429.25,420.25,424.75,3.0,424.75,43090.0,151380.0
2019-11-06,428.75,432.25,426.25,427.25,0.75,427.75,29449.0,154048.0
2019-11-05,423.0,430.0,421.5,428.0,5.5,428.5,33044.0,158979.0
2019-11-04,424.75,427.5,421.0,423.75,3.0,423.0,25690.0,162761.0
2019-11-01,418.5,427.0,417.5,424.75,6.25,426.0,33106.0,164205.0
2019-10-31,418.5,420.75,410.0,419.0,1.5,419.75,28603.0,165816.0
2019-10-30,419.25,422.0,416.25,418.75,0.75,418.25,16313.0,166462.0
2019-10-29,417.75,421.75,415.5,419.0,2.0,419.0,18951.0,165597.0
2019-10-28,423.0,423.25,415.5,418.0,5.75,417.0,21189.0,163945.0
2019-10-25,420.0,425.25,417.0,421.5,3.25,422.75,21754.0,163718.0
2019-10-24,424.0,426.75,418.5,419.75,3.75,419.5,17652.0,163491.0
2019-10-23,421.25,425.0,418.5,423.5,2.0,423.25,19615.0,161593.0
2019-10-22,424.75,433.75,420.5,420.75,4.25,421.25,27957.0,163119.0
2019-10-21,432.75,437.25,424.75,424.5,8.25,425.5,32975.0,169992.0
2019-10-18,430.75,434.0,426.75,432.5,2.5,433.75,27837.0,174125.0
2019-10-17,425.5,433.25,423.75,430.25,6.25,431.25,27983.0,175841.0
2019-10-16,420.0,425.75,417.5,425.5,3.75,425.0,21202.0,177298.0
2019-10-15,423.75,426.0,418.75,420.5,4.5,421.25,22960.0,180645.0
2019-10-14,424.0,427.75,419.5,424.75,6.25,425.75,25503.0,182446.0
2019-10-11,403.0,423.25,402.5,418.5,16.25,419.5,42412.0,182414.0
2019-10-10,411.5,417.0,400.5,402.0,10.0,403.25,36067.0,183009.0
2019-10-09,409.5,417.75,407.5,412.0,3.0,413.25,29592.0,181547.0
2019-10-08,402.25,412.25,398.75,408.75,8.0,410.25,30538.0,182452.0
2019-10-07,405.0,408.0,401.75,402.5,1.75,402.25,18465.0,183109.0
2019-10-04,404.75,409.25,403.25,404.0,1.75,404.0,14518.0,183293.0
2019-10-03,404.0,408.25,400.5,404.5,,405.75,26856.0,184936.0
2019-10-02,411.5,412.75,401.5,404.0,5.75,405.75,31662.0,187238.0
2019-10-01,414.0,416.75,406.5,410.0,3.5,411.5,36012.0,184484.0
2019-09-30,408.0,420.0,403.0,415.0,7.5,415.0,34894.0,185393.0
2019-09-27,409.5,412.5,407.0,407.0,0.75,407.5,16083.0,185038.0
2019-09-26,403.25,411.25,403.25,408.0,4.25,408.25,21233.0,183646.0
2019-09-25,404.5,408.0,402.0,404.0,1.0,404.0,16630.0,183687.0
2019-09-24,405.5,408.25,402.75,405.0,1.5,405.0,16061.0,183472.0
2019-09-23,409.5,414.0,405.0,405.5,1.0,406.5,15462.0,182237.0
2019-09-20,408.25,411.75,406.75,407.5,2.0,407.5,19657.0,183934.0
2019-09-19,409.0,414.0,405.5,409.25,0.25,409.5,24022.0,183751.0
2019-09-18,402.25,411.0,399.0,410.0,7.5,409.75,22523.0,184422.0
2019-09-17,406.5,408.5,400.75,402.75,6.75,402.25,20385.0,186815.0
2019-09-16,403.0,409.75,398.75,408.75,9.25,409.0,19936.0,188292.0
2019-09-13,387.5,387.75,387.5,387.75,3.5,383.5,2.0,7.0
2019-09-12,,,,,3.25,380.0,4.0,6.0
2019-09-11,,,,,5.25,376.75,14.0,19.0
2019-09-10,375.0,375.0,375.0,375.0,2.0,382.0,8.0,10.0
2019-09-09,370.25,370.25,370.25,370.25,4.75,380.0,7.0,8.0
2019-09-06,379.0,379.0,376.0,376.0,6.75,375.25,6.0,38.0
2019-09-05,378.75,383.0,372.0,372.0,8.0,382.0,65.0,63.0
2019-09-04,370.25,375.5,367.5,375.5,12.0,374.0,140.0,287.0
2019-09-03,382.0,382.0,361.75,361.75,16.25,362.0,186.0,1226.0
2019-08-30,387.0,387.0,374.25,377.0,9.0,378.25,3297.0,2350.0
2019-08-29,392.25,393.75,385.25,385.5,5.0,387.25,15545.0,11467.0
2019-08-28,392.0,393.75,385.75,392.5,0.5,392.25,11569.0,18408.0
2019-08-27,389.0,394.5,387.5,393.75,3.75,392.75,17504.0,27969.0
2019-08-26,390.0,395.0,387.75,388.5,2.5,389.0,16557.0,35962.0
2019-08-23,393.25,395.5,387.75,393.5,1.75,391.5,17507.0,44118.0
2019-08-22,387.5,394.75,387.0,394.25,7.0,393.25,20429.0,49657.0
2019-08-21,387.5,388.25,384.0,387.5,0.5,386.25,15700.0,53675.0
2019-08-20,390.25,393.25,384.5,386.25,4.5,386.75,16293.0,59109.0
2019-08-19,394.25,394.5,388.75,389.75,3.0,391.25,17252.0,66009.0
2019-08-16,389.75,394.75,389.25,394.75,4.5,394.25,17672.0,70587.0
2019-08-15,386.0,392.0,384.5,390.0,5.0,389.75,25160.0,76704.0
