Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,411.6,423.0,409.2,416.4,3.2,416.1,345.0,2458.0
2019-11-26,411.0,413.3,403.3,412.0,8.4,412.9,786.0,2632.0
2019-11-25,409.9,427.7,408.0,422.8,10.9,421.3,810.0,2416.0
2019-11-22,407.9,411.2,405.1,410.7,2.2,410.4,292.0,2394.0
2019-11-21,402.9,413.0,402.9,408.7,5.5,408.2,231.0,2348.0
2019-11-20,413.4,414.0,401.0,402.8,10.7,402.7,276.0,2374.0
2019-11-19,417.2,421.5,408.3,413.0,0.4,413.4,419.0,2272.0
2019-11-18,403.0,414.4,403.0,413.3,16.6,413.0,478.0,2239.0
2019-11-15,380.0,383.9,374.2,375.7,6.3,375.7,10.0,10.0
2019-11-14,378.2,387.3,370.5,382.0,9.4,382.0,24.0,31.0
2019-11-13,370.0,373.1,369.0,372.5,0.4,372.6,43.0,87.0
2019-11-12,376.0,381.5,372.0,372.0,4.8,372.2,97.0,138.0
2019-11-11,376.3,379.9,375.0,376.0,2.9,377.0,49.0,168.0
2019-11-08,381.4,381.7,377.3,379.0,6.1,379.9,73.0,192.0
2019-11-07,393.5,393.5,382.8,386.0,2.1,386.0,90.0,223.0
2019-11-06,389.5,394.0,385.7,388.0,6.2,388.1,150.0,319.0
2019-11-05,404.3,405.3,388.8,394.0,12.2,394.3,279.0,477.0
2019-11-04,404.5,411.6,402.4,406.5,2.4,406.5,130.0,527.0
2019-11-01,397.3,405.7,396.0,405.0,7.9,404.1,156.0,591.0
2019-10-31,394.8,399.4,394.8,396.0,1.2,396.2,157.0,806.0
2019-10-30,400.9,406.2,395.0,395.1,7.6,395.0,248.0,907.0
2019-10-29,395.1,405.5,394.5,403.0,3.6,402.6,185.0,1002.0
2019-10-28,404.7,409.4,397.5,398.5,4.3,399.0,255.0,1061.0
2019-10-25,404.1,409.0,401.8,402.9,1.2,403.3,449.0,1166.0
2019-10-24,400.6,403.9,398.1,402.6,1.5,402.1,210.0,1230.0
2019-10-23,395.8,403.9,395.8,400.1,4.8,400.6,324.0,1239.0
2019-10-22,397.7,400.1,393.6,396.8,1.8,395.8,347.0,1230.0
2019-10-21,387.1,399.7,385.6,398.4,12.0,397.6,626.0,1257.0
2019-10-18,387.9,391.0,383.0,384.3,4.0,385.6,301.0,1291.0
2019-10-17,381.8,394.9,381.2,389.0,9.7,389.6,630.0,1336.0
2019-10-16,373.8,381.3,373.8,380.2,7.2,379.9,225.0,1355.0
2019-10-15,383.0,386.4,371.5,372.0,7.8,372.7,427.0,1398.0
2019-10-14,368.9,385.0,367.8,382.0,11.1,380.5,567.0,1365.0
2019-10-11,365.0,373.1,363.6,369.8,6.4,369.4,245.0,1409.0
2019-10-10,364.4,369.5,362.2,362.8,3.3,363.0,241.0,1453.0
2019-10-09,359.2,371.1,358.6,366.0,4.3,366.3,308.0,1516.0
2019-10-08,369.9,369.9,359.7,363.3,6.7,362.0,356.0,1499.0
2019-10-07,365.7,377.0,364.2,369.2,3.0,368.7,313.0,1494.0
2019-10-04,363.2,367.7,361.7,366.6,1.5,365.7,240.0,1520.0
2019-10-03,361.4,373.9,359.5,365.2,4.4,364.2,553.0,1537.0
