Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,120.775,121.85,120.35,121.775,1.025,121.425,14901.0,40608.0
2019-11-26,119.9,120.775,119.6,120.725,0.7,120.4,9358.0,43454.0
2019-11-25,119.0,120.525,118.85,119.9,1.025,119.7,12958.0,45797.0
2019-11-22,119.1,119.35,118.25,118.775,0.65,118.675,13859.0,49852.0
2019-11-21,119.4,119.95,119.075,119.375,0.025,119.325,16562.0,54720.0
2019-11-20,118.55,119.525,118.15,119.35,0.525,119.3,16101.0,58764.0
2019-11-19,118.675,118.9,117.7,118.75,0.075,118.775,17777.0,63091.0
2019-11-18,119.1,119.15,118.5,118.75,0.4,118.7,17591.0,68170.0
2019-11-15,119.075,119.425,118.575,119.35,0.025,119.1,16974.0,70771.0
2019-11-14,117.8,119.275,117.7,119.2,0.975,119.075,23780.0,77297.0
2019-11-13,119.825,119.85,117.35,118.325,1.65,118.1,40222.0,86965.0
2019-11-12,119.7,119.975,119.05,119.875,0.125,119.75,27442.0,97309.0
2019-11-11,119.45,119.95,118.825,119.875,0.625,119.875,31002.0,104641.0
2019-11-08,119.075,119.65,118.525,119.3,0.25,119.25,29563.0,114201.0
2019-11-07,119.2,119.775,118.6,119.175,,119.0,29647.0,122346.0
2019-11-06,119.225,119.6,118.2,119.175,0.45,119.0,22814.0,126176.0
2019-11-05,120.0,120.15,118.9,119.35,0.625,119.45,23867.0,126291.0
2019-11-04,119.525,120.325,119.05,120.175,0.55,120.075,24891.0,125851.0
2019-11-01,117.225,119.7,117.125,119.675,2.3,119.525,29461.0,126609.0
2019-10-31,113.5,114.15,111.0,111.675,1.7,111.675,46.0,40.0
2019-10-30,113.05,114.425,112.7,113.0,0.025,113.375,403.0,355.0
2019-10-29,112.75,113.35,112.175,112.8,0.475,113.35,1022.0,895.0
2019-10-28,112.575,113.0,111.8,113.0,0.9,112.875,600.0,1292.0
2019-10-25,110.5,112.1,110.375,112.1,1.55,111.975,599.0,1653.0
2019-10-24,110.6,111.5,110.0,110.2,0.225,110.425,1856.0,2755.0
2019-10-23,109.525,110.45,108.925,110.2,0.325,110.2,2708.0,3398.0
2019-10-22,110.75,110.9,109.7,109.95,1.075,109.875,1349.0,3900.0
2019-10-21,110.4,111.15,109.725,111.05,0.475,110.95,1107.0,4456.0
2019-10-18,112.5,112.5,109.55,110.6,1.925,110.475,1945.0,5350.0
2019-10-17,112.3,112.5,111.65,112.4,0.05,112.4,1272.0,6044.0
2019-10-16,111.0,112.5,111.0,112.5,1.35,112.35,1883.0,7214.0
2019-10-15,110.775,111.1,110.225,111.1,0.375,111.0,1812.0,8111.0
2019-10-14,109.7,110.85,109.6,110.65,1.175,110.625,1016.0,8629.0
2019-10-11,108.8,109.6,108.65,109.5,0.725,109.45,3337.0,10570.0
2019-10-10,108.45,108.925,108.075,108.925,0.25,108.725,1229.0,11141.0
2019-10-09,108.25,108.85,107.85,108.625,0.3,108.475,1948.0,11624.0
2019-10-08,108.475,108.85,108.075,108.075,0.075,108.175,2720.0,12562.0
2019-10-07,107.575,108.475,107.35,108.475,0.9,108.25,3451.0,14221.0
2019-10-04,106.65,107.8,106.3,107.525,0.55,107.35,7097.0,21846.0
2019-10-03,106.125,107.0,105.825,106.9,0.75,106.8,6490.0,23208.0
2019-10-02,104.85,106.3,104.5,106.25,1.425,106.05,8520.0,26283.0
2019-10-01,104.625,105.175,104.25,104.85,0.05,104.625,7887.0,28415.0
2019-09-30,105.125,105.2,104.325,104.55,0.45,104.575,8729.0,31028.0
2019-09-27,103.25,105.25,103.2,105.2,2.075,105.025,15254.0,32799.0
2019-09-26,103.1,103.35,102.55,103.075,0.05,102.95,9188.0,35368.0
2019-09-25,102.3,103.25,102.025,103.2,0.875,103.0,8452.0,38343.0
2019-09-24,101.75,102.875,101.65,102.325,0.275,102.125,11800.0,41226.0
2019-09-23,100.5,102.1,100.5,102.075,2.5,101.85,10727.0,43959.0
2019-09-20,99.925,100.125,98.95,99.8,0.45,99.35,10525.0,47429.0
2019-09-19,100.25,100.625,99.625,99.8,0.575,99.8,12167.0,51486.0
2019-09-18,99.35,100.5,99.0,100.425,1.025,100.375,12677.0,55245.0
2019-09-17,98.2,99.9,97.625,99.55,1.35,99.35,18347.0,60304.0
2019-09-16,98.3,99.35,97.725,98.2,0.075,98.0,23352.0,69093.0
2019-09-13,98.975,99.55,98.0,98.1,0.65,98.075,31383.0,81934.0
2019-09-12,99.025,99.5,97.675,98.7,0.225,98.725,43020.0,99201.0
2019-09-11,96.45,99.025,95.975,98.85,2.35,98.5,40811.0,110796.0
2019-09-10,93.9,96.6,93.75,96.5,1.95,96.15,40759.0,121333.0
2019-09-09,94.6,95.25,93.4,93.525,0.675,94.2,38846.0,131341.0
2019-09-06,97.4,97.45,94.875,94.975,3.0,94.875,32025.0,135107.0
2019-09-05,99.325,99.325,97.175,97.675,1.15,97.875,34143.0,139121.0
2019-09-04,99.275,99.55,98.65,99.5,0.25,99.025,20235.0,141942.0
2019-09-03,98.975,99.9,98.475,99.125,0.35,99.275,24904.0,142589.0
2019-08-30,105.65,105.75,104.625,105.0,0.65,105.0,602.0,566.0
2019-08-29,105.2,105.95,105.075,105.7,0.575,105.65,532.0,921.0
2019-08-28,104.75,105.75,104.75,105.15,0.325,105.075,525.0,1221.0
2019-08-27,105.5,105.55,104.7,105.0,0.725,104.75,1074.0,1924.0
2019-08-26,105.4,105.75,104.5,105.7,0.85,105.475,664.0,2348.0
2019-08-23,105.05,105.125,104.0,104.8,0.35,104.625,1628.0,3342.0
2019-08-22,103.15,105.075,103.025,105.075,2.3,104.975,1214.0,4000.0
2019-08-21,102.0,103.3,102.0,102.7,0.875,102.675,1584.0,4754.0
2019-08-20,100.5,102.15,100.5,102.15,1.6,101.8,1396.0,5509.0
2019-08-19,100.6,101.75,100.15,100.15,0.275,100.2,1393.0,6216.0
2019-08-16,100.8,101.0,99.7,99.8,0.275,99.925,1193.0,6876.0
2019-08-15,100.5,101.3,100.0,100.0,,100.2,1875.0,7935.0
2019-08-14,100.0,101.15,99.75,100.55,0.35,100.2,3367.0,9998.0
2019-08-13,100.55,101.5,100.55,100.55,4.5,100.55,4140.0,11606.0
2019-08-12,105.05,105.05,105.05,105.05,3.0,105.05,2480.0,12489.0
2019-08-09,108.0,108.4,107.55,108.175,0.1,108.05,3306.0,14603.0
2019-08-08,107.725,108.25,107.425,108.075,0.35,107.95,1564.0,15297.0
2019-08-07,107.125,108.25,106.9,107.8,0.475,107.6,2690.0,16614.0
2019-08-06,108.0,108.75,106.975,107.2,0.675,107.125,2757.0,17765.0
2019-08-05,107.45,108.7,105.1,107.85,0.15,107.8,6038.0,19588.0
2019-08-02,108.2,108.5,107.55,107.775,0.225,107.65,10617.0,25731.0
2019-08-01,107.125,108.925,106.9,108.0,0.975,107.875,14145.0,27844.0
2019-07-31,108.475,108.475,106.575,107.35,1.2,106.9,12373.0,31314.0
2019-07-30,108.5,108.55,107.5,108.125,0.55,108.1,10663.0,34365.0
2019-07-29,109.125,109.6,108.575,108.625,,108.65,11312.0,38947.0
2019-07-26,108.725,109.1,108.55,108.875,,108.65,6263.0,40935.0
2019-07-25,108.9,109.325,108.55,108.8,0.25,108.65,9180.0,44178.0
2019-07-24,109.0,109.275,108.65,108.95,0.15,108.9,7468.0,46830.0
2019-07-23,108.2,109.2,108.2,109.175,0.6,109.05,7722.0,48770.0
2019-07-22,107.75,108.5,107.4,108.475,0.85,108.45,8124.0,50410.0
2019-07-19,107.475,107.85,107.1,107.475,0.2,107.6,8039.0,52647.0
2019-07-18,108.475,108.5,107.175,107.2,0.725,107.4,13354.0,57680.0
2019-07-17,108.25,108.25,107.375,108.1,0.1,108.125,15682.0,61774.0
2019-07-16,108.65,108.65,107.8,108.15,0.275,108.225,15273.0,66023.0
2019-07-15,108.275,108.975,107.575,108.475,0.025,108.5,26787.0,74320.0
2019-07-12,108.2,108.725,107.725,108.5,0.6,108.475,31612.0,81916.0
2019-07-11,107.75,108.05,107.1,107.95,0.25,107.875,29892.0,91202.0
2019-07-10,107.975,108.125,107.25,107.625,0.5,107.625,30191.0,103132.0
2019-07-09,106.275,108.425,105.85,108.25,1.975,108.125,34576.0,115246.0
2019-07-08,107.1,107.325,106.075,106.175,0.85,106.15,29479.0,125541.0
2019-07-05,106.45,107.8,106.4,107.0,1.55,107.0,27483.0,130970.0
2019-07-03,104.475,106.15,104.3,106.025,1.35,105.45,21779.0,133838.0
2019-07-02,104.15,105.2,103.875,104.175,,104.1,25101.0,137814.0
2019-07-01,105.0,105.35,103.75,104.05,0.25,104.1,24335.0,140365.0
2019-06-28,110.875,112.325,110.3,110.5,0.075,110.5,780.0,694.0
2019-06-27,109.225,111.0,109.15,110.7,1.575,110.575,1134.0,1424.0
2019-06-26,107.875,109.55,107.875,108.75,1.25,109.0,1468.0,2488.0
2019-06-25,107.225,107.875,107.0,107.875,0.825,107.75,1486.0,3416.0
2019-06-24,106.775,107.4,106.325,107.05,0.375,106.925,1671.0,4283.0
2019-06-21,108.3,108.3,106.425,107.075,1.625,106.55,3370.0,6410.0
2019-06-20,108.725,109.1,108.0,108.25,0.325,108.175,3277.0,8557.0
2019-06-19,109.25,109.35,108.35,108.55,0.95,108.5,3213.0,10244.0
2019-06-18,109.5,109.85,109.175,109.5,,109.45,1840.0,11365.0
2019-06-17,108.925,109.475,108.45,109.475,0.675,109.45,2485.0,12381.0
2019-06-14,109.15,109.375,108.6,108.8,0.275,108.775,2697.0,13748.0
2019-06-13,109.725,109.9,108.3,109.15,0.6,109.05,3376.0,14848.0
2019-06-12,110.825,111.0,108.775,109.625,1.025,109.65,4175.0,16227.0
2019-06-11,109.8,110.85,109.725,110.825,0.975,110.675,2831.0,17308.0
2019-06-10,107.5,109.75,106.8,109.5,2.775,109.7,7215.0,20027.0
2019-06-07,107.85,108.25,106.5,106.75,0.675,106.925,6701.0,29491.0
2019-06-06,108.05,108.35,107.3,108.025,0.25,107.6,5027.0,31598.0
2019-06-05,107.75,108.35,107.45,108.0,0.3,107.85,10069.0,35842.0
2019-06-04,107.35,108.05,107.1,107.6,0.775,107.55,11914.0,40391.0
2019-06-03,108.95,109.3,106.525,106.8,1.7,106.775,13211.0,44937.0
2019-05-31,110.075,113.025,107.65,108.4,1.6,108.475,11308.0,46577.0
2019-05-30,111.3,112.55,111.125,112.175,2.275,110.075,12007.0,49671.0
2019-05-29,111.3,112.55,111.125,112.175,0.8,112.35,12007.0,54600.0
2019-05-28,111.975,112.425,111.0,111.5,0.375,111.55,12960.0,58805.0
2019-05-24,110.925,111.3,110.6,111.1,0.375,111.175,7687.0,61093.0
2019-05-23,110.75,111.65,110.55,110.775,0.15,110.8,8749.0,63256.0
2019-05-22,110.725,111.25,110.325,110.575,0.2,110.65,10123.0,65632.0
2019-05-21,111.85,111.875,110.4,110.725,0.5,110.85,14493.0,68965.0
2019-05-20,111.75,111.8,110.8,111.65,0.075,111.35,14199.0,72994.0
2019-05-17,111.0,112.5,109.05,111.25,0.8,111.275,22934.0,78510.0
2019-05-16,109.725,110.275,109.05,109.575,0.8,110.475,13865.0,83349.0
2019-05-15,109.75,110.275,109.2,109.525,0.175,109.675,24285.0,90073.0
2019-05-14,110.1,111.55,109.35,109.775,0.25,109.5,25676.0,92964.0
2019-05-13,112.075,112.175,109.6,109.725,2.7,109.75,42110.0,100160.0
2019-05-10,112.0,113.725,111.375,112.525,0.5,112.45,41135.0,110154.0
2019-05-09,110.875,112.25,110.875,111.725,0.875,111.95,38518.0,117652.0
2019-05-08,112.475,112.8,110.925,111.125,1.2,111.075,42557.0,126480.0
2019-05-07,112.5,112.925,111.975,112.4,,112.275,40411.0,136721.0
2019-05-06,112.725,114.875,111.875,112.45,1.15,112.275,42066.0,143972.0
2019-05-03,113.675,114.475,113.225,113.3,0.25,113.425,32621.0,150040.0
2019-05-02,114.3,114.475,113.45,113.775,0.2,113.675,31451.0,156183.0
2019-05-01,114.425,114.775,113.775,113.95,0.375,113.875,30855.0,159863.0
2019-04-30,124.95,125.75,123.75,124.8,1.025,123.75,332.0,277.0
2019-04-29,124.55,125.2,124.35,124.5,0.225,124.775,933.0,859.0
2019-04-26,124.425,125.1,123.875,124.575,0.5,124.55,1472.0,1664.0
2019-04-25,126.825,126.825,123.95,124.4,2.725,124.05,2985.0,3406.0
2019-04-24,128.45,128.5,126.4,126.925,1.55,126.775,4096.0,5573.0
2019-04-23,128.6,128.875,128.15,128.25,0.175,128.325,2415.0,6767.0
2019-04-22,128.525,128.7,128.0,128.6,0.025,128.5,2434.0,7953.0
2019-04-18,127.25,128.6,127.1,128.55,1.6,128.525,3759.0,9759.0
2019-04-17,127.475,127.475,126.525,127.05,0.225,126.925,6117.0,12211.0
2019-04-16,126.8,127.575,126.4,127.2,0.85,127.15,3904.0,13495.0
2019-04-15,127.0,127.0,126.025,126.3,0.25,126.3,10354.0,16719.0
2019-04-12,126.0,126.725,125.6,126.725,0.55,126.55,11051.0,20004.0
2019-04-11,126.0,126.875,125.75,126.1,0.125,126.0,5550.0,22182.0
2019-04-10,125.825,126.325,125.375,125.825,0.025,125.875,4219.0,23376.0
2019-04-09,126.05,126.55,125.6,125.6,0.1,125.9,3281.0,24379.0
2019-04-08,126.1,126.2,125.075,125.725,0.25,125.8,11629.0,27801.0
2019-04-05,127.45,127.5,125.85,126.2,1.5,126.05,11757.0,32035.0
2019-04-04,125.775,127.8,125.575,127.575,1.775,127.55,12807.0,36136.0
2019-04-03,126.45,126.725,125.55,125.825,0.5,125.775,8228.0,38395.0
2019-04-02,126.35,126.925,126.2,126.325,0.1,126.275,8020.0,39890.0
2019-04-01,125.7,127.275,125.625,126.225,0.475,126.175,6726.0,42086.0
2019-03-29,126.825,126.825,125.625,125.675,0.825,125.7,7934.0,44748.0
2019-03-28,126.25,126.7,126.0,126.6,0.275,126.525,7628.0,47313.0
2019-03-27,127.0,127.225,125.925,126.225,0.65,126.25,13271.0,53424.0
2019-03-26,127.4,127.75,126.85,126.975,0.675,126.9,8026.0,56185.0
2019-03-25,128.775,128.975,127.375,127.675,2.15,127.575,13520.0,60720.0
2019-03-22,130.0,130.25,128.775,129.125,0.175,129.725,14139.0,65155.0
2019-03-21,129.675,130.45,128.975,130.2,0.325,129.9,13180.0,67695.0
2019-03-20,129.4,129.85,128.9,129.725,0.45,129.575,13733.0,69848.0
2019-03-19,128.55,129.95,128.175,129.2,0.8,129.125,27611.0,73525.0
2019-03-18,129.25,129.7,128.2,128.425,0.775,128.325,36938.0,81873.0
2019-03-15,127.55,129.25,127.05,129.125,1.7,129.1,31163.0,88204.0
2019-03-14,127.0,127.875,126.95,127.475,0.725,127.4,26943.0,94461.0
2019-03-13,126.6,127.6,126.35,126.725,0.025,126.675,38057.0,103599.0
2019-03-12,129.175,129.4,126.325,126.35,2.35,126.65,52313.0,115079.0
2019-03-11,129.5,129.65,128.6,128.925,0.675,129.0,33151.0,125990.0
2019-03-08,128.9,129.875,128.525,129.8,0.725,129.675,33194.0,135020.0
2019-03-07,128.8,129.225,128.7,129.075,0.05,128.95,30443.0,143251.0
2019-03-06,128.825,129.125,128.45,128.825,0.075,128.9,19114.0,144918.0
2019-03-05,128.275,129.075,128.1,128.825,0.475,128.825,22230.0,148501.0
2019-03-04,129.8,129.8,128.125,128.475,1.2,128.35,37690.0,153598.0
