Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-02-14,63.8,64.9,63.7,64.225,0.225,64.3,12354.0,121540.0
2020-02-13,63.65,64.725,62.925,64.2,0.3,64.075,17793.0,121388.0
2020-02-12,63.975,65.05,63.275,63.825,0.45,63.775,21216.0,118632.0
2020-02-11,65.025,65.275,63.8,64.375,0.85,64.225,20325.0,117364.0
2020-02-10,66.025,66.25,64.925,64.975,1.175,65.075,18747.0,117178.0
2020-02-07,65.725,66.85,65.025,66.025,1.375,66.25,29795.0,118755.0
2020-02-06,61.525,64.875,61.525,64.875,3.0,64.875,28390.0,120374.0
2020-02-05,62.8,63.15,61.65,61.5,0.45,61.875,20077.0,119267.0
2020-02-04,63.25,64.375,61.775,62.35,0.4,62.325,24722.0,116719.0
2020-02-03,62.35,63.6,61.0,62.625,1.125,62.725,36998.0,117648.0
2020-01-31,65.125,65.15,61.325,61.325,4.225,61.6,41339.0,119516.0
2020-01-30,67.925,67.95,65.825,65.825,3.0,65.825,23770.0,118902.0
2020-01-29,71.3,71.35,68.675,68.775,2.475,68.825,19957.0,117059.0
2020-01-28,71.1,72.4,70.875,71.4,0.85,71.3,22091.0,117129.0
2020-01-27,71.575,72.0,70.45,70.95,3.0,70.45,29774.0,115021.0
2020-01-24,75.35,75.35,72.825,73.075,1.9,73.45,22484.0,111453.0
2020-01-23,73.925,75.975,73.9,75.55,0.825,75.35,18362.0,111695.0
2020-01-22,74.15,74.9,73.275,74.35,0.7,74.525,17083.0,111796.0
2020-01-21,74.0,74.65,72.325,73.825,0.275,73.825,25388.0,108579.0
2020-01-17,74.5,74.5,73.225,74.025,0.325,74.1,19761.0,104992.0
2020-01-16,74.825,75.05,72.975,73.8,1.2,73.775,18245.0,101092.0
2020-01-15,74.625,75.175,73.85,74.8,0.025,74.975,18524.0,98380.0
2020-01-14,73.1,75.3,73.1,74.975,1.625,75.0,25714.0,91664.0
2020-01-13,73.85,73.925,72.725,73.375,0.75,73.375,21298.0,84596.0
2020-01-10,74.725,75.1,74.05,74.075,0.35,74.125,23391.0,78485.0
2020-01-09,75.825,75.85,73.85,74.425,1.275,74.475,21693.0,74551.0
2020-01-08,75.45,76.525,75.2,76.125,,75.75,18218.0,72487.0
2020-01-07,74.95,75.95,74.725,75.675,0.8,75.75,14624.0,70629.0
2020-01-06,75.4,75.65,74.075,74.925,0.2,74.95,10902.0,68551.0
2020-01-03,77.2,77.375,75.0,75.0,2.85,75.15,12332.0,67328.0
2020-01-02,78.15,78.825,77.4,78.225,0.075,78.0,8970.0,67430.0
2019-12-31,78.625,78.75,77.625,77.85,0.7,77.925,7252.0,66689.0
2019-12-30,78.4,78.8,77.875,78.7,0.75,78.625,8199.0,67375.0
2019-12-27,78.275,78.625,77.55,77.725,0.4,77.875,6289.0,67094.0
2019-12-26,78.15,78.5,77.7,78.35,0.275,78.275,4300.0,66617.0
