Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,2020.0,2032.2,2019.3,2031.5,13.2,2031.2,8627.0,75623.0
2019-11-26,2010.0,2021.4,2005.6,2021.3,8.0,2018.0,11296.0,75526.0
2019-11-25,1992.9,2012.9,1991.8,2010.3,24.0,2010.0,11972.0,74376.0
2019-11-22,1980.4,1990.1,1978.2,1989.1,5.1,1986.0,8765.0,74370.0
2019-11-21,1990.1,2001.3,1978.2,1980.2,13.9,1980.9,11091.0,74688.0
2019-11-20,2000.4,2005.4,1981.2,1998.3,7.3,1994.8,14431.0,73491.0
2019-11-19,1997.9,2006.8,1993.3,2000.5,4.5,2002.1,10485.0,72906.0
2019-11-18,2000.3,2005.4,1991.9,1997.8,3.5,1997.6,8433.0,73965.0
2019-11-15,1991.2,2004.8,1991.2,2001.7,9.6,2001.1,7825.0,73716.0
2019-11-14,1991.6,1994.7,1982.3,1991.6,4.4,1991.5,10932.0,74121.0
2019-11-13,1991.8,1992.3,1976.9,1991.9,4.3,1987.1,11690.0,73378.0
2019-11-12,1995.5,2003.3,1988.0,1990.7,3.4,1991.4,8528.0,72976.0
2019-11-11,1999.0,1999.5,1984.9,1996.6,3.7,1994.8,7246.0,72689.0
2019-11-08,1993.1,2000.3,1984.5,2000.3,5.7,1998.5,8661.0,72410.0
2019-11-07,1992.0,2010.6,1988.3,1992.8,2.5,1992.8,9749.0,72175.0
2019-11-06,1997.8,2001.5,1984.4,1992.0,9.1,1990.3,8980.0,71945.0
2019-11-05,1992.6,2010.4,1991.9,1997.4,4.6,1999.4,8851.0,71311.0
2019-11-04,1983.3,1999.0,1983.3,1992.6,11.2,1994.8,11594.0,71023.0
2019-11-01,1955.9,1984.2,1954.3,1982.9,28.6,1983.6,14346.0,70630.0
2019-10-31,1971.5,1971.7,1945.5,1955.0,14.7,1955.0,12503.0,69223.0
2019-10-30,1975.8,1976.0,1958.0,1971.7,5.9,1969.7,11592.0,68289.0
2019-10-29,1971.6,1980.9,1962.5,1975.4,4.7,1975.6,9458.0,68424.0
2019-10-28,1960.1,1980.9,1959.5,1971.4,11.8,1970.9,8978.0,68042.0
2019-10-25,1948.6,1965.2,1945.7,1958.5,9.8,1959.1,7416.0,68221.0
2019-10-24,1952.5,1958.2,1940.0,1949.5,0.4,1949.3,6623.0,67515.0
2019-10-23,1946.1,1951.7,1940.3,1951.6,1.8,1948.9,5548.0,67682.0
2019-10-22,1949.8,1958.4,1942.5,1945.8,0.9,1947.1,7422.0,67649.0
2019-10-21,1934.9,1957.6,1934.8,1948.9,10.9,1948.0,9165.0,67246.0
2019-10-18,1939.9,1941.7,1925.6,1937.9,1.7,1937.1,10136.0,66881.0
2019-10-17,1923.5,1941.9,1919.8,1939.7,15.9,1938.8,15356.0,64752.0
2019-10-16,1924.8,1930.6,1915.4,1923.9,1.4,1922.9,13020.0,63648.0
2019-10-15,1908.7,1930.7,1908.7,1924.3,14.9,1924.3,9799.0,64419.0
2019-10-14,1918.5,1926.0,1902.3,1908.9,8.1,1909.4,6155.0,64907.0
2019-10-11,1892.6,1934.1,1887.9,1917.3,33.0,1917.5,18013.0,65222.0
2019-10-10,1875.6,1895.3,1851.0,1893.6,10.8,1884.5,11241.0,65081.0
2019-10-09,1861.8,1881.4,1858.7,1875.8,12.2,1873.7,11454.0,65416.0
2019-10-08,1893.9,1902.9,1859.8,1861.9,33.7,1861.5,13566.0,65283.0
2019-10-07,1890.8,1908.6,1889.9,1893.9,9.2,1895.2,9647.0,64884.0
2019-10-04,1884.7,1905.2,1876.2,1903.5,18.7,1904.4,10642.0,65047.0
2019-10-03,1871.2,1887.7,1850.4,1885.6,10.2,1885.7,15732.0,65055.0
2019-10-02,1901.0,1906.8,1862.0,1871.1,25.6,1875.5,21066.0,63251.0
2019-10-01,1942.4,1953.4,1898.4,1901.4,36.9,1901.1,19243.0,63209.0
2019-09-30,1931.3,1943.1,1923.7,1942.1,13.3,1938.0,14195.0,63132.0
2019-09-27,1939.8,1950.5,1916.8,1927.1,13.3,1924.7,12518.0,63245.0
2019-09-26,1949.4,1955.3,1930.9,1938.7,11.8,1938.0,9549.0,63829.0
2019-09-25,1928.3,1953.4,1917.3,1949.0,22.3,1949.8,11870.0,63713.0
2019-09-24,1956.0,1961.3,1922.2,1928.6,22.5,1927.5,14822.0,63684.0
2019-09-23,1952.5,1960.2,1937.1,1954.8,4.4,1950.0,11749.0,63149.0
2019-09-20,1951.0,1955.8,1949.9,1952.5,,1954.34,30.0,5117.0
2019-09-19,1946.9,1966.7,1943.0,1950.1,4.4,1950.0,2292.0,6706.0
2019-09-18,1958.3,1960.1,1937.9,1955.3,4.8,1954.4,6839.0,9519.0
2019-09-17,1971.0,1971.0,1951.5,1960.2,7.6,1959.2,15295.0,22851.0
2019-09-16,1951.0,1972.8,1947.9,1968.8,2.6,1966.8,28566.0,42496.0
2019-09-13,1965.6,1978.1,1962.6,1965.2,1.1,1964.2,28643.0,62574.0
2019-09-12,1966.8,1977.8,1951.4,1963.7,1.4,1963.1,19318.0,65448.0
2019-09-11,1938.2,1968.2,1928.2,1967.2,26.6,1964.5,16037.0,66370.0
2019-09-10,1925.2,1940.3,1911.3,1939.2,10.8,1937.9,11914.0,66288.0
2019-09-09,1910.3,1927.8,1910.3,1926.0,15.3,1927.1,11833.0,66802.0
2019-09-06,1909.2,1921.6,1909.2,1913.4,1.0,1911.8,9533.0,66971.0
2019-09-05,1881.2,1920.9,1880.7,1909.5,31.7,1912.8,14358.0,67185.0
2019-09-04,1853.6,1883.0,1853.1,1881.7,23.9,1881.1,10544.0,68391.0
2019-09-03,1866.0,1881.7,1847.3,1855.1,24.2,1857.2,17396.0,68569.0
2019-08-30,1876.1,1890.5,1870.9,1879.2,3.9,1881.4,13748.0,69274.0
2019-08-29,1845.4,1880.7,1840.5,1876.5,27.8,1877.5,10511.0,69610.0
2019-08-28,1832.1,1855.3,1823.0,1845.8,17.8,1849.7,12179.0,69863.0
2019-08-27,1856.3,1864.8,1828.2,1832.5,20.0,1831.9,14253.0,69953.0
2019-08-26,1822.2,1864.0,1814.5,1856.1,15.4,1851.9,15484.0,69394.0
2019-08-23,1887.3,1897.2,1831.0,1840.3,52.2,1836.5,22282.0,67720.0
2019-08-22,1892.3,1898.6,1876.8,1886.8,1.7,1888.7,10810.0,67767.0
2019-08-21,1871.6,1894.5,1869.7,1892.3,10.6,1887.0,9923.0,68213.0
2019-08-20,1891.3,1897.1,1873.4,1873.7,15.8,1876.4,9491.0,68735.0
2019-08-19,1876.0,1899.9,1876.0,1890.4,17.9,1892.2,8106.0,69346.0
2019-08-16,1838.2,1876.3,1837.0,1874.5,39.6,1874.3,10909.0,69886.0
2019-08-15,1835.1,1858.1,1824.9,1837.9,3.6,1834.7,16384.0,69914.0
2019-08-14,1897.6,1899.4,1835.7,1836.6,56.2,1838.3,19438.0,69464.0
2019-08-13,1872.8,1912.6,1862.7,1897.8,21.9,1894.5,13697.0,69652.0
2019-08-12,1900.4,1909.2,1868.8,1873.5,29.0,1872.6,10033.0,69879.0
2019-08-09,1918.9,1923.3,1895.3,1904.2,25.1,1901.6,12683.0,70273.0
2019-08-08,1884.0,1928.5,1878.6,1924.8,38.9,1926.7,19825.0,69504.0
