Date,Open,High,Low,Last,Volume,Open Interest
2019-11-28,512.0,512.5,508.0,508.5,9945.0,35668.0
2019-11-27,512.0,512.5,508.0,508.5,9945.0,35668.0
2019-11-26,513.5,514.75,510.0,512.0,9736.0,36231.0
2019-11-25,506.5,513.75,506.0,513.0,7747.0,34994.0
2019-11-22,509.0,511.75,506.25,506.75,6293.0,32416.0
2019-11-21,515.0,517.25,509.0,509.25,7139.0,30672.0
2019-11-20,518.0,521.5,515.25,515.5,5302.0,29935.0
2019-11-19,518.0,519.5,516.0,518.25,4028.0,29373.0
2019-11-18,518.5,523.0,517.0,518.25,4843.0,29191.0
2019-11-15,527.0,527.25,518.25,519.25,3778.0,28126.0
2019-11-14,530.0,532.25,527.0,527.75,3116.0,27062.0
2019-11-13,535.0,536.5,530.0,530.0,4136.0,25995.0
2019-11-12,531.25,537.75,531.0,537.0,2131.0,24869.0
2019-11-11,533.0,535.0,531.0,531.25,3630.0,24020.0
2019-11-08,534.25,542.0,533.0,535.0,4093.0,22927.0
2019-11-07,538.75,542.0,533.5,535.25,3129.0,22534.0
2019-11-06,541.25,542.5,538.0,539.0,1553.0,21993.0
2019-11-05,541.0,544.25,540.0,542.25,1381.0,21442.0
2019-11-04,545.0,545.0,540.5,541.25,2222.0,21230.0
2019-11-01,539.5,548.75,537.0,548.0,4431.0,20726.0
2019-10-31,538.5,541.0,535.0,540.5,1820.0,20973.0
2019-10-30,540.0,545.0,535.0,538.75,2321.0,20359.0
2019-10-29,543.5,543.5,538.75,541.0,1764.0,20009.0
2019-10-28,551.0,551.0,541.25,542.5,1736.0,19382.0
2019-10-25,554.0,556.0,550.0,551.25,1569.0,18984.0
2019-10-24,555.5,563.0,551.0,553.75,1177.0,19041.0
2019-10-23,551.5,558.5,548.0,556.25,1437.0,18852.0
2019-10-22,551.25,558.25,550.5,552.75,721.0,18887.0
2019-10-21,554.25,559.25,551.25,551.25,1371.0,18885.0
2019-10-18,564.0,565.0,555.75,558.25,2562.0,18721.0
2019-10-17,563.0,571.25,562.0,565.75,687.0,19264.0
2019-10-16,558.75,565.5,557.75,564.25,989.0,19555.0
2019-10-15,565.0,565.0,558.75,559.5,1537.0,19726.0
2019-10-14,562.25,566.75,559.5,566.25,1882.0,19706.0
2019-10-11,547.25,564.25,547.25,562.0,1580.0,19479.0
2019-10-10,555.0,560.25,545.0,549.0,1488.0,19614.0
2019-10-09,557.25,561.0,555.0,555.5,1058.0,19665.0
2019-10-08,552.5,558.5,546.5,557.0,693.0,19841.0
2019-10-07,549.5,555.0,549.5,552.5,1101.0,19777.0
2019-10-04,541.0,552.0,541.0,549.75,1333.0,19701.0
2019-10-03,540.25,544.75,539.5,543.25,2958.0,20146.0
2019-10-02,547.0,550.0,536.75,544.25,2411.0,19682.0
2019-10-01,558.75,561.25,543.5,547.25,2317.0,19423.0
2019-09-30,560.0,569.75,556.5,558.0,2541.0,19448.0
2019-09-27,561.5,567.25,560.0,560.5,5992.0,19405.0
2019-09-26,564.5,570.5,559.5,562.0,3424.0,19093.0
2019-09-25,556.0,568.25,556.0,565.75,2611.0,19068.0
2019-09-24,547.5,559.5,547.0,556.0,4688.0,19215.0
2019-09-23,541.0,549.75,541.0,548.25,5477.0,19312.0
2019-09-20,532.5,546.5,532.5,537.5,6812.0,18559.0
2019-09-19,528.0,539.75,526.75,533.75,1381.0,16945.0
2019-09-18,520.75,529.25,520.75,528.0,1089.0,17126.0
2019-09-17,522.5,527.0,520.25,521.25,1238.0,16874.0
2019-09-16,521.5,526.5,520.0,523.75,1492.0,16919.0
2019-09-13,521.25,524.25,517.25,520.5,1198.0,16486.0
2019-09-12,502.0,508.5,499.75,507.25,4611.0,39145.0
2019-09-11,503.5,505.75,501.25,502.25,5784.0,39233.0
2019-09-10,496.5,506.0,496.0,503.75,3509.0,39256.0
2019-09-09,494.0,499.0,492.0,496.75,6265.0,39461.0
2019-09-06,501.5,502.0,494.0,494.25,5310.0,39210.0
2019-09-05,494.75,504.5,493.75,502.0,4706.0,38487.0
2019-09-04,487.0,496.0,487.0,494.0,5589.0,38362.0
2019-09-03,496.0,498.75,486.5,487.0,5795.0,37792.0
2019-09-02,501.25,503.0,496.25,496.75,7137.0,37836.0
2019-08-30,501.25,503.0,496.25,496.75,7137.0,37836.0
2019-08-29,505.5,506.75,501.25,501.5,8426.0,38440.0
2019-08-28,511.25,513.0,505.25,505.5,6685.0,38804.0
2019-08-27,512.0,515.5,511.0,511.0,8480.0,38160.0
2019-08-26,513.25,515.0,511.0,511.75,6683.0,38536.0
2019-08-23,513.25,515.25,511.75,514.5,8898.0,38482.0
2019-08-22,514.5,516.5,512.5,513.5,6085.0,37225.0
2019-08-21,515.5,517.75,513.0,515.0,5556.0,35691.0
2019-08-20,516.5,518.75,515.25,516.0,3306.0,33812.0
2019-08-19,517.5,518.25,515.5,517.0,2455.0,32593.0
2019-08-16,515.0,519.0,515.0,518.5,4277.0,31859.0
2019-08-15,517.5,522.75,514.0,514.75,4066.0,30371.0
2019-08-14,518.25,520.75,516.75,517.5,5857.0,0.0
2019-08-13,522.0,525.0,514.5,516.5,8464.0,26979.0
2019-08-12,531.25,537.0,519.25,522.0,2429.0,24903.0
2019-08-09,532.5,533.5,530.0,530.75,3086.0,24062.0
2019-08-08,531.5,534.75,530.0,532.0,2234.0,22726.0
2019-08-07,533.25,535.75,530.25,531.5,2638.0,21971.0
2019-08-06,535.5,536.0,532.5,532.75,2071.0,21796.0
2019-08-05,534.5,536.5,530.5,536.25,1657.0,22018.0
2019-08-02,532.25,535.75,532.0,534.75,5345.0,22118.0
2019-08-01,532.25,534.75,528.0,532.25,2609.0,21503.0
2019-07-31,541.5,541.5,532.25,533.25,2037.0,21093.0
2019-07-30,543.0,543.75,538.5,540.5,3016.0,20501.0
2019-07-29,537.0,544.5,536.0,543.25,1766.0,19479.0
2019-07-26,537.25,538.5,535.75,536.75,1292.0,19334.0
2019-07-25,536.0,539.5,534.5,536.5,2205.0,19112.0
2019-07-24,534.5,539.25,534.5,536.0,1782.0,19178.0
2019-07-23,537.0,541.0,534.75,535.0,2216.0,18400.0
2019-07-22,541.5,542.25,534.75,535.0,2305.0,17806.0
2019-07-19,537.75,550.5,537.75,542.5,2415.0,0.0
2019-07-18,542.25,542.5,537.5,537.75,1261.0,16647.0
2019-07-17,543.5,545.75,540.0,540.75,1377.0,16349.0
2019-07-16,545.0,547.5,543.25,543.5,1225.0,16219.0
2019-07-15,556.5,559.5,544.0,546.0,1424.0,15775.0
2019-07-12,555.0,560.0,551.75,556.25,1551.0,15278.0
2019-07-11,528.25,544.75,524.25,541.25,3482.0,27082.0
2019-07-10,526.0,532.5,525.0,528.75,2807.0,0.0
2019-07-09,532.0,534.0,525.0,526.5,3643.0,26113.0
2019-07-08,535.0,535.25,531.0,532.5,2864.0,26438.0
2019-07-05,539.0,539.0,531.25,533.25,3487.0,26259.0
2019-07-04,536.5,541.5,535.0,540.0,3968.0,26104.0
2019-07-03,536.5,541.5,535.0,540.0,3968.0,26104.0
2019-07-02,543.75,544.5,536.0,536.25,4361.0,25428.0
2019-07-01,554.0,554.5,538.25,544.5,5879.0,26160.0
2019-06-28,561.0,570.0,547.0,554.25,6187.0,26801.0
2019-06-27,559.75,568.25,558.0,561.5,7166.0,26587.0
2019-06-26,557.0,563.75,554.5,559.5,8825.0,25253.0
2019-06-25,553.5,561.75,553.25,557.0,7123.0,25086.0
2019-06-24,545.0,554.5,542.5,553.25,6320.0,24315.0
2019-06-21,545.5,548.75,543.5,544.0,5793.0,23843.0
2019-06-20,549.25,552.25,545.0,545.5,5394.0,22912.0
2019-06-19,557.5,558.75,545.75,548.5,4388.0,21934.0
2019-06-18,566.75,567.5,553.75,558.75,4317.0,20905.0
2019-06-17,569.75,577.0,566.0,566.75,3991.0,20804.0
2019-06-14,572.0,578.25,567.25,570.5,4704.0,20352.0
2019-06-13,572.25,581.25,570.75,573.75,4133.0,19778.0
2019-06-12,578.0,582.25,570.75,573.0,2800.0,19258.0
2019-06-11,576.25,579.5,568.5,578.0,2339.0,18927.0
2019-06-10,576.75,578.0,571.25,577.5,4363.0,18437.0
2019-06-07,572.25,580.5,570.5,577.25,4200.0,17833.0
2019-06-06,556.75,575.0,556.75,574.25,3058.0,17211.0
2019-06-05,567.0,570.25,555.75,556.75,2649.0,16710.0
2019-06-04,573.0,575.75,564.75,570.0,3054.0,16613.0
2019-06-03,562.0,576.5,562.0,572.75,4948.0,16502.0
2019-05-31,572.0,576.25,559.25,561.0,2376.0,15567.0
2019-05-30,557.0,572.5,554.0,572.0,3409.0,15475.0
2019-05-29,567.25,575.5,551.0,556.75,3060.0,15187.0
2019-05-28,557.75,568.25,557.75,564.75,3128.0,14612.0
2019-05-27,543.0,557.0,542.0,555.0,2522.0,14541.0
2019-05-24,543.0,557.0,542.0,555.0,2522.0,14541.0
2019-05-23,551.5,557.0,540.5,542.25,2350.0,15181.0
2019-05-22,552.5,556.25,545.75,552.0,3072.0,15358.0
2019-05-21,555.0,563.25,549.0,552.0,2195.0,15403.0
2019-05-20,539.0,556.0,539.0,552.5,2525.0,15460.0
2019-05-17,537.25,553.0,534.75,536.75,1658.0,15195.0
2019-05-16,525.5,538.5,524.5,535.75,2113.0,14837.0
2019-05-15,531.0,544.0,524.25,524.5,1584.0,14692.0
2019-05-14,527.75,536.75,524.0,531.75,1108.0,14472.0
2019-05-13,517.0,520.75,511.75,518.0,3479.0,34081.0
2019-05-10,517.5,520.5,512.75,517.0,2413.0,33465.0
2019-05-09,520.0,522.75,513.5,517.25,3097.0,33507.0
2019-05-08,521.75,522.75,516.25,520.5,2254.0,33269.0
2019-05-07,517.0,522.0,510.0,521.75,2422.0,33251.0
2019-05-06,514.0,515.5,507.0,514.25,2270.0,33545.0
2019-05-03,520.75,520.75,514.0,515.0,4002.0,33234.0
2019-05-02,513.0,524.25,512.75,520.75,2500.0,33118.0
2019-05-01,507.75,514.5,506.75,512.0,3746.0,32863.0
2019-04-30,507.0,512.25,506.0,507.0,6533.0,32051.0
2018-07-13,,524.25,523.75,524.25,0.0,0.0
2018-07-12,,524.0,523.75,523.75,4.0,0.0
2018-07-11,523.75,524.0,519.75,519.75,1.0,4.0
2018-07-10,534.25,534.25,528.5,528.5,1.0,5.0
2018-07-09,,539.25,539.25,539.25,2.0,6.0
2018-07-06,542.5,545.75,542.5,545.75,4.0,6.0
2018-07-05,540.5,540.5,533.0,533.5,72.0,8.0
2018-07-04,,524.5,519.5,519.5,72.0,70.0
2018-07-03,,524.5,519.5,519.5,72.0,70.0
2018-07-02,524.5,524.5,512.0,512.0,538.0,426.0
2018-06-29,521.5,538.0,521.5,521.5,2572.0,1029.0
2018-06-28,528.75,529.0,519.75,521.5,3403.0,2629.0
2018-06-27,532.0,536.25,527.0,527.0,3252.0,3924.0
2018-06-26,539.5,543.25,531.75,532.5,4863.0,5741.0
2018-06-25,550.0,550.25,538.75,539.5,3021.0,7826.0
2018-06-22,552.75,555.0,547.75,549.0,2452.0,9619.0
2018-06-21,552.75,561.25,552.0,552.75,2810.0,10637.0
2018-06-20,550.0,558.5,548.5,552.75,4935.0,11912.0
2018-06-19,563.0,563.75,541.75,549.5,4527.0,13550.0
2018-06-18,570.0,571.75,563.0,563.75,3175.0,0.0
2018-06-15,579.75,579.75,567.5,570.75,4974.0,14453.0
2018-06-14,584.5,585.25,575.0,577.5,5318.0,16678.0
2018-06-13,592.5,592.75,583.25,584.5,5307.0,17499.0
2018-06-12,589.75,597.5,588.0,592.5,4475.0,18894.0
2018-06-11,592.0,598.25,589.25,589.75,5060.0,19811.0
2018-06-08,598.0,602.0,590.5,592.5,5384.0,21697.0
2018-06-07,599.25,611.0,596.5,597.5,5193.0,23281.0
2018-06-06,597.0,608.0,596.25,598.25,4635.0,24186.0
2018-06-05,595.75,605.0,593.75,597.0,5106.0,25738.0
2018-06-04,603.75,604.5,591.75,593.25,5364.0,27218.0
2018-06-01,611.25,613.25,603.25,604.0,5920.0,28029.0
2018-05-31,612.0,621.0,610.75,612.0,5654.0,29772.0
2018-05-30,627.5,628.0,611.0,611.5,7480.0,29818.0
2018-05-29,645.25,649.5,623.5,628.0,4340.0,30996.0
2018-05-28,634.0,646.5,633.0,644.25,8377.0,31237.0
2018-05-25,634.0,646.5,633.0,644.25,8377.0,31237.0
2018-05-24,640.75,651.0,633.0,634.75,6494.0,32435.0
2018-05-23,632.5,645.75,631.25,642.0,6031.0,31824.0
2018-05-22,620.75,640.25,619.5,633.0,4606.0,32050.0
2018-05-21,629.0,633.75,618.25,621.75,6540.0,32835.0
2018-05-18,614.5,630.0,614.0,629.0,3896.0,31985.0
2018-05-17,611.5,621.0,610.5,614.75,3509.0,31346.0
2018-05-16,606.25,612.75,605.5,611.25,3537.0,30875.0
2018-05-15,603.0,608.0,599.5,606.25,2997.0,30769.0
2018-05-14,605.0,606.25,600.25,601.5,2757.0,30157.0
2018-05-11,607.75,608.25,603.0,605.0,3076.0,30267.0
2018-05-10,611.75,614.75,605.25,609.0,2998.0,31126.0
2018-05-09,614.25,615.25,607.5,611.25,3047.0,31534.0
2018-05-08,610.75,617.5,607.5,614.0,3416.0,31601.0
2018-05-07,621.0,622.0,608.0,611.0,3568.0,32374.0
2018-05-04,627.75,629.5,619.75,623.0,3987.0,31821.0
2018-05-03,622.0,630.75,617.25,630.0,4541.0,32248.0
2018-05-02,622.5,626.0,620.0,624.5,3987.0,32319.0
2018-05-01,616.0,624.0,610.0,623.5,5361.0,32575.0
2018-04-30,610.25,621.0,610.0,615.5,8645.0,33130.0
2018-04-27,604.0,610.0,592.75,608.0,5588.0,32764.0
2018-04-26,606.0,611.0,600.0,604.0,6742.0,32703.0
2018-04-25,598.75,608.75,598.75,606.5,6774.0,32279.0
2018-04-24,597.75,599.75,591.25,598.75,6682.0,30956.0
2018-04-23,605.0,609.5,594.75,595.0,5070.0,30288.0
2018-04-20,617.75,618.0,605.25,605.75,6284.0,29369.0
2018-04-19,625.25,626.0,614.25,619.25,5221.0,28984.0
2018-04-18,620.0,627.25,618.5,624.75,3718.0,28085.0
2018-04-17,616.5,623.5,616.5,621.25,4225.0,26788.0
2018-04-16,624.5,624.5,618.25,622.5,635.0,0.0
2018-04-13,631.75,632.5,619.75,626.75,5058.0,24838.0
2018-04-12,637.5,638.5,631.0,632.5,5498.0,24838.0
