Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-06-19,4533.84,4533.84,4533.84,4533.84,,4533.84,0.0,8404.0
2015-06-18,4483.0,4560.0,4483.0,4540.0,76.75,4538.0,1900.0,9360.0
2015-06-17,4461.0,4482.0,4442.0,4464.0,2.25,4461.25,157.0,9522.0
2015-06-16,4425.0,4463.0,4424.0,4458.5,23.5,4459.0,297.0,9700.0
2015-06-15,4418.0,4436.5,4396.5,4436.5,19.25,4435.5,1917.0,8942.0
2015-06-12,4465.0,4473.0,4448.0,4454.5,35.75,4454.75,936.0,9260.0
2015-06-11,4498.0,4512.0,4485.0,4491.0,1.75,4490.5,160.0,9286.0
2015-06-10,4437.0,4497.0,4436.25,4489.0,57.25,4488.75,1234.0,9046.0
2015-06-09,4420.0,4438.0,4394.0,4432.5,0.75,4431.5,595.0,8938.0
2015-06-08,4473.5,4476.0,4420.0,4432.0,49.25,4432.25,729.0,9145.0
2015-06-05,4480.0,4490.0,4454.5,4482.5,15.0,4481.5,148.0,9260.0
2015-06-04,4494.0,4525.0,4476.0,4496.5,31.0,4496.5,1088.0,9458.0
2015-06-03,4530.0,4538.0,4514.0,4528.5,24.5,4527.5,230.0,9357.0
2015-06-02,4503.0,4528.0,4486.0,4503.0,18.5,4503.0,258.0,9105.0
2015-06-01,4531.0,4534.0,4488.0,4521.5,10.5,4521.5,462.0,8661.0
2015-05-29,4531.0,4535.0,4499.0,4515.5,31.75,4511.0,1542.0,7514.0
2015-05-28,4536.0,4545.0,4523.0,4541.5,0.5,4542.75,519.0,7466.0
2015-05-27,4485.0,4551.0,4475.0,4543.0,62.5,4542.25,868.0,6987.0
2015-05-26,4517.0,4519.0,4455.0,4479.25,49.0,4479.75,319.0,6989.0
2015-05-22,4526.0,4541.5,4523.0,4528.0,,4528.75,8.0,7169.0
2015-05-21,4497.5,4535.0,4495.0,4528.75,23.25,4528.75,135.0,7285.0
2015-05-20,4505.0,4533.5,4482.0,4505.0,4.25,4505.5,629.0,6966.0
2015-05-19,4512.5,4519.0,4499.0,4502.5,6.0,4501.25,332.0,7081.0
2015-05-18,4479.0,4516.0,4479.0,4508.25,18.5,4507.25,372.0,6838.0
2015-05-15,4499.0,4506.0,4479.0,4489.5,1.5,4488.75,6.0,6960.0
2015-05-14,4460.0,4493.0,4444.0,4490.0,66.5,4490.25,148.0,6959.0
2015-05-13,4434.0,4455.0,4418.0,4423.0,3.0,4423.75,271.0,6700.0
2015-05-12,4408.0,4438.0,4374.0,4423.0,10.5,4420.75,678.0,6523.0
2015-05-11,4452.0,4463.0,4431.0,4431.0,17.5,4431.25,195.0,6521.0
2015-05-08,4442.0,4463.0,4438.0,4450.0,46.25,4448.75,122.0,8990.0
2015-05-07,4369.0,4410.0,4368.0,4402.5,29.5,4402.5,867.0,9156.0
2015-05-06,4408.5,4420.0,4344.5,4372.0,34.5,4373.0,1877.0,7841.0
2015-05-05,4458.0,4464.0,4398.5,4407.5,69.0,4407.5,1826.0,7693.0
2015-05-04,4483.0,4502.5,4473.0,4476.0,8.75,4476.5,708.0,7443.0
2015-05-01,4426.5,4471.0,4426.0,4468.0,59.5,4467.75,294.0,7436.0
2015-04-30,4454.0,4474.0,4387.0,4414.0,71.5,4408.25,500.0,7457.0
2015-04-29,4487.0,4512.0,4457.0,4479.5,36.25,4479.75,394.0,7170.0
2015-04-28,4520.0,4531.0,4472.0,4515.5,8.75,4516.0,1158.0,6338.0
2015-04-27,4548.0,4555.0,4511.0,4524.5,4.5,4524.75,633.0,5857.0
2015-04-24,4518.0,4535.0,4511.0,4529.0,47.75,4529.25,480.0,5679.0
2015-04-23,4438.0,4495.0,4437.0,4482.0,36.25,4481.5,449.0,5248.0
2015-04-22,4440.0,4459.25,4412.0,4445.5,16.75,4445.25,273.0,5115.0
2015-04-21,4435.0,4441.0,4423.75,4429.5,21.0,4428.5,147.0,4993.0
2015-04-20,4364.0,4418.0,4363.0,4407.0,58.5,4407.5,857.0,5493.0
2015-04-17,4372.0,4381.0,4324.0,4349.25,66.25,4349.0,1595.0,5740.0
2015-04-16,4406.0,4421.0,4402.0,4415.0,6.5,4415.25,112.0,5691.0
2015-04-15,4402.0,4428.0,4399.0,4421.5,24.0,4421.75,510.0,5438.0
2015-04-14,4398.0,4415.0,4367.0,4397.5,5.5,4397.75,251.0,5322.0
2015-04-13,4420.0,4441.0,4401.0,4402.5,11.5,4403.25,33.0,5317.0
2015-04-10,4394.5,4416.0,4389.0,4415.0,15.5,4414.75,30.0,5333.0
2015-04-09,4366.5,4400.0,4354.0,4398.0,24.5,4399.25,143.0,5322.0
2015-04-08,4338.0,4377.0,4338.0,4374.75,40.75,4374.75,49.0,5428.0
2015-04-07,4339.5,4372.0,4334.0,4335.0,8.25,4334.0,264.0,5231.0
2015-04-06,4281.0,4354.0,4275.0,4342.25,35.0,4342.25,767.0,4535.0
2015-04-02,4307.0,4319.0,4294.0,4308.0,5.75,4307.25,64.0,4783.0
2015-04-01,4325.0,4327.0,4277.0,4315.0,16.5,4313.0,268.0,4509.0
2015-03-31,4360.0,4369.0,4322.0,4322.0,43.0,4329.5,164.0,4916.0
