Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,2.497,2.521,2.458,2.463,0.031,2.47,32129.0,117211.0
2019-11-26,2.58,2.583,2.5,2.529,0.051,2.533,222172.0,373342.0
2019-11-25,2.738,2.743,2.564,2.579,0.126,2.584,262324.0,359641.0
2019-11-22,2.635,2.724,2.601,2.698,0.088,2.71,174874.0,362550.0
2019-11-21,2.614,2.641,2.574,2.632,0.011,2.622,146634.0,356821.0
2019-11-20,2.581,2.631,2.572,2.612,0.035,2.611,144730.0,348958.0
2019-11-19,2.608,2.626,2.57,2.573,0.054,2.576,164104.0,318694.0
2019-11-18,2.715,2.715,2.603,2.605,0.12,2.63,138234.0,304076.0
2019-11-15,2.711,2.785,2.682,2.74,0.031,2.75,109272.0,301219.0
2019-11-14,2.754,2.777,2.705,2.713,0.027,2.719,123793.0,296209.0
2019-11-13,2.716,2.76,2.66,2.756,0.022,2.692,133562.0,280722.0
2019-11-12,2.725,2.769,2.696,2.713,0.014,2.714,123167.0,262586.0
2019-11-11,2.802,2.806,2.706,2.726,0.145,2.728,136788.0,247745.0
2019-11-08,2.871,2.905,2.839,2.867,0.014,2.873,104068.0,239684.0
2019-11-07,2.907,2.95,2.829,2.867,0.048,2.859,148339.0,231390.0
2019-11-06,2.952,2.969,2.899,2.916,0.033,2.907,67231.0,229633.0
2019-11-05,2.896,2.98,2.896,2.945,0.042,2.94,84811.0,230040.0
2019-11-04,2.876,2.92,2.862,2.894,0.096,2.898,77416.0,230970.0
2019-11-01,2.738,2.81,2.676,2.786,0.07,2.802,93280.0,238665.0
2019-10-31,2.777,2.826,2.705,2.737,0.049,2.732,78878.0,235666.0
2019-10-30,2.72,2.809,2.708,2.777,0.057,2.781,69314.0,235013.0
2019-10-29,2.562,2.704,2.555,2.625,0.084,2.639,291375.0,332697.0
2019-10-28,2.505,2.588,2.499,2.561,0.096,2.555,247813.0,328162.0
2019-10-25,2.477,2.48,2.432,2.46,0.006,2.459,97748.0,325889.0
2019-10-24,2.424,2.477,2.416,2.474,0.038,2.465,135228.0,319535.0
2019-10-23,2.442,2.46,2.415,2.427,0.022,2.427,131102.0,313544.0
2019-10-22,2.436,2.478,2.436,2.445,0.008,2.449,176258.0,305146.0
2019-10-21,2.524,2.524,2.413,2.443,0.076,2.441,145008.0,285206.0
2019-10-18,2.518,2.551,2.488,2.551,0.001,2.517,98470.0,276002.0
2019-10-17,2.485,2.54,2.479,2.517,0.021,2.516,103185.0,263296.0
2019-10-16,2.532,2.564,2.474,2.484,0.037,2.495,102698.0,253361.0
2019-10-15,2.495,2.537,2.485,2.532,0.034,2.532,100324.0,242838.0
2019-10-14,2.469,2.527,2.457,2.494,0.041,2.498,90142.0,241927.0
2019-10-11,2.405,2.467,2.388,2.461,0.04,2.457,172340.0,234580.0
2019-10-10,2.438,2.457,2.405,2.407,0.019,2.417,122464.0,211562.0
2019-10-09,2.488,2.504,2.432,2.439,0.055,2.436,113879.0,196310.0
2019-10-08,2.485,2.525,2.471,2.492,0.009,2.491,97341.0,182640.0
2019-10-07,2.506,2.52,2.477,2.495,0.024,2.5,99423.0,172596.0
2019-10-04,2.508,2.568,2.446,2.526,0.024,2.524,94484.0,166255.0
2019-10-03,2.455,2.524,2.4,2.505,0.049,2.5,110519.0,162262.0
2019-10-02,2.481,2.501,2.449,2.455,0.029,2.451,57759.0,161253.0
2019-10-01,2.503,2.509,2.466,2.492,0.024,2.48,110602.0,151643.0
2019-09-30,2.543,2.555,2.498,2.501,0.061,2.504,63556.0,153504.0
2019-09-27,2.596,2.599,2.539,2.555,0.031,2.565,51946.0,152165.0
2019-09-26,2.524,2.562,2.412,2.45,0.075,2.443,231332.0,315891.0
2019-09-25,2.524,2.536,2.472,2.527,0.007,2.518,166726.0,314604.0
2019-09-24,2.557,2.617,2.515,2.525,0.03,2.525,130473.0,313988.0
2019-09-23,2.54,2.569,2.511,2.561,,2.555,140203.0,307699.0
2019-09-20,2.58,2.604,2.532,2.554,0.014,2.555,114869.0,299558.0
2019-09-19,2.665,2.665,2.563,2.577,0.096,2.569,178431.0,286360.0
2019-09-18,2.695,2.726,2.629,2.659,0.035,2.665,101671.0,284551.0
2019-09-17,2.729,2.745,2.673,2.696,0.025,2.7,106284.0,287718.0
2019-09-16,2.725,2.738,2.677,2.729,0.072,2.725,141711.0,280599.0
2019-09-13,2.605,2.675,2.586,2.657,0.048,2.653,128499.0,257650.0
2019-09-12,2.583,2.616,2.551,2.606,0.016,2.605,139768.0,238695.0
2019-09-11,2.622,2.641,2.571,2.579,0.031,2.589,133645.0,225199.0
2019-09-10,2.643,2.685,2.612,2.623,0.005,2.62,165480.0,212898.0
2019-09-09,2.592,2.646,2.548,2.645,0.074,2.625,140461.0,213745.0
2019-09-06,2.495,2.556,2.456,2.541,0.06,2.551,80370.0,210018.0
2019-09-05,2.487,2.517,2.441,2.491,0.001,2.491,104800.0,208634.0
2019-09-04,2.391,2.503,2.384,2.49,0.095,2.492,101056.0,206555.0
2019-09-03,2.337,2.403,2.311,2.391,0.073,2.397,87945.0,202736.0
2019-08-30,2.337,2.346,2.305,2.323,0.018,2.324,71693.0,199709.0
2019-08-29,2.29,2.356,2.271,2.334,0.068,2.342,72744.0,196571.0
2019-08-28,2.192,2.27,2.187,2.233,0.03,2.222,182396.0,428978.0
2019-08-27,2.229,2.235,2.175,2.195,0.041,2.192,157414.0,412726.0
2019-08-26,2.171,2.241,2.16,2.228,0.077,2.233,144759.0,411275.0
2019-08-23,2.154,2.17,2.126,2.16,0.007,2.156,105548.0,411912.0
2019-08-22,2.177,2.2,2.148,2.154,0.014,2.163,118124.0,408681.0
2019-08-21,2.217,2.238,2.162,2.175,0.042,2.177,172690.0,383808.0
2019-08-20,2.204,2.23,2.188,2.216,0.006,2.219,84856.0,369898.0
2019-08-19,2.171,2.221,2.139,2.203,0.006,2.213,108783.0,359712.0
2019-08-16,2.225,2.23,2.175,2.208,0.03,2.207,88582.0,347281.0
2019-08-15,2.167,2.273,2.148,2.226,0.083,2.237,150488.0,329673.0
2019-08-14,2.173,2.213,2.133,2.168,0.005,2.154,86923.0,321572.0
2019-08-13,2.119,2.184,2.101,2.173,0.042,2.159,134098.0,287359.0
2019-08-12,2.135,2.167,2.106,2.12,0.016,2.117,114123.0,261103.0
2019-08-09,2.14,2.159,2.084,2.14,0.013,2.133,104980.0,234028.0
2019-08-08,2.103,2.169,2.103,2.14,0.047,2.146,111935.0,209008.0
2019-08-07,2.121,2.158,2.09,2.101,0.025,2.099,113016.0,190487.0
2019-08-06,2.104,2.145,2.09,2.117,0.041,2.124,69894.0,189369.0
2019-08-05,2.091,2.122,2.045,2.107,0.047,2.083,72781.0,184074.0
2019-08-02,2.184,2.211,2.089,2.152,0.082,2.13,90549.0,178506.0
2019-08-01,2.257,2.338,2.177,2.181,0.038,2.212,121217.0,177265.0
2019-07-31,2.16,2.287,2.151,2.255,0.09,2.25,81333.0,177258.0
2019-07-30,2.135,2.165,2.13,2.164,0.021,2.16,37233.0,175108.0
2019-07-29,2.154,2.164,2.101,2.119,0.034,2.116,168151.0,455471.0
2019-07-26,2.22,2.225,2.147,2.151,0.077,2.15,168012.0,439985.0
2019-07-25,2.213,2.248,2.206,2.219,0.025,2.227,110846.0,439992.0
2019-07-24,2.264,2.273,2.192,2.212,0.073,2.202,156216.0,422523.0
2019-07-23,2.3,2.305,2.264,2.265,0.018,2.275,105333.0,408118.0
2019-07-22,2.22,2.302,2.211,2.297,0.065,2.293,143507.0,383577.0
2019-07-19,2.267,2.276,2.217,2.23,0.035,2.228,96756.0,356128.0
2019-07-18,2.283,2.326,2.242,2.264,0.015,2.263,121377.0,359773.0
2019-07-17,2.296,2.32,2.263,2.284,0.008,2.278,82739.0,350750.0
2019-07-16,2.372,2.385,2.277,2.298,0.1,2.286,114919.0,340282.0
2019-07-15,2.442,2.444,2.359,2.374,0.048,2.386,103647.0,327579.0
2019-07-12,2.394,2.458,2.385,2.441,0.033,2.434,126583.0,300031.0
2019-07-11,2.428,2.472,2.377,2.395,0.032,2.401,125149.0,278899.0
2019-07-10,2.42,2.476,2.407,2.429,0.017,2.433,120645.0,262621.0
2019-07-09,2.382,2.423,2.347,2.422,0.032,2.416,118198.0,252140.0
2019-07-08,2.431,2.437,2.346,2.388,0.005,2.384,112535.0,238121.0
2019-07-05,2.26,2.412,2.237,2.371,0.126,2.389,69523.0,230262.0
2019-07-03,2.217,2.267,2.214,2.262,0.046,2.263,48242.0,225598.0
2019-07-02,2.242,2.271,2.209,2.216,0.025,2.217,41575.0,223780.0
2019-07-01,2.3,2.306,2.193,2.238,0.04,2.242,55040.0,217908.0
2019-06-28,2.294,2.338,2.275,2.286,0.016,2.282,58722.0,216125.0
2019-06-27,2.246,2.313,2.241,2.296,0.054,2.298,38723.0,213543.0
2019-06-26,2.263,2.305,2.256,2.274,0.018,2.268,119105.0,368862.0
2019-06-25,2.279,2.296,2.235,2.261,0.002,2.286,124165.0,369175.0
2019-06-24,2.174,2.298,2.174,2.279,0.115,2.284,139625.0,371680.0
2019-06-21,2.191,2.202,2.158,2.183,0.003,2.169,126404.0,358592.0
2019-06-20,2.265,2.281,2.134,2.194,0.097,2.166,210543.0,326679.0
2019-06-19,2.31,2.341,2.255,2.265,0.048,2.263,139523.0,303976.0
2019-06-18,2.361,2.386,2.3,2.313,0.062,2.311,93775.0,287267.0
2019-06-17,2.383,2.413,2.349,2.364,0.008,2.373,72880.0,270747.0
2019-06-14,2.323,2.393,2.322,2.385,0.059,2.381,77136.0,251625.0
2019-06-13,2.373,2.379,2.317,2.324,0.059,2.322,96085.0,224030.0
2019-06-12,2.397,2.4,2.361,2.376,0.012,2.381,88184.0,194817.0
2019-06-11,2.355,2.401,2.329,2.393,0.043,2.393,95344.0,160628.0
2019-06-10,2.334,2.357,2.321,2.354,0.019,2.35,93702.0,140261.0
2019-06-07,2.337,2.349,2.305,2.333,0.007,2.331,92532.0,127907.0
2019-06-06,2.371,2.393,2.307,2.335,0.056,2.324,74677.0,120102.0
2019-06-05,2.42,2.429,2.359,2.374,0.039,2.38,38501.0,116055.0
2019-06-04,2.417,2.444,2.386,2.425,0.016,2.419,45035.0,110642.0
2019-06-03,2.445,2.479,2.387,2.412,0.057,2.403,79102.0,103086.0
2019-05-31,2.568,2.581,2.454,2.471,0.097,2.46,69435.0,101401.0
2019-05-30,2.621,2.638,2.546,2.568,0.075,2.557,44393.0,94861.0
2019-05-29,2.584,2.646,2.58,2.62,0.04,2.624,149956.0,352679.0
2019-05-28,2.605,2.622,2.544,2.582,0.027,2.584,133842.0,356573.0
2019-05-24,2.593,2.62,2.556,2.61,0.019,2.611,78834.0,363544.0
2019-05-23,2.567,2.601,2.554,2.59,0.033,2.592,131666.0,352036.0
2019-05-22,2.644,2.651,2.555,2.567,0.082,2.559,144661.0,321655.0
2019-05-21,2.694,2.694,2.636,2.644,0.058,2.641,116846.0,310985.0
2019-05-20,2.659,2.731,2.659,2.695,0.035,2.699,85041.0,298417.0
2019-05-17,2.671,2.694,2.652,2.657,0.01,2.664,52130.0,293852.0
2019-05-16,2.637,2.678,2.621,2.674,0.04,2.674,75245.0,287028.0
2019-05-15,2.68,2.7,2.628,2.64,0.055,2.634,75796.0,288955.0
2019-05-14,2.655,2.697,2.652,2.684,0.036,2.689,62406.0,282272.0
2019-05-13,2.65,2.683,2.633,2.654,0.002,2.653,80455.0,268011.0
2019-05-10,2.626,2.682,2.608,2.656,0.024,2.655,89441.0,244387.0
2019-05-09,2.64,2.643,2.599,2.63,0.015,2.631,79826.0,227207.0
2019-05-08,2.577,2.652,2.572,2.64,0.073,2.646,107304.0,197465.0
2019-05-07,2.553,2.59,2.55,2.579,0.013,2.573,79660.0,185008.0
2019-05-06,2.6,2.607,2.551,2.558,0.04,2.56,39323.0,180545.0
2019-05-03,2.623,2.644,2.587,2.599,0.024,2.6,41257.0,173047.0
2019-05-02,2.654,2.657,2.603,2.622,0.034,2.624,51745.0,168913.0
2019-05-01,2.613,2.664,2.604,2.653,0.041,2.658,48526.0,163220.0
2019-04-30,2.637,2.659,2.612,2.615,0.023,2.617,46906.0,159398.0
2019-04-29,2.629,2.646,2.6,2.639,0.01,2.64,33823.0,155748.0
2019-04-26,2.533,2.605,2.517,2.583,0.032,2.58,152537.0,304985.0
2019-04-25,2.51,2.558,2.477,2.536,0.048,2.548,134122.0,306568.0
2019-04-24,2.495,2.528,2.494,2.509,0.001,2.5,77957.0,303452.0
2019-04-23,2.565,2.57,2.491,2.498,0.059,2.499,147193.0,285106.0
2019-04-22,2.535,2.578,2.531,2.565,0.023,2.558,92949.0,271635.0
2019-04-18,2.549,2.561,2.525,2.539,0.024,2.535,127875.0,257597.0
2019-04-17,2.615,2.626,2.546,2.547,0.058,2.559,97017.0,239056.0
2019-04-16,2.634,2.638,2.615,2.617,0.016,2.617,62438.0,227226.0
2019-04-15,2.689,2.695,2.63,2.633,0.071,2.633,83713.0,210737.0
