Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,1783.4,1816.9,1774.0,1816.9,29.1,1811.4,1214.0,1074.0
2019-11-26,1767.9,1791.9,1752.0,1781.0,10.9,1782.3,4418.0,3380.0
2019-11-25,1745.4,1785.7,1744.0,1767.8,28.0,1771.4,6200.0,5558.0
2019-11-22,1731.7,1746.3,1727.0,1743.9,11.5,1743.4,5938.0,8674.0
2019-11-21,1732.8,1739.1,1723.7,1732.3,9.9,1731.9,5939.0,12268.0
2019-11-20,1730.9,1747.8,1721.4,1733.2,4.4,1741.8,4723.0,15077.0
2019-11-19,1701.4,1742.4,1680.0,1730.6,33.0,1737.4,5481.0,16035.0
2019-11-18,1674.4,1708.3,1670.9,1703.0,21.9,1704.4,3807.0,16633.0
2019-11-15,1702.4,1712.5,1665.8,1673.6,19.6,1682.5,3377.0,17342.0
2019-11-14,1675.2,1705.1,1673.2,1701.6,27.0,1702.1,3842.0,17812.0
2019-11-13,1665.4,1698.2,1661.0,1673.9,5.0,1675.1,4034.0,18364.0
2019-11-12,1654.6,1683.1,1652.8,1668.4,14.1,1670.1,4604.0,19100.0
2019-11-11,1708.2,1724.3,1644.3,1655.2,52.6,1656.0,6434.0,20138.0
2019-11-08,1767.7,1772.5,1707.1,1712.3,69.2,1708.6,6060.0,21150.0
2019-11-07,1765.0,1782.5,1756.3,1770.9,16.7,1777.8,3299.0,21479.0
2019-11-06,1747.5,1772.9,1739.0,1764.5,14.4,1761.1,2855.0,21741.0
2019-11-05,1750.4,1760.9,1731.7,1748.4,6.1,1746.7,4151.0,22380.0
2019-11-04,1783.4,1796.3,1745.8,1751.7,31.5,1752.8,3989.0,22698.0
2019-11-01,1771.8,1790.0,1758.2,1780.9,28.7,1784.3,3929.0,23223.0
2019-10-31,1782.8,1798.2,1748.7,1770.8,36.5,1755.6,4369.0,23461.0
2019-10-30,1752.0,1799.2,1750.1,1782.5,37.0,1792.1,3959.0,23222.0
2019-10-29,1774.6,1779.0,1749.3,1752.6,24.2,1755.1,2518.0,23453.0
2019-10-28,1741.0,1784.9,1740.4,1776.3,35.1,1779.3,3459.0,23065.0
2019-10-25,1749.9,1761.0,1738.5,1741.0,3.7,1744.2,2424.0,23035.0
2019-10-24,1716.7,1757.9,1713.2,1749.8,33.3,1747.9,3466.0,22731.0
2019-10-23,1726.2,1734.6,1703.0,1715.7,13.9,1714.6,2981.0,22837.0
2019-10-22,1731.9,1739.7,1720.9,1725.5,3.2,1728.5,1717.0,22763.0
2019-10-21,1726.9,1746.2,1718.6,1731.8,7.7,1725.3,2604.0,22766.0
2019-10-18,1730.7,1737.4,1712.7,1726.8,13.1,1717.6,2701.0,22956.0
2019-10-17,1732.8,1750.0,1721.0,1730.9,4.3,1730.7,3423.0,23059.0
2019-10-16,1701.2,1744.7,1696.7,1734.3,38.4,1735.0,4438.0,22619.0
2019-10-15,1679.0,1706.2,1676.2,1701.5,9.6,1696.6,2968.0,22615.0
2019-10-14,1668.1,1688.6,1657.3,1679.4,16.9,1687.0,3022.0,22425.0
