Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,914.2,915.0,896.9,902.8,16.2,900.9,1089.0,11960.0
2019-11-26,905.8,924.3,905.0,917.5,11.3,917.1,889.0,11494.0
2019-11-25,898.0,908.4,897.9,904.7,7.9,905.8,670.0,10960.0
2019-11-22,921.4,921.9,893.9,898.7,24.9,897.9,1235.0,10078.0
2019-11-21,926.1,934.0,917.7,923.2,2.2,922.8,890.0,9481.0
2019-11-20,919.1,926.5,915.1,925.2,7.6,925.0,431.0,9281.0
2019-11-19,901.6,919.4,901.0,918.4,17.4,917.4,328.0,8915.0
2019-11-18,898.3,906.7,886.3,901.8,0.4,900.0,412.0,8713.0
2019-11-15,890.8,903.4,882.9,897.0,11.6,899.6,151.0,8673.0
2019-11-14,881.6,891.2,878.4,888.6,8.1,888.0,134.0,8628.0
2019-11-13,879.1,884.0,874.9,880.9,4.8,879.9,414.0,8626.0
2019-11-12,883.4,887.5,874.0,876.5,11.3,875.1,778.0,8551.0
2019-11-11,897.1,899.0,881.7,883.8,12.6,886.4,579.0,8246.0
2019-11-08,917.8,917.8,895.8,895.8,20.7,899.0,681.0,8050.0
2019-11-07,942.0,943.1,914.2,919.8,17.9,919.7,614.0,7715.0
2019-11-06,933.7,941.7,931.9,938.5,1.2,937.6,618.0,7302.0
2019-11-05,947.3,948.7,934.7,939.3,8.1,936.4,128.0,7260.0
2019-11-04,963.0,964.0,943.0,945.9,15.2,944.5,151.0,7249.0
2019-11-01,942.9,964.0,941.1,960.4,20.2,959.7,138.0,7229.0
2019-10-31,936.5,948.5,935.0,941.1,3.1,939.5,254.0,7219.0
2019-10-30,931.1,937.4,925.0,935.5,5.5,936.4,880.0,6638.0
2019-10-29,923.2,926.7,912.7,924.9,6.1,925.1,15369.0,81476.0
2019-10-28,929.6,938.5,917.3,923.0,14.3,919.0,19247.0,82942.0
2019-10-25,928.9,943.9,926.2,930.5,8.2,933.3,20370.0,82917.0
2019-10-24,921.0,936.8,921.0,927.2,2.7,925.1,19618.0,83171.0
2019-10-23,895.0,924.0,894.0,921.0,26.4,922.4,24340.0,80567.0
2019-10-22,892.2,896.4,887.8,895.1,3.8,896.0,8830.0,80759.0
2019-10-21,896.3,902.9,888.7,892.3,3.7,892.2,12990.0,80486.0
2019-10-18,892.1,898.3,886.8,896.5,2.9,895.9,11384.0,79972.0
2019-10-17,891.0,894.2,884.5,891.5,2.3,893.0,11851.0,80032.0
2019-10-16,889.6,895.0,880.1,890.4,1.5,890.7,16362.0,80555.0
2019-10-15,898.0,906.9,887.0,889.8,10.2,889.2,14549.0,80406.0
2019-10-14,900.1,906.1,894.5,898.4,0.9,899.4,10162.0,80320.0
2019-10-11,904.0,911.4,888.9,901.5,7.6,900.3,18616.0,79760.0
2019-10-10,899.6,908.7,887.6,904.3,11.2,907.9,17892.0,80005.0
2019-10-09,894.8,901.7,887.6,897.5,6.6,896.7,15223.0,79995.0
2019-10-08,882.4,897.7,881.5,894.7,1.8,890.1,16908.0,79571.0
2019-10-07,887.0,894.0,879.4,883.0,1.4,888.3,15133.0,80616.0
2019-10-04,895.5,895.5,876.8,886.0,7.5,886.9,15030.0,80378.0
2019-10-03,893.0,904.0,890.7,894.0,,894.4,18599.0,80570.0
2019-10-02,883.0,897.9,875.6,892.9,8.3,894.4,21360.0,81622.0
2019-10-01,888.7,893.8,879.3,882.4,3.1,886.1,27088.0,82232.0
2019-09-30,936.5,940.8,880.2,888.3,46.9,889.2,37855.0,83979.0
2019-09-27,937.0,942.8,926.1,936.5,6.6,936.1,20593.0,81379.0
2019-09-26,936.2,944.4,933.5,937.1,7.1,942.7,26549.0,76065.0
2019-09-25,964.5,966.3,931.2,934.5,27.1,935.6,20331.0,67523.0
2019-09-24,966.0,970.9,955.7,961.8,1.9,962.7,15520.0,57972.0
2019-09-23,948.9,970.5,948.9,966.5,11.9,960.8,18830.0,48632.0
2019-09-20,946.6,956.2,943.9,953.0,0.3,948.9,12548.0,41156.0
2019-09-19,938.5,949.9,930.0,944.7,7.8,948.6,5918.0,37954.0
2019-09-18,948.1,950.1,929.2,938.3,9.4,940.8,7305.0,35314.0
2019-09-17,946.2,952.6,936.9,948.2,4.9,950.2,5080.0,33258.0
2019-09-16,965.0,968.1,934.8,945.0,12.9,945.3,5390.0,30232.0
2019-09-13,958.3,972.4,954.5,956.4,0.2,958.2,3821.0,28050.0
2019-09-12,952.5,969.1,950.9,958.4,12.4,958.4,4357.0,25683.0
2019-09-11,939.5,953.9,938.7,951.8,3.6,946.0,2859.0,23362.0
2019-09-10,953.6,953.6,937.1,938.5,16.0,942.4,4049.0,21228.0
2019-09-09,958.8,970.3,951.0,954.7,5.7,958.4,2465.0,19712.0
2019-09-06,969.2,972.5,935.0,959.0,5.1,964.1,5772.0,17179.0
2019-09-05,993.1,1006.1,952.4,968.0,20.7,969.2,4470.0,16131.0
2019-09-04,966.9,999.9,965.1,996.0,29.0,989.9,5377.0,12859.0
2019-09-03,942.5,969.0,934.0,965.8,24.0,960.9,5609.0,9493.0
2019-08-30,929.0,949.0,922.8,941.9,11.6,936.9,2294.0,8522.0
2019-08-29,909.1,944.0,902.9,923.3,11.4,925.3,3971.0,6425.0
2019-08-28,873.4,917.0,873.4,909.1,40.7,913.9,1306.0,5814.0
2019-08-27,865.0,876.5,862.7,872.9,10.4,873.2,221.0,5645.0
2019-08-26,867.1,874.2,860.2,863.8,2.5,862.8,1388.0,4902.0
2019-08-23,866.5,876.9,858.2,865.3,6.3,860.3,370.0,4777.0
2019-08-22,861.3,868.0,854.4,866.6,3.7,866.6,716.0,4796.0
2019-08-21,854.9,863.4,848.0,860.0,5.3,862.9,570.0,4832.0
2019-08-20,859.9,863.1,852.3,856.5,4.2,857.6,198.0,4858.0
2019-08-19,856.9,865.0,851.5,859.6,5.5,861.8,367.0,5000.0
2019-08-16,846.5,858.1,840.2,856.3,9.3,856.3,279.0,4955.0
2019-08-15,854.6,855.0,841.0,848.7,6.1,847.0,356.0,4937.0
2019-08-14,859.7,863.0,851.6,852.1,11.9,853.1,369.0,4841.0
2019-08-13,866.5,875.0,845.0,863.3,4.0,865.0,474.0,4782.0
2019-08-12,869.2,869.7,862.3,867.3,0.1,869.0,422.0,4506.0
2019-08-09,875.0,875.8,867.0,869.8,3.7,869.1,182.0,4431.0
2019-08-08,874.6,877.0,860.0,875.0,3.4,872.8,226.0,4370.0
2019-08-07,861.7,878.3,855.0,873.3,17.8,876.2,474.0,4247.0
2019-08-06,866.2,866.6,852.1,859.1,4.4,858.4,402.0,3963.0
2019-08-05,854.3,867.2,851.0,863.9,4.8,862.8,271.0,3879.0
2019-08-02,859.5,865.0,850.9,852.7,1.5,858.0,257.0,3810.0
2019-08-01,872.2,872.2,851.1,862.9,27.4,856.5,228.0,3719.0
2019-07-31,880.6,887.1,871.9,873.3,6.2,883.9,239.0,3675.0
2019-07-30,890.4,891.4,877.3,880.2,9.3,877.7,100.0,3636.0
2019-07-29,869.4,886.7,868.1,884.9,14.1,881.9,15388.0,70768.0
2019-07-26,872.5,874.3,863.5,868.6,6.2,867.8,15648.0,72385.0
2019-07-25,881.1,889.7,870.1,871.2,7.1,874.0,24723.0,74399.0
2019-07-24,860.4,882.4,858.9,881.8,19.5,881.1,25477.0,73021.0
2019-07-23,851.5,862.9,847.4,860.2,8.9,861.6,16146.0,73559.0
2019-07-22,850.1,857.0,848.3,852.0,0.6,852.7,11626.0,74070.0
2019-07-19,857.8,865.5,848.8,849.6,2.2,852.1,23298.0,74290.0
2019-07-18,849.0,858.3,846.6,856.8,2.8,849.9,19890.0,73351.0
2019-07-17,844.3,854.6,838.2,848.7,0.2,847.1,17398.0,73355.0
2019-07-16,847.8,855.3,840.4,843.8,1.7,846.9,23543.0,74193.0
2019-07-15,834.8,850.6,832.3,846.1,10.6,845.2,20220.0,73615.0
2019-07-12,828.7,835.0,820.6,833.9,3.7,834.6,12613.0,74018.0
2019-07-11,830.9,836.2,825.7,827.4,0.9,830.9,14731.0,74348.0
2019-07-10,815.4,832.7,811.3,830.2,14.9,830.0,19077.0,75435.0
2019-07-09,819.8,820.4,809.2,815.0,5.3,815.1,13700.0,75430.0
2019-07-08,815.0,823.9,811.1,819.7,9.0,820.4,16733.0,77164.0
2019-07-05,842.5,845.3,808.3,813.7,32.2,811.4,35603.0,76957.0
2019-07-03,835.6,847.9,832.3,842.8,10.1,843.6,19154.0,77524.0
2019-07-02,837.5,843.3,828.3,833.9,3.7,833.5,19952.0,79150.0
2019-07-01,839.6,851.6,833.7,836.2,3.9,837.2,27592.0,81956.0
2019-06-28,818.8,844.9,817.5,839.4,23.6,841.1,30649.0,80746.0
2019-06-27,819.4,821.9,811.7,818.0,4.5,817.5,22126.0,76894.0
2019-06-26,813.3,824.2,808.3,820.5,7.5,822.0,29522.0,68613.0
2019-06-25,818.8,824.8,811.2,814.1,1.8,814.5,20780.0,59963.0
2019-06-24,814.0,820.8,812.0,818.8,0.6,816.3,16544.0,50148.0
2019-06-21,812.5,819.4,803.0,814.0,5.1,815.7,12463.0,42606.0
2019-06-20,816.8,828.9,810.0,812.0,0.4,810.6,9847.0,37068.0
2019-06-19,808.7,817.7,802.8,816.9,3.9,811.0,5549.0,32963.0
2019-06-18,799.8,810.4,795.5,808.4,7.2,807.1,4976.0,30637.0
2019-06-17,809.6,810.3,796.8,799.6,10.1,799.9,4546.0,27697.0
2019-06-14,817.3,823.3,807.4,809.6,4.6,810.0,3819.0,25517.0
2019-06-13,816.0,819.9,810.7,816.0,1.2,814.6,4095.0,23036.0
2019-06-12,819.7,825.1,813.7,815.8,4.0,815.8,3054.0,21480.0
2019-06-11,813.6,821.0,806.3,819.7,9.0,819.8,4419.0,19637.0
2019-06-10,813.7,815.6,802.5,811.0,1.0,810.8,3022.0,18062.0
2019-06-07,810.2,817.1,805.7,811.2,2.5,811.8,1587.0,17181.0
2019-06-06,811.0,813.3,804.8,810.0,1.0,809.3,3625.0,14348.0
2019-06-05,826.0,838.5,807.9,809.0,16.3,808.3,2114.0,13596.0
2019-06-04,828.8,830.7,822.0,825.7,1.8,824.6,1750.0,12973.0
2019-06-03,799.0,829.6,798.5,827.6,26.8,826.4,2587.0,10999.0
2019-05-31,801.0,801.6,795.0,798.5,0.1,799.6,1199.0,10469.0
2019-05-30,799.0,803.4,793.7,801.0,2.5,799.5,952.0,9950.0
2019-05-29,799.1,800.9,790.8,793.1,5.4,791.7,17733.0,73506.0
2019-05-28,806.0,817.8,796.1,799.6,5.8,797.1,23592.0,72372.0
2019-05-24,800.2,809.3,798.7,805.9,3.4,802.9,17276.0,71900.0
2019-05-23,804.7,805.1,796.6,799.5,5.8,799.5,19578.0,70634.0
2019-05-22,817.2,818.5,804.0,804.9,10.1,805.3,16698.0,70039.0
2019-05-21,815.5,820.4,807.2,817.1,1.2,815.4,18982.0,69348.0
2019-05-20,819.5,827.4,811.3,815.2,6.1,814.2,18100.0,69296.0
2019-05-17,835.8,836.1,818.2,819.4,13.3,820.3,17246.0,67903.0
2019-05-16,848.8,852.2,833.0,835.3,14.1,833.6,15981.0,67779.0
2019-05-15,857.8,860.9,844.0,848.8,11.4,847.7,17806.0,67369.0
2019-05-14,854.3,868.1,854.3,857.7,4.2,859.1,13263.0,67549.0
2019-05-13,866.5,867.7,851.4,855.4,10.7,854.9,13514.0,67832.0
2019-05-10,852.2,869.1,849.4,867.3,14.2,865.6,16134.0,68158.0
2019-05-09,863.9,866.0,850.1,851.4,13.0,851.4,16215.0,67816.0
2019-05-08,872.7,879.1,863.0,864.0,9.0,864.4,12770.0,67614.0
2019-05-07,878.5,887.5,870.0,873.3,7.5,873.4,16209.0,67457.0
2019-05-06,873.4,881.8,859.2,878.4,6.1,880.9,16688.0,67596.0
2019-05-03,853.2,875.8,847.1,875.0,20.6,874.8,19125.0,69060.0
2019-05-02,869.7,873.3,852.5,854.0,23.2,854.2,19575.0,69535.0
2019-05-01,891.9,892.4,867.7,870.2,14.3,877.4,22668.0,69579.0
2019-04-30,899.2,904.6,888.5,891.9,9.6,891.7,14568.0,69705.0
2019-04-29,903.5,905.3,891.8,899.7,2.3,901.3,12649.0,69457.0
2019-04-26,897.1,897.1,896.0,896.0,13.1,898.9,6.0,27.0
2019-04-25,881.0,886.0,876.9,886.0,0.9,885.8,7.0,28.0
2019-04-24,,,,,5.2,884.9,0.0,28.0
2019-04-23,893.0,893.0,889.2,889.2,8.0,890.1,6.0,30.0
2019-04-22,907.0,909.0,895.9,895.9,3.0,898.1,15.0,37.0
2019-04-18,896.0,903.3,896.0,903.3,12.8,901.1,12.0,30.0
2019-04-17,889.6,891.7,889.6,891.7,6.6,888.3,11.0,26.0
