Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,1.6916,1.6983,1.6594,1.6776,0.0211,1.6765,83487.0,174358.0
2019-11-26,1.67,1.7015,1.6683,1.6892,0.0261,1.6976,72250.0,170191.0
2019-11-25,1.6698,1.6766,1.6465,1.671,0.0017,1.6715,81727.0,172811.0
2019-11-22,1.6854,1.7036,1.6608,1.6721,0.0285,1.6698,84238.0,173735.0
2019-11-21,1.6474,1.7,1.6358,1.687,0.0477,1.6983,72611.0,170273.0
2019-11-20,1.5911,1.6588,1.5812,1.6518,0.0523,1.6506,77174.0,163999.0
2019-11-19,1.6147,1.6254,1.586,1.5893,0.0177,1.5983,67734.0,153407.0
2019-11-18,1.6372,1.6405,1.5937,1.6148,0.0148,1.616,49610.0,146540.0
2019-11-15,1.6151,1.6498,1.598,1.6335,0.0192,1.6308,46326.0,141415.0
2019-11-14,1.631,1.6434,1.6073,1.6139,0.0193,1.6116,53286.0,131880.0
2019-11-13,1.6098,1.6403,1.5954,1.6326,0.0213,1.6309,61497.0,120264.0
2019-11-12,1.604,1.6262,1.5995,1.6105,0.0059,1.6096,57767.0,112243.0
2019-11-11,1.6235,1.631,1.5999,1.606,0.0176,1.6037,60405.0,105557.0
2019-11-08,1.6258,1.6258,1.5773,1.6243,0.0015,1.6213,51345.0,103731.0
2019-11-07,1.6137,1.6352,1.6072,1.6245,0.0108,1.6228,61258.0,96830.0
2019-11-06,1.6586,1.6619,1.6092,1.6134,0.0444,1.612,50860.0,95902.0
2019-11-05,1.6485,1.6645,1.6415,1.6581,0.0133,1.6564,41540.0,94270.0
2019-11-04,1.6374,1.6575,1.6268,1.6453,0.0108,1.6431,44723.0,92426.0
2019-11-01,1.5715,1.6376,1.5684,1.634,0.0605,1.6323,40016.0,88171.0
2019-10-31,1.6144,1.6299,1.58,1.5931,0.0232,1.5946,77915.0,157995.0
2019-10-30,1.6446,1.6597,1.6056,1.6116,0.0238,1.6178,86408.0,154057.0
