Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-02-14,13.53,13.65,13.475,13.55,0.025,13.565,850.0,5988.0
2020-02-13,13.6,13.6,13.305,13.535,0.08,13.54,1450.0,5199.0
2020-02-12,13.825,13.825,13.615,13.62,0.215,13.62,1100.0,4499.0
2020-02-11,13.9,13.94,13.77,13.835,0.07,13.835,1045.0,3734.0
2020-02-10,13.805,13.98,13.8,13.89,0.1,13.905,975.0,3059.0
2020-02-07,13.725,13.84,13.705,13.815,0.08,13.805,463.0,2768.0
2020-02-06,13.74,13.74,13.705,13.715,0.01,13.725,527.0,2285.0
2020-02-05,13.73,13.77,13.63,13.74,0.035,13.735,748.0,1661.0
2020-02-04,13.755,13.78,13.67,13.77,0.025,13.77,201.0,1550.0
2020-02-03,13.8,13.815,13.66,13.74,0.025,13.745,368.0,1367.0
2020-01-31,13.665,13.81,13.62,13.79,0.055,13.77,189.0,1286.0
2020-01-30,,13.855,13.625,13.71,0.105,13.715,257.0,1198.0
2020-01-29,13.7,13.855,13.685,13.85,0.13,13.82,346.0,1058.0
2020-01-28,13.55,13.69,13.53,13.685,0.125,13.69,205.0,943.0
2020-01-27,13.59,13.625,13.485,13.555,0.11,13.565,70.0,923.0
2020-01-24,13.68,13.72,13.62,13.62,0.025,13.675,44.0,910.0
2020-01-23,13.505,13.745,13.5,13.69,0.185,13.7,237.0,830.0
2020-01-22,13.54,13.54,13.465,13.515,0.015,13.515,45.0,818.0
2020-01-21,13.565,13.635,13.455,13.46,0.075,13.5,39.0,808.0
2020-01-17,13.43,13.665,13.395,13.575,0.165,13.575,275.0,700.0
2020-01-16,13.44,13.46,13.35,13.405,0.015,13.41,54.0,677.0
2020-01-15,13.415,13.435,13.3,13.42,0.005,13.425,126.0,617.0
2020-01-14,13.2,13.385,13.18,13.375,0.13,13.355,422.0,10374.0
2020-01-13,13.305,13.355,13.155,13.26,0.105,13.225,588.0,10488.0
2020-01-10,13.27,13.4,13.055,13.335,0.055,13.33,904.0,10537.0
2020-01-09,13.02,13.495,13.015,13.275,0.205,13.275,1520.0,10509.0
2020-01-08,13.05,13.125,12.995,13.06,0.01,13.07,270.0,10495.0
2020-01-07,13.045,13.075,12.855,13.05,0.005,13.06,742.0,10449.0
2020-01-06,13.17,13.215,12.97,13.055,0.165,13.055,535.0,10380.0
2020-01-03,13.08,13.22,13.06,13.21,0.06,13.22,625.0,10221.0
2020-01-02,13.255,13.28,13.05,13.15,0.125,13.16,756.0,10160.0
2019-12-31,13.195,13.315,13.155,13.305,0.025,13.285,554.0,9996.0
2019-12-30,13.17,13.3,13.115,13.225,0.085,13.26,1406.0,9140.0
2019-12-27,13.1,13.285,13.045,13.18,0.09,13.175,1348.0,8725.0
2019-12-26,13.05,13.125,13.045,13.065,0.055,13.085,342.0,8763.0
2019-12-24,13.11,13.165,13.085,13.125,0.015,13.14,315.0,8604.0
2019-12-23,13.075,13.16,13.015,13.13,0.015,13.125,778.0,8171.0
2019-12-20,13.01,13.14,12.995,13.1,0.065,13.11,847.0,7689.0
2019-12-19,13.035,13.075,12.975,13.045,0.01,13.045,855.0,7154.0
2019-12-18,12.91,13.075,12.88,13.04,0.085,13.035,1403.0,6240.0
2019-12-17,12.82,13.095,12.82,12.935,0.09,12.95,1349.0,5303.0
2019-12-16,12.75,12.88,12.75,12.865,0.095,12.86,874.0,4634.0
2019-12-13,12.65,12.78,12.61,12.75,0.09,12.765,787.0,4064.0
2019-12-12,12.64,12.69,12.605,12.675,0.01,12.675,829.0,3459.0
2019-12-11,12.63,12.68,12.55,12.68,0.02,12.665,377.0,3151.0
2019-12-10,12.655,12.69,12.625,12.65,0.025,12.645,357.0,2867.0
2019-12-09,12.5,12.67,12.48,12.67,0.155,12.67,329.0,2597.0
2019-12-06,12.495,12.51,12.455,12.51,0.02,12.515,391.0,2232.0
2019-12-05,12.47,12.52,12.465,12.485,,12.495,247.0,2034.0
2019-12-04,12.5,12.515,12.47,12.5,0.04,12.495,246.0,1823.0
2019-12-03,12.63,12.63,12.495,12.535,0.12,12.535,510.0,1384.0
2019-12-02,12.64,12.715,12.595,12.635,0.01,12.655,411.0,1184.0
2019-11-29,12.545,12.64,12.545,12.64,0.105,12.645,259.0,998.0
2019-11-27,12.425,12.54,12.39,12.54,0.12,12.54,316.0,754.0
2019-11-26,12.37,12.445,12.36,12.445,0.05,12.42,195.0,610.0
2019-11-25,12.35,12.405,12.335,12.37,0.005,12.37,86.0,549.0
2019-11-22,12.39,12.43,12.345,12.365,0.065,12.365,40.0,528.0
2019-11-21,12.3,12.43,12.3,12.425,0.135,12.43,73.0,494.0
2019-11-20,12.285,12.3,12.28,12.3,0.01,12.295,7.0,498.0
2019-11-19,12.26,12.285,12.21,12.285,,12.285,37.0,491.0
