Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,899.0,901.75,895.75,896.75,2.25,896.5,42357.0,195012.0
2019-11-26,907.0,909.0,897.0,899.0,8.25,898.75,35512.0,190906.0
2019-11-25,912.0,916.75,906.5,906.75,4.25,907.0,31520.0,188243.0
2019-11-22,914.5,917.25,909.75,909.75,4.0,911.25,38405.0,187284.0
2019-11-21,919.5,923.0,914.5,917.5,3.75,915.25,36918.0,183184.0
2019-11-20,923.25,928.75,918.25,918.5,5.5,919.0,52927.0,185142.0
2019-11-19,923.0,930.0,922.75,924.75,1.5,924.5,35986.0,181698.0
2019-11-18,931.25,934.25,922.75,922.0,7.75,923.0,28965.0,179001.0
2019-11-15,931.0,936.0,927.75,930.75,1.25,930.75,22601.0,176060.0
2019-11-14,915.0,917.5,911.0,916.5,1.5,916.75,81277.0,323943.0
2019-11-13,916.5,921.5,913.5,915.25,1.75,915.25,92531.0,324223.0
2019-11-12,916.5,920.0,915.0,916.0,,917.0,72303.0,326212.0
2019-11-11,928.25,929.0,916.0,917.0,14.0,917.0,108326.0,323050.0
2019-11-08,935.5,938.75,926.5,930.0,5.5,931.0,124898.0,320795.0
2019-11-07,927.75,938.5,926.5,936.0,9.0,936.5,108038.0,326252.0
2019-11-06,934.0,935.75,927.0,927.0,6.75,927.5,82385.0,323861.0
2019-11-05,938.0,941.0,932.0,933.0,3.75,934.25,79533.0,324040.0
2019-11-04,935.5,942.25,932.5,937.0,1.25,938.0,85997.0,325186.0
2019-11-01,931.0,938.75,930.25,936.0,4.5,936.75,93909.0,321472.0
2019-10-31,930.5,935.5,925.0,931.5,1.75,932.25,114124.0,325027.0
2019-10-30,933.0,937.0,930.25,930.5,3.0,930.5,159025.0,315293.0
2019-10-29,935.5,940.25,931.0,933.0,2.0,933.5,199123.0,304285.0
2019-10-28,935.25,940.25,934.25,935.25,1.0,935.5,148668.0,281594.0
2019-10-25,947.0,951.25,933.25,935.0,12.5,934.5,146690.0,268163.0
2019-10-24,948.0,953.0,946.75,946.75,1.25,947.0,105546.0,265828.0
2019-10-23,948.0,953.0,942.0,948.25,,948.25,134794.0,249359.0
2019-10-22,946.25,959.0,945.0,948.25,1.5,948.25,98610.0,235101.0
2019-10-21,944.5,953.75,943.75,947.0,0.75,946.75,63166.0,226096.0
2019-10-18,945.0,952.0,944.25,947.25,2.25,947.5,58992.0,216004.0
