Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2019-11-28,,,,12.86,0.0,,,186860.0,,,
2019-11-27,12.82,12.89,12.81,12.86,0.0,12.85,23273.0,183791.0,4.0,9.0,
2019-11-26,12.89,12.95,12.74,12.86,-0.05,12.83,24420.0,183919.0,159.0,,
2019-11-25,12.86,12.93,12.83,12.91,-0.01,12.89,14875.0,183123.0,,,
2019-11-22,12.73,12.95,12.73,12.92,0.19,12.87,29147.0,175792.0,24.0,,
2019-11-21,12.83,12.86,12.69,12.73,-0.14,12.78,23136.0,171308.0,,,
2019-11-20,12.81,12.92,12.81,12.87,0.05,12.87,19666.0,170288.0,,,
2019-11-19,12.87,12.87,12.77,12.82,-0.06,12.82,19925.0,171234.0,42.0,,
2019-11-18,12.84,12.91,12.74,12.88,0.03,12.83,15672.0,171290.0,20.0,,
2019-11-15,12.93,12.96,12.81,12.85,-0.07,12.88,17429.0,170966.0,136.0,6.0,
2019-11-14,12.92,12.98,12.87,12.92,-0.01,12.93,23649.0,170326.0,110.0,44.0,300.0
2019-11-13,12.74,13.0,12.69,12.93,0.23,12.88,47309.0,177801.0,44.0,15.0,
2019-11-12,12.72,12.74,12.63,12.7,0.02,12.68,16551.0,178114.0,,,
2019-11-11,12.65,12.77,12.56,12.68,0.02,12.68,24731.0,178433.0,,4.0,
2019-11-08,12.49,12.71,12.42,12.66,0.13,12.54,29882.0,176014.0,4.0,,
2019-11-07,12.68,12.68,12.47,12.53,-0.15,12.55,20858.0,175249.0,650.0,,
2019-11-06,12.82,12.82,12.66,12.68,-0.14,12.73,23244.0,174190.0,,,250.0
2019-11-05,12.62,12.84,12.62,12.82,0.18,12.76,22328.0,173404.0,,,
2019-11-04,12.61,12.69,12.58,12.64,0.04,12.64,18661.0,174209.0,,,
2019-11-01,12.58,12.61,12.46,12.6,0.02,12.55,18735.0,171771.0,,,100.0
2019-10-31,12.53,12.62,12.42,12.58,0.07,12.51,13733.0,170771.0,,,
2019-10-30,12.46,12.55,12.35,12.51,0.05,12.44,15602.0,167813.0,3.0,,
2019-10-29,12.62,12.63,12.39,12.46,-0.17,12.53,22341.0,166499.0,3.0,10.0,
2019-10-28,12.44,12.67,12.42,12.63,0.21,12.56,13273.0,164005.0,10.0,,
2019-10-25,12.35,12.47,12.31,12.42,0.04,12.39,10671.0,161103.0,,23.0,
2019-10-24,12.27,12.41,12.27,12.38,0.14,12.35,13621.0,160075.0,14.0,18.0,
2019-10-23,12.28,12.33,12.16,12.24,-0.05,12.24,16598.0,157692.0,27.0,,
2019-10-22,12.39,12.39,12.21,12.29,-0.07,12.28,15779.0,154301.0,276.0,,250.0
2019-10-21,12.45,12.47,12.31,12.36,-0.05,12.36,8169.0,152850.0,,,
2019-10-18,12.32,12.43,12.31,12.41,0.07,12.36,11239.0,150749.0,,,250.0
2019-10-17,12.45,12.55,12.31,12.34,-0.1,12.46,16449.0,149080.0,246.0,,
2019-10-16,12.65,12.65,12.39,12.44,-0.25,12.5,17056.0,148492.0,,,
2019-10-15,12.59,12.72,12.46,12.69,0.08,12.61,16241.0,147387.0,,,
2019-10-14,12.55,12.67,12.54,12.61,0.1,12.62,11870.0,147354.0,,,200.0
2019-10-11,12.5,12.57,12.35,12.51,0.0,12.46,22501.0,144692.0,,,
2019-10-10,12.5,12.58,12.42,12.51,-0.01,12.5,16057.0,142675.0,,5.0,
2019-10-09,12.55,12.66,12.49,12.52,-0.06,12.56,17169.0,143600.0,5.0,,
2019-10-08,12.7,12.7,12.51,12.58,-0.06,12.6,17381.0,147546.0,,,
2019-10-07,12.84,12.84,12.46,12.64,-0.25,12.63,25477.0,151387.0,,,
2019-10-04,12.85,12.95,12.83,12.89,0.02,12.89,16075.0,152156.0,,,
2019-10-03,12.95,13.0,12.74,12.87,-0.13,12.89,24418.0,154276.0,,55.0,
2019-10-02,12.96,13.03,12.9,13.0,0.02,12.98,20832.0,155746.0,5.0,2.0,
2019-10-01,12.76,13.0,12.73,12.98,0.23,12.9,24980.0,157833.0,2.0,,
2019-09-30,12.7,12.92,12.65,12.75,0.04,12.82,22054.0,161445.0,,,
2019-09-27,12.56,12.7,12.51,12.62,0.0,12.61,59801.0,542452.0,8205.0,528.0,
2019-09-26,12.7,12.72,12.58,12.62,-0.04,12.65,94343.0,550649.0,1057.0,45.0,300.0
2019-09-25,12.41,12.7,12.39,12.66,0.25,12.58,99327.0,553642.0,2050.0,,179.0
2019-09-24,12.19,12.5,12.17,12.41,0.2,12.38,112633.0,547270.0,22.0,,1002.0
2019-09-23,12.1,12.28,12.1,12.21,0.14,12.21,81270.0,536169.0,30.0,,470.0
2019-09-20,12.0,12.09,11.96,12.07,0.07,12.03,70426.0,527143.0,91.0,,100.0
2019-09-19,12.06,12.13,11.92,12.0,-0.07,12.03,81648.0,513410.0,1.0,28.0,100.0
2019-09-18,12.07,12.19,12.04,12.07,-0.03,12.11,99170.0,501166.0,150.0,1409.0,
2019-09-17,12.26,12.37,12.07,12.1,-0.16,12.18,123886.0,513180.0,1022.0,2604.0,100.0
2019-09-16,12.15,12.48,12.1,12.26,0.32,12.3,173263.0,491609.0,547.0,1220.0,1121.0
2019-09-13,11.83,12.07,11.82,11.94,0.1,11.93,140138.0,453586.0,24.0,46.0,862.0
2019-09-12,11.84,11.89,11.74,11.84,-0.01,11.81,131312.0,421112.0,502.0,,1000.0
2019-09-11,11.89,11.94,11.78,11.85,-0.04,11.86,110328.0,392227.0,11.0,,7150.0
2019-09-10,11.87,12.05,11.85,11.89,-0.01,11.94,100696.0,365797.0,18.0,,
2019-09-09,11.96,12.03,11.88,11.9,-0.07,11.94,100171.0,341463.0,24.0,,
2019-09-06,12.0,12.02,11.9,11.97,0.0,11.95,69712.0,329161.0,,61.0,
2019-09-05,12.06,12.15,11.89,11.97,-0.07,11.99,72401.0,318683.0,201.0,1028.0,
2019-09-04,12.16,12.22,12.03,12.04,-0.13,12.11,79175.0,313919.0,1289.0,15.0,100.0
2019-09-03,12.34,12.41,12.12,12.17,-0.06,12.26,71360.0,310266.0,364.0,29.0,550.0
2019-09-02,,,,12.23,0.0,,,310266.0,,,
2019-08-30,12.32,12.38,12.15,12.23,-0.08,12.25,38774.0,309137.0,950.0,536.0,
2019-08-29,12.5,12.55,12.26,12.31,-0.17,12.4,31745.0,306899.0,173.0,51.0,150.0
2019-08-28,12.38,12.55,12.24,12.48,0.13,12.4,45078.0,302385.0,24.0,,100.0
2019-08-27,12.48,12.52,12.27,12.35,-0.13,12.38,46044.0,294005.0,134.0,292.0,350.0
2019-08-26,12.51,12.65,12.46,12.48,-0.04,12.54,22303.0,294524.0,399.0,317.0,
2019-08-23,12.69,12.7,12.51,12.52,-0.13,12.59,20510.0,291681.0,10.0,,
2019-08-22,12.48,12.71,12.48,12.65,0.17,12.6,22250.0,292021.0,,,100.0
2019-08-21,12.52,12.62,12.46,12.48,-0.04,12.53,22002.0,286760.0,148.0,,
2019-08-20,12.52,12.64,12.48,12.52,-0.02,12.54,26339.0,284554.0,,2.0,
2019-08-19,12.66,12.66,12.5,12.54,-0.15,12.55,23313.0,282848.0,2.0,61.0,
2019-08-16,12.68,12.74,12.62,12.69,0.01,12.69,12037.0,283683.0,8.0,,
2019-08-15,12.67,12.77,12.55,12.68,0.04,12.69,24196.0,279996.0,148.0,148.0,
2019-08-14,12.77,12.85,12.62,12.64,-0.13,12.73,24680.0,282611.0,100.0,,
2019-08-13,12.7,12.88,12.61,12.77,0.1,12.76,39991.0,281332.0,228.0,,
2019-08-12,12.96,12.98,12.59,12.67,-0.28,12.81,43670.0,279826.0,26.0,,
2019-08-09,12.56,12.98,12.56,12.95,0.39,12.82,29495.0,278167.0,,,
2019-08-08,12.55,12.62,12.48,12.56,0.08,12.56,38801.0,276385.0,,5.0,
2019-08-07,12.8,12.81,12.43,12.48,-0.29,12.59,67178.0,271612.0,,,
2019-08-06,12.83,13.0,12.74,12.77,-0.09,12.89,28919.0,268248.0,,,1200.0
2019-08-05,13.0,13.07,12.75,12.86,-0.17,12.88,34533.0,267182.0,300.0,295.0,
2019-08-02,13.11,13.13,12.92,13.03,-0.11,13.0,27811.0,266310.0,5.0,,
2019-08-01,13.2,13.2,13.02,13.14,-0.06,13.11,21003.0,267976.0,258.0,,
2019-07-31,13.14,13.21,13.03,13.2,0.08,13.13,20623.0,265872.0,,,
2019-07-30,13.05,13.25,13.04,13.12,0.07,13.17,19114.0,265544.0,,,
2019-07-29,13.04,13.18,13.0,13.05,0.03,13.11,16482.0,265497.0,,,42.0
2019-07-26,13.01,13.08,12.92,13.02,0.04,13.01,9883.0,264001.0,7.0,,
2019-07-25,13.09,13.15,12.94,12.98,-0.05,13.05,15187.0,261761.0,,394.0,
2019-07-24,12.96,13.17,12.82,13.03,0.07,13.02,34653.0,260427.0,22.0,96.0,
2019-07-23,12.58,12.96,12.42,12.96,0.38,12.62,39246.0,260888.0,296.0,,200.0
2019-07-22,12.62,12.68,12.57,12.58,-0.04,12.62,17495.0,256861.0,8.0,53.0,
2019-07-19,12.66,12.72,12.61,12.62,0.0,12.65,22007.0,253635.0,14.0,94.0,130.0
2019-07-18,12.86,12.87,12.61,12.62,-0.23,12.75,28397.0,253412.0,541.0,,700.0
2019-07-17,13.1,13.15,12.82,12.85,-0.18,12.96,24300.0,251304.0,,17.0,
2019-07-16,13.11,13.11,12.96,13.03,-0.09,13.02,24074.0,249649.0,17.0,21.0,
2019-07-15,13.29,13.32,13.02,13.12,-0.18,13.1,34593.0,247590.0,606.0,23.0,
2019-07-12,13.37,13.41,13.27,13.3,-0.08,13.35,18174.0,244554.0,36.0,,
2019-07-11,13.45,13.58,13.35,13.38,-0.09,13.44,18103.0,243142.0,,19.0,
2019-07-10,13.43,13.51,13.31,13.47,0.13,13.4,22407.0,240221.0,19.0,,
2019-07-09,13.41,13.41,13.24,13.34,-0.07,13.33,24781.0,238162.0,,,100.0
2019-07-08,13.31,13.48,13.27,13.41,0.11,13.39,19788.0,235405.0,,,200.0
2019-07-05,13.45,13.54,13.28,13.3,-0.12,13.42,18959.0,231389.0,,,350.0
2019-07-04,,,,13.42,0.0,,,231394.0,,,
2019-07-03,13.25,13.5,13.23,13.42,0.15,13.36,22362.0,226409.0,,20.0,200.0
2019-07-02,13.42,13.49,13.18,13.27,-0.2,13.28,28051.0,222952.0,25.0,,218.0
2019-07-01,13.63,13.69,13.41,13.47,-0.08,13.55,31171.0,218777.0,,,
2019-06-28,13.64,13.72,13.5,13.55,-0.09,13.62,24132.0,211995.0,,7.0,
2019-06-27,12.35,12.79,12.3,12.78,0.46,12.62,128370.0,458774.0,8237.0,42.0,480.0
2019-06-26,12.59,12.65,12.29,12.32,-0.25,12.45,100789.0,453327.0,34.0,,1580.0
2019-06-25,12.5,12.66,12.48,12.57,0.1,12.59,60414.0,456072.0,64.0,11.0,250.0
2019-06-24,12.42,12.69,12.38,12.47,-0.01,12.54,86826.0,457484.0,1319.0,874.0,100.0
2019-06-21,12.67,12.72,12.42,12.48,-0.2,12.6,65148.0,458323.0,3965.0,,920.0
2019-06-20,12.7,12.76,12.66,12.68,-0.06,12.72,55400.0,459202.0,,,300.0
2019-06-19,12.78,12.8,12.63,12.74,-0.09,12.71,59567.0,458567.0,182.0,90.0,400.0
2019-06-18,12.82,12.85,12.67,12.83,-0.01,12.77,82648.0,459185.0,90.0,,200.0
2019-06-17,12.91,12.93,12.75,12.84,-0.08,12.85,72279.0,456554.0,218.0,679.0,200.0
2019-06-14,12.9,12.95,12.85,12.92,0.01,12.91,78930.0,436780.0,1.0,15.0,
2019-06-13,12.83,12.94,12.83,12.91,0.05,12.89,140072.0,414339.0,17.0,7.0,100.0
2019-06-12,12.8,12.87,12.74,12.86,0.03,12.81,101440.0,387688.0,107.0,,100.0
2019-06-11,12.71,12.83,12.58,12.83,0.13,12.73,112965.0,358654.0,503.0,5.0,100.0
2019-06-10,12.77,12.77,12.64,12.7,-0.08,12.7,95640.0,333306.0,7.0,,
2019-06-07,12.69,12.8,12.65,12.78,0.06,12.73,68385.0,310797.0,396.0,394.0,100.0
2019-06-06,12.45,12.72,12.37,12.72,0.23,12.64,63656.0,303142.0,13.0,27.0,100.0
2019-06-05,12.64,12.76,12.41,12.49,-0.15,12.61,70766.0,295147.0,29.0,,
2019-06-04,12.52,12.66,12.39,12.64,0.14,12.54,75428.0,285658.0,2.0,,100.0
2019-06-03,12.44,12.51,12.29,12.5,0.07,12.41,66882.0,284096.0,,13.0,
2019-05-31,12.14,12.46,12.04,12.43,0.25,12.27,57853.0,284390.0,213.0,,
2019-05-30,12.23,12.33,12.15,12.18,-0.06,12.22,35225.0,285085.0,24.0,4.0,412.0
2019-05-29,12.14,12.33,12.11,12.24,0.15,12.25,48675.0,286095.0,4.0,,
2019-05-28,12.13,12.21,12.02,12.09,0.04,12.1,42201.0,279031.0,30.0,,1339.0
2019-05-27,,,,12.05,0.0,,,279134.0,,,
2019-05-24,12.0,12.17,11.96,12.05,0.08,12.07,18112.0,279245.0,44.0,6.0,
2019-05-23,12.06,12.16,11.82,11.97,-0.07,11.96,41075.0,277362.0,116.0,,279.0
2019-05-22,12.24,12.33,12.03,12.04,-0.13,12.17,37147.0,274863.0,2.0,,
2019-05-21,12.05,12.21,11.85,12.17,0.15,11.98,74150.0,260209.0,100.0,,
2019-05-20,11.97,12.13,11.97,12.02,0.09,12.05,29044.0,259024.0,,,
2019-05-17,12.12,12.12,11.83,11.93,-0.21,11.93,52156.0,258859.0,108.0,,1226.0
2019-05-16,12.22,12.22,12.06,12.14,-0.05,12.13,22626.0,259590.0,100.0,,
2019-05-15,12.3,12.37,12.11,12.19,-0.07,12.23,29569.0,262742.0,,,
2019-05-14,12.18,12.31,12.09,12.26,0.07,12.21,21046.0,260814.0,,,
2019-05-13,12.09,12.21,12.01,12.19,0.12,12.11,21801.0,255100.0,394.0,6.0,
2019-05-10,12.17,12.48,12.05,12.07,-0.05,12.2,34934.0,250525.0,6.0,3.0,
2019-05-09,12.01,12.27,12.01,12.12,0.1,12.11,43452.0,248407.0,3.0,13.0,
2019-05-08,12.28,12.29,12.01,12.02,-0.26,12.13,61679.0,241139.0,1531.0,,
2019-05-07,12.21,12.37,12.18,12.28,0.06,12.25,43768.0,237751.0,3114.0,,100.0
2019-05-06,12.3,12.33,12.18,12.22,-0.13,12.24,24919.0,235029.0,600.0,57.0,
2019-05-03,12.56,12.56,12.32,12.35,-0.2,12.42,35795.0,228822.0,157.0,,100.0
2019-05-02,12.57,12.63,12.48,12.55,0.01,12.55,31611.0,224401.0,15.0,,
2019-05-01,12.74,12.75,12.48,12.54,-0.15,12.54,71299.0,212686.0,600.0,,100.0
2019-04-30,12.75,13.08,12.66,12.69,0.0,12.84,51407.0,205853.0,150.0,1500.0,200.0
2019-04-29,12.63,12.64,12.3,12.33,-0.32,12.44,123402.0,378278.0,2585.0,,920.0
2019-04-26,12.72,12.76,12.52,12.65,-0.04,12.64,95519.0,379270.0,113.0,,100.0
2019-04-25,12.9,12.94,12.66,12.69,-0.21,12.79,105396.0,383239.0,208.0,98.0,400.0
2019-04-24,12.85,12.96,12.75,12.9,0.0,12.86,78857.0,386535.0,72.0,,470.0
2019-04-23,12.72,12.95,12.7,12.9,0.13,12.84,82067.0,385869.0,44.0,123.0,298.0
2019-04-22,12.95,13.05,12.71,12.77,,12.92,73269.0,394344.0,61.0,15.0,2592.0
2019-04-18,12.53,13.01,12.51,12.98,0.45,12.83,123262.0,380508.0,114.0,2.0,100.0
2019-04-17,12.67,12.8,12.5,12.53,-0.14,12.61,66232.0,372785.0,2.0,,621.0
2019-04-16,12.79,12.81,12.56,12.67,-0.12,12.65,87303.0,368737.0,4.0,,219.0
2019-04-15,12.88,12.96,12.76,12.79,-0.13,12.85,95058.0,357181.0,32.0,2690.0,
2019-04-12,12.86,12.93,12.75,12.92,0.1,12.86,91816.0,345220.0,,971.0,
2019-04-11,12.98,12.98,12.8,12.82,-0.16,12.91,96337.0,322691.0,1020.0,77.0,
2019-04-10,12.9,12.99,12.84,12.98,0.08,12.93,119270.0,299402.0,12.0,,644.0
2019-04-09,12.66,12.91,12.62,12.9,0.22,12.84,66872.0,282812.0,165.0,,113.0
2019-04-08,12.87,12.87,12.62,12.68,-0.19,12.71,56723.0,269468.0,54.0,,225.0
2019-04-05,12.8,12.92,12.78,12.87,0.06,12.87,68894.0,253117.0,24.0,,
2019-04-04,12.61,12.9,12.55,12.81,0.26,12.79,63461.0,235632.0,96.0,49.0,100.0
2019-04-03,12.8,12.84,12.53,12.55,-0.25,12.65,54866.0,226650.0,1183.0,,100.0
2019-04-02,12.77,12.89,12.72,12.8,0.02,12.8,36077.0,218164.0,630.0,,
2019-04-01,12.63,12.8,12.42,12.78,0.13,12.62,36998.0,216770.0,,,
2019-03-29,12.62,12.75,12.61,12.65,0.02,12.66,25751.0,217356.0,37.0,,725.0
2019-03-28,12.67,12.7,12.56,12.63,-0.06,12.63,37757.0,220859.0,40.0,,850.0
2019-03-27,12.7,12.85,12.63,12.69,-0.05,12.74,55243.0,226877.0,,,362.0
2019-03-26,12.65,12.8,12.57,12.74,0.09,12.7,30696.0,229909.0,,,400.0
2019-03-25,12.75,12.77,12.5,12.65,-0.09,12.63,41853.0,227474.0,26.0,,
2019-03-22,12.72,12.88,12.65,12.74,0.01,12.78,27901.0,226115.0,,19.0,100.0
2019-03-21,12.96,12.96,12.68,12.73,-0.22,12.76,30723.0,222222.0,19.0,,100.0
2019-03-20,12.97,12.99,12.87,12.95,-0.01,12.94,23828.0,222727.0,,,600.0
2019-03-19,13.01,13.01,12.84,12.96,-0.05,12.93,39549.0,222766.0,272.0,6.0,100.0
2019-03-18,12.8,13.03,12.72,13.01,0.33,12.95,36969.0,220007.0,,,403.0
2019-03-15,12.58,12.74,12.43,12.68,0.11,12.59,18979.0,217372.0,6.0,2.0,500.0
2019-03-14,12.5,12.84,12.45,12.57,0.03,12.66,35333.0,216668.0,2.0,,450.0
2019-03-13,12.56,12.56,12.43,12.54,0.0,12.5,45046.0,200180.0,2957.0,,400.0
2019-03-12,12.5,12.64,12.38,12.54,0.04,12.5,44224.0,189561.0,,,100.0
2019-03-11,12.41,12.67,12.4,12.5,0.13,12.51,45420.0,177099.0,66.0,,
2019-03-08,12.4,12.44,12.3,12.37,0.01,12.37,49822.0,168568.0,,20.0,
2019-03-07,12.43,12.46,12.29,12.36,-0.02,12.35,54710.0,170692.0,20.0,15.0,
2019-03-06,12.67,12.67,12.36,12.38,-0.26,12.46,28519.0,169071.0,215.0,,
2019-03-05,12.62,12.75,12.6,12.64,0.05,12.66,37096.0,172357.0,200.0,,
2019-03-04,12.91,12.95,12.58,12.59,-0.28,12.72,23898.0,171038.0,,46.0,200.0
2019-03-01,13.13,13.13,12.84,12.87,-0.16,12.93,28362.0,167614.0,492.0,,
2019-02-28,13.28,13.28,12.9,13.03,-0.18,13.02,21791.0,165314.0,,,100.0
