Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,17.06,17.065,16.875,16.89,0.133,16.912,26852.0,15991.0
2019-11-26,16.78,17.085,16.78,17.04,0.159,17.045,81526.0,34496.0
2019-11-25,16.96,16.97,16.82,16.85,0.114,16.886,64563.0,49000.0
2019-11-22,17.075,17.21,16.95,16.96,0.065,17.0,78230.0,57687.0
2019-11-21,17.145,17.17,17.01,17.075,0.05,17.065,94086.0,70582.0
2019-11-20,17.115,17.185,17.0,17.125,0.003,17.115,96007.0,80987.0
2019-11-19,17.005,17.16,16.935,17.12,0.118,17.118,92561.0,93020.0
2019-11-18,16.95,17.03,16.705,17.015,0.052,17.0,91392.0,98802.0
2019-11-15,17.0,17.01,16.78,16.935,0.08,16.948,66389.0,101908.0
2019-11-14,16.93,17.08,16.845,16.995,0.115,17.028,76228.0,109560.0
2019-11-13,16.72,17.0,16.72,16.945,0.221,16.913,97604.0,118603.0
2019-11-12,16.785,16.875,16.615,16.735,0.11,16.692,92701.0,126237.0
2019-11-11,16.755,16.91,16.63,16.83,0.021,16.802,88396.0,135413.0
2019-11-08,17.07,17.095,16.66,16.76,0.187,16.823,130213.0,144406.0
2019-11-07,17.605,17.645,16.91,17.08,0.588,17.01,160277.0,151879.0
2019-11-06,17.555,17.63,17.36,17.615,0.03,17.598,99426.0,156247.0
2019-11-05,18.06,18.085,17.52,17.565,0.498,17.568,139315.0,160815.0
2019-11-04,18.125,18.23,17.96,18.055,0.014,18.066,76717.0,160640.0
2019-11-01,18.12,18.16,17.935,18.11,0.015,18.052,89115.0,161492.0
2019-10-31,17.895,18.185,17.795,18.105,0.2,18.067,101039.0,159927.0
2019-10-30,17.82,17.965,17.59,17.86,0.036,17.867,82759.0,159633.0
2019-10-29,17.87,17.905,17.605,17.81,0.045,17.831,77112.0,161687.0
2019-10-28,18.065,18.145,17.785,17.845,0.05,17.876,81220.0,163772.0
2019-10-25,17.835,18.35,17.8,18.035,0.122,17.926,131007.0,160627.0
2019-10-24,17.575,17.86,17.485,17.82,0.224,17.804,72582.0,157694.0
2019-10-23,17.55,17.63,17.515,17.565,0.08,17.58,47832.0,159240.0
2019-10-22,17.58,17.68,17.44,17.535,0.102,17.5,55616.0,159497.0
2019-10-21,17.615,17.895,17.53,17.565,0.024,17.602,75047.0,157561.0
2019-10-18,17.57,17.62,17.42,17.57,0.034,17.578,47415.0,157466.0
2019-10-17,17.415,17.665,17.33,17.57,0.185,17.612,61413.0,156614.0
2019-10-16,17.43,17.49,17.18,17.415,0.043,17.427,78407.0,157441.0
2019-10-15,17.695,17.765,17.37,17.43,0.326,17.384,70686.0,156144.0
2019-10-14,17.59,17.735,17.455,17.68,0.166,17.71,48203.0,155540.0
2019-10-11,17.54,17.785,17.37,17.57,0.058,17.544,102137.0,156739.0
2019-10-10,17.8,17.935,17.455,17.54,0.208,17.602,92649.0,159799.0
2019-10-09,17.775,18.0,17.72,17.765,0.11,17.81,65600.0,161714.0
2019-10-08,17.49,17.86,17.305,17.775,0.16,17.7,88800.0,159450.0
2019-10-07,17.665,17.7,17.435,17.475,0.085,17.54,34395.0,160195.0
2019-10-04,17.63,17.745,17.33,17.6,0.051,17.625,59120.0,161393.0
2019-10-03,17.63,17.845,17.515,17.61,0.007,17.676,68341.0,162570.0
2019-10-02,17.31,17.73,17.24,17.605,0.381,17.683,69580.0,163171.0
2019-10-01,17.045,17.375,16.94,17.29,0.304,17.302,81689.0,163857.0
2019-09-30,17.59,17.66,16.98,17.035,0.654,16.998,94293.0,164862.0
2019-09-27,17.885,17.96,17.345,17.59,0.26,17.652,132369.0,165578.0
2019-09-26,17.91,17.91,17.85,17.9,0.161,17.801,94.0,18.0
2019-09-25,18.57,18.57,18.435,18.455,0.555,17.962,26.0,20.0
2019-09-24,18.52,18.52,18.52,18.52,0.083,18.517,3.0,36.0
2019-09-23,18.215,18.265,18.21,18.265,0.862,18.6,75.0,53.0
2019-09-20,17.755,17.95,17.74,17.95,0.035,17.738,53.0,195.0
2019-09-19,17.815,17.815,17.725,17.725,0.022,17.773,135.0,168.0
2019-09-18,,,17.88,17.88,0.221,17.795,4.0,262.0
2019-09-17,,,,,0.115,18.016,99.0,315.0
2019-09-16,17.78,17.865,17.78,17.865,0.465,17.901,40.0,389.0
2019-09-13,18.005,18.005,17.405,17.405,0.605,17.436,201.0,525.0
2019-09-12,18.07,18.165,18.03,18.03,0.01,18.041,135.0,696.0
2019-09-11,18.065,18.07,18.03,18.04,0.01,18.031,320.0,598.0
2019-09-10,17.77,18.085,17.77,18.01,0.022,18.041,190.0,918.0
2019-09-09,18.205,18.205,17.95,17.95,0.051,18.019,517.0,884.0
2019-09-06,18.63,18.685,17.915,18.175,0.688,17.968,329.0,1094.0
2019-09-05,19.485,19.485,18.425,18.585,0.735,18.656,386.0,1382.0
2019-09-04,19.215,19.54,19.2,19.525,0.312,19.391,462.0,1767.0
2019-09-03,18.45,19.225,18.225,19.225,0.894,19.079,828.0,2219.0
2019-08-30,18.195,18.41,18.02,18.315,0.018,18.185,1479.0,6724.0
2019-08-29,18.3,18.615,17.985,18.175,0.151,18.167,22272.0,14133.0
2019-08-28,18.145,18.475,18.025,18.315,0.165,18.318,97075.0,29829.0
2019-08-27,17.64,18.185,17.61,18.165,0.512,18.153,103740.0,45298.0
2019-08-26,17.5,17.755,17.495,17.635,0.228,17.641,107891.0,59232.0
2019-08-23,17.03,17.465,16.96,17.395,0.373,17.413,110498.0,72223.0
2019-08-22,17.115,17.13,16.915,17.015,0.111,17.04,68487.0,84868.0
2019-08-21,17.125,17.18,16.975,17.095,0.003,17.151,67164.0,96039.0
2019-08-20,16.87,17.17,16.83,17.145,0.208,17.148,71214.0,98612.0
2019-08-19,17.125,17.175,16.82,16.845,0.182,16.94,78585.0,104020.0
2019-08-16,17.25,17.315,17.03,17.085,0.092,17.122,70743.0,108186.0
2019-08-15,17.19,17.37,17.075,17.24,0.066,17.214,94999.0,113808.0
2019-08-14,16.95,17.305,16.855,17.19,0.295,17.28,113130.0,116697.0
2019-08-13,17.06,17.49,16.51,16.93,0.086,16.985,179303.0,123770.0
2019-08-12,16.965,17.15,16.8,17.045,0.14,17.071,80702.0,132497.0
2019-08-09,16.94,17.14,16.86,16.945,0.005,16.931,97262.0,142440.0
2019-08-08,17.1,17.225,16.81,16.93,0.26,16.936,121161.0,149864.0
2019-08-07,16.45,17.26,16.45,17.125,0.751,17.196,171206.0,152073.0
2019-08-06,16.44,16.53,16.365,16.455,0.052,16.445,70605.0,154016.0
2019-08-05,16.26,16.59,16.135,16.405,0.123,16.393,112522.0,154743.0
2019-08-02,16.355,16.385,16.03,16.225,0.09,16.27,98818.0,155743.0
2019-08-01,16.28,16.405,15.935,16.35,0.225,16.18,119499.0,156977.0
2019-07-31,16.585,16.6,16.215,16.28,0.153,16.405,106072.0,159053.0
2019-07-30,16.5,16.64,16.425,16.59,0.118,16.558,57088.0,158008.0
2019-07-29,,,,,0.043,16.368,65.0,22.0
2019-07-26,16.42,16.425,16.42,16.425,0.014,16.325,25.0,77.0
2019-07-25,16.4,16.415,16.36,16.415,0.215,16.339,64.0,113.0
2019-07-24,16.3,16.31,16.3,16.31,0.149,16.554,45.0,156.0
2019-07-23,,,,,0.065,16.405,73.0,399.0
2019-07-22,16.295,16.295,16.29,16.29,0.223,16.34,161.0,322.0
2019-07-19,16.275,16.505,16.115,16.115,0.003,16.117,68.0,276.0
2019-07-18,15.98,16.055,15.98,16.04,0.227,16.12,61.0,404.0
2019-07-17,15.73,15.8,15.73,15.785,0.293,15.893,85.0,414.0
2019-07-16,15.295,15.645,15.295,15.645,0.31,15.6,41.0,520.0
