Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,294.8,296.5,293.6,293.7,0.9,293.8,39340.0,20895.0
2019-11-26,298.5,299.0,294.3,294.7,3.6,294.7,41647.0,30351.0
2019-11-25,298.8,300.5,298.0,298.3,0.7,298.3,40909.0,40489.0
2019-11-22,301.0,301.5,298.4,299.3,2.0,299.0,46294.0,50016.0
2019-11-21,299.8,302.6,299.7,300.5,1.2,301.0,52400.0,63498.0
2019-11-20,301.8,302.9,299.4,299.7,2.2,299.8,56731.0,70860.0
2019-11-19,301.5,303.4,301.5,301.8,0.8,302.0,51217.0,86206.0
2019-11-18,307.3,307.9,300.6,301.5,5.9,301.2,76522.0,88589.0
2019-11-15,303.5,307.5,303.1,307.0,4.0,307.1,45413.0,91853.0
2019-11-14,303.9,305.0,301.6,303.1,1.0,303.1,49983.0,99817.0
2019-11-13,302.1,306.4,301.7,304.0,1.8,304.1,66810.0,108483.0
2019-11-12,300.6,303.2,300.5,302.6,1.7,302.3,61364.0,119123.0
2019-11-11,303.7,304.1,300.3,300.4,4.3,300.6,47430.0,123534.0
2019-11-08,305.6,306.4,301.8,304.9,0.7,304.9,85402.0,132614.0
2019-11-07,299.4,306.2,299.2,305.6,6.7,305.6,80771.0,147825.0
2019-11-06,302.6,303.0,298.5,299.0,3.8,298.9,60560.0,146223.0
2019-11-05,302.4,303.4,301.6,303.1,0.3,302.7,26739.0,146768.0
2019-11-04,303.9,304.3,302.0,302.2,1.5,302.4,37714.0,149904.0
2019-11-01,304.4,306.6,303.7,304.8,0.5,303.9,52027.0,150003.0
2019-10-31,302.5,305.2,301.5,304.5,2.2,304.4,48821.0,150919.0
2019-10-30,303.0,304.1,302.0,302.4,0.8,302.2,33707.0,148895.0
2019-10-29,304.1,305.8,302.2,304.1,1.0,303.0,47324.0,149249.0
2019-10-28,303.3,305.2,303.1,304.1,0.7,304.0,31028.0,151596.0
2019-10-25,305.8,307.3,303.0,305.3,2.3,303.3,44886.0,151845.0
2019-10-24,308.5,309.5,305.4,305.8,3.0,305.6,34617.0,154024.0
2019-10-23,307.1,309.4,305.9,308.9,1.7,308.6,42478.0,159651.0
2019-10-22,307.9,311.8,306.3,307.1,0.8,306.9,48980.0,158976.0
2019-10-21,308.0,311.3,306.6,307.7,0.8,307.7,30635.0,161121.0
2019-10-18,306.6,309.8,306.1,308.6,1.7,308.5,33054.0,160499.0
2019-10-17,304.8,308.7,303.5,306.8,2.0,306.8,45550.0,167745.0
2019-10-16,307.7,309.1,304.3,305.0,3.0,304.8,42026.0,169418.0
2019-10-15,310.3,311.9,307.6,307.8,3.1,307.8,45176.0,170744.0
2019-10-14,,307.3,,307.3,0.9,306.0,129.0,90.0
2019-10-11,308.9,308.9,307.5,307.5,2.8,306.9,177.0,276.0
2019-10-10,306.0,306.4,304.9,304.9,1.3,304.1,430.0,580.0
2019-10-09,306.4,307.2,305.6,305.6,3.1,305.4,1354.0,1245.0
2019-10-08,297.4,303.4,297.4,302.2,4.9,302.3,925.0,1468.0
2019-10-07,297.7,299.2,296.9,297.4,1.4,297.4,1386.0,1651.0
2019-10-04,298.2,299.6,297.7,298.5,0.8,298.8,1374.0,1693.0
2019-10-03,299.5,301.6,297.1,298.0,2.3,298.0,1890.0,2096.0
2019-10-02,302.3,303.5,300.2,300.5,3.8,300.3,2406.0,2483.0
2019-10-01,297.5,304.0,297.5,303.9,8.2,304.1,2369.0,3177.0
2019-09-30,290.0,297.2,289.8,295.4,6.0,295.9,4481.0,4549.0
2019-09-27,290.8,291.0,289.3,289.6,0.9,289.9,33752.0,17448.0
2019-09-26,292.7,295.7,290.5,290.5,2.4,290.8,38033.0,25583.0
