Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,3144.9,3154.5,3142.2,3153.5,10.1,3153.8,1565.0,27851.0
2019-11-26,3144.1,3144.5,3128.7,3144.0,11.0,3143.7,112.0,27848.0
2019-11-25,3116.0,3133.5,3116.0,3132.2,21.1,3132.7,1801.0,27181.0
2019-11-22,3114.0,3114.0,3099.0,3111.5,7.7,3111.6,562.0,27954.0
2019-11-21,3100.2,3114.0,3091.7,3104.0,5.1,3103.9,1121.0,27010.0
2019-11-20,3112.0,3118.0,3091.5,3109.0,9.5,3109.0,2303.0,27076.0
2019-11-19,3117.5,3132.0,3113.0,3118.5,3.3,3118.5,1565.0,27519.0
2019-11-18,3125.1,3127.3,3111.3,3121.0,3.5,3121.8,1274.0,26943.0
2019-11-15,3097.8,3120.0,3096.5,3118.5,21.4,3118.3,934.0,26476.0
2019-11-14,3098.0,3099.0,3082.0,3097.0,1.3,3096.9,2689.0,24735.0
2019-11-13,3087.5,3096.0,3076.5,3095.5,3.7,3095.6,966.0,24289.0
2019-11-12,3092.0,3101.5,3081.8,3092.0,4.5,3091.9,1680.0,23600.0
2019-11-11,3091.4,3091.5,3075.0,3087.0,3.2,3087.4,676.0,23125.0
2019-11-08,3089.9,3092.0,3074.0,3090.0,4.7,3090.6,1521.0,24297.0
2019-11-07,3076.5,3096.0,3070.8,3085.0,10.3,3085.9,2332.0,22884.0
2019-11-06,3070.7,3077.5,3064.0,3076.0,3.7,3075.6,569.0,22694.0
2019-11-05,3078.9,3085.0,3070.2,3072.0,3.8,3071.9,1701.0,22088.0
2019-11-04,3072.1,3083.0,3072.1,3075.5,12.5,3075.7,3583.0,20573.0
2019-11-01,3042.5,3064.5,3033.6,3062.5,27.4,3063.2,1972.0,21179.0
2019-10-31,3049.2,3051.3,3020.5,3036.0,12.0,3035.8,240.0,21701.0
2019-10-30,3034.3,3054.4,3025.0,3047.0,12.1,3047.8,1039.0,21304.0
2019-10-29,3037.2,3045.0,3030.1,3036.0,0.6,3035.7,1900.0,20973.0
2019-10-28,3023.8,3042.0,3023.2,3036.5,16.0,3036.3,1105.0,21141.0
2019-10-25,3004.9,3026.0,3000.7,3019.5,16.1,3020.3,455.0,21481.0
2019-10-24,3012.0,3015.0,2999.5,3003.5,1.5,3004.2,125.0,21469.0
2019-10-23,2985.0,3005.8,2982.6,3005.8,11.2,3005.7,1136.0,21025.0
2019-10-22,3008.7,3014.0,2988.7,2995.3,12.0,2994.5,2889.0,20435.0
2019-10-21,2985.0,3006.5,2984.5,3006.5,18.3,3006.5,1189.0,20654.0
2019-10-18,2996.5,3000.4,2977.0,2989.0,9.7,2988.2,1031.0,21632.0
2019-10-17,2992.9,3007.5,2985.9,2998.0,6.5,2997.9,523.0,21233.0
2019-10-16,2996.2,2997.1,2985.0,2992.5,6.3,2991.4,928.0,21082.0
2019-10-15,2969.8,3003.0,2968.2,2998.0,32.2,2997.7,564.0,20730.0
2019-10-14,2975.3,2982.0,2954.4,2965.5,5.3,2965.5,941.0,20149.0
2019-10-11,2948.0,2993.0,2942.5,2970.0,29.7,2970.8,1987.0,20358.0
2019-10-10,2914.7,2953.7,2882.6,2941.5,22.2,2941.1,891.0,20112.0
2019-10-09,2893.5,2929.5,2888.8,2918.0,26.3,2918.9,1473.0,19573.0
