Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2018-03-16,1585.1,1594.7,1579.0,1590.9,8.4,1588.75,10257.0,7493.0,,,
2018-03-15,1589.4,1593.1,1575.0,1582.5,-5.9,1582.87,12367.0,7495.0,,,
2018-03-14,1598.3,1607.5,1585.4,1588.4,-12.0,1591.99,11546.0,5079.0,,,
2018-03-13,1605.0,1615.7,1593.2,1600.4,-5.4,1602.95,12148.0,2919.0,,,
2018-03-12,1604.7,1610.5,1597.5,1605.8,4.9,1604.75,6045.0,1307.0,,,
2018-03-09,1580.0,1602.4,1573.9,1600.9,23.0,1594.0,5568.0,755.0,,,
2018-03-08,1577.0,1586.1,1567.2,1577.9,0.4,1577.89,770.0,617.0,,,
2018-03-07,1554.9,1581.5,1552.2,1577.5,14.6,1573.39,742.0,327.0,,,
2018-03-06,1559.0,1565.5,1541.4,1562.9,14.9,1552.38,108.0,289.0,,,
2018-03-05,1530.0,1554.0,1520.0,1548.0,14.5,1541.3,174.0,226.0,,,
2018-03-02,1503.3,1538.5,1497.4,1533.5,25.2,1519.62,317.0,245.0,,,
2018-03-01,1510.2,1525.2,1501.5,1508.3,-6.6,1510.54,416.0,137.0,,,
2018-02-28,1541.6,1541.9,1529.8,1514.9,-25.9,1539.47,68.0,104.0,,,
2018-02-27,1550.9,1551.5,1550.9,1540.8,-23.2,1550.97,80.0,27.0,,,
2018-02-26,1550.9,1555.1,1550.9,1564.0,11.1,1552.75,8.0,21.0,,,
2018-02-23,,,,1552.9,14.8,,8.0,13.0,,,
2018-02-22,,,,1538.1,8.3,,,13.0,,,
2018-02-21,1538.0,1538.0,1527.5,1529.8,-3.2,1532.75,3.0,13.0,,,
2018-02-20,,,,1533.0,-13.4,,,13.0,,,
2018-02-19,,,,1546.4,0.0,,,13.0,,,
2018-02-16,,,,1546.4,3.6,,,13.0,,,
2018-02-15,1536.0,1536.0,1536.0,1542.8,19.3,1536.0,2.0,11.0,,,
2018-02-14,,,,1523.5,24.8,,,11.0,,,
2018-02-13,,,,1498.7,3.8,,,11.0,,,
2018-02-12,1490.5,1500.9,1490.5,1494.9,15.2,1495.68,27.0,23.0,,,
2018-02-09,1466.9,1469.7,1464.3,1479.7,11.4,1464.96,32.0,17.0,,,
2018-02-08,1494.3,1501.2,1482.9,1468.3,-34.2,1494.63,9.0,17.0,,,
2018-02-07,,,,1502.5,-9.1,,4.0,21.0,,,
2018-02-06,1502.4,1502.4,1502.4,1511.6,46.3,1502.4,1.0,22.0,,,
2018-02-05,1536.0,1536.0,1474.0,1465.3,-82.8,1504.0,5.0,20.0,,,
2018-02-02,1550.0,1550.0,1550.0,1548.1,-37.8,1550.0,2.0,20.0,,,
2018-02-01,1580.2,1583.3,1579.8,1585.9,6.3,1580.81,8.0,19.0,,,
2018-01-31,,,,1579.6,-10.0,,,19.0,,,
2018-01-30,1591.6,1593.0,1589.3,1589.6,-11.6,1590.8,5.0,20.0,,,
2018-01-29,,,,1601.2,-11.8,,,20.0,,,
2018-01-26,,,,1613.0,5.7,,4.0,20.0,,,
2018-01-25,,,,1607.3,3.1,,,20.0,,,
2018-01-24,,,,1604.2,-11.7,,,20.0,,,
2018-01-23,,,,1615.9,6.4,,2.0,18.0,,,
2018-01-22,,,,1609.5,8.1,,,18.0,,,
2018-01-19,,,,1601.4,23.6,,,18.0,,,
2018-01-18,,,,1577.8,-13.6,,,18.0,,,
2018-01-17,,,,1591.4,11.6,,,18.0,,,
2018-01-16,,,,1579.8,-18.8,,,18.0,,,
2018-01-15,,,,1598.6,0.0,,,18.0,,,
2018-01-12,,,,1598.6,8.1,,,18.0,,,
2018-01-11,1577.2,1590.5,1577.2,1590.5,26.2,1585.95,27.0,20.0,,,
2018-01-10,1560.0,1560.0,1560.0,1564.3,1.2,1560.0,1.0,20.0,,,
2018-01-09,1568.3,1568.3,1568.3,1563.1,-1.8,1568.3,1.0,20.0,,,
2018-01-08,1566.4,1566.4,1566.4,1564.9,0.7,1566.4,1.0,20.0,,,
2018-01-05,,,,1564.2,4.9,,,20.0,,,
2018-01-04,,,,1559.3,1.1,,,20.0,,,
2018-01-03,,,,1558.2,7.0,,,20.0,,,
