Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,129.671875,129.6875,129.296875,129.359375,0.3125,129.375,1229993.0,509357.0
2019-11-26,129.546875,129.765625,129.359375,129.65625,0.171875,129.6875,2575771.0,1464844.0
2019-11-25,129.4375,129.59375,129.25,129.546875,0.0625,129.515625,2831402.0,2644286.0
2019-11-22,129.46875,129.703125,129.328125,129.4375,0.03125,129.453125,2287124.0,3054684.0
2019-11-21,129.875,130.0625,129.390625,129.46875,0.3125,129.484375,2494709.0,3534299.0
2019-11-20,129.453125,129.890625,129.4375,129.734375,0.359375,129.796875,2059447.0,3623269.0
2019-11-19,129.265625,129.5,129.15625,129.453125,0.109375,129.4375,1184855.0,3597292.0
2019-11-18,129.140625,129.453125,128.96875,129.265625,0.1875,129.328125,1126509.0,3608928.0
2019-11-15,129.265625,129.3125,129.015625,129.171875,0.203125,129.140625,940757.0,3617045.0
2019-11-14,128.734375,129.46875,128.6875,129.296875,0.453125,129.34375,1592125.0,3641292.0
2019-11-13,128.328125,128.921875,128.328125,128.75,0.359375,128.890625,1434583.0,3681836.0
2019-11-12,128.390625,128.578125,128.140625,128.359375,0.140625,128.53125,1310236.0,3663998.0
2019-11-11,,128.578125,128.21875,128.4375,,128.390625,336814.0,3672406.0
2019-11-08,128.421875,128.6875,128.109375,128.265625,,128.390625,1694127.0,3684565.0
2019-11-07,129.203125,129.375,127.984375,128.453125,0.9375,128.390625,2525842.0,3693475.0
2019-11-06,128.96875,129.390625,128.9375,129.234375,0.40625,129.328125,1414207.0,3729336.0
2019-11-05,129.625,129.65625,128.859375,128.984375,0.65625,128.921875,1720259.0,3719711.0
2019-11-04,130.03125,130.078125,129.53125,129.65625,0.4375,129.578125,1038499.0,3741968.0
2019-11-01,130.265625,130.484375,129.84375,130.125,0.28125,130.015625,1538019.0,3721984.0
2019-10-31,129.71875,130.40625,129.53125,130.296875,0.8125,130.296875,2099566.0,3735538.0
2019-10-30,129.234375,129.71875,129.109375,129.703125,0.21875,129.484375,1354593.0,3733168.0
2019-10-29,129.171875,129.359375,129.046875,129.21875,0.109375,129.265625,1042460.0,3701395.0
2019-10-28,129.578125,129.578125,129.046875,129.203125,0.375,129.15625,1056221.0,3683747.0
2019-10-25,129.859375,129.96875,129.359375,129.578125,0.3125,129.53125,1171909.0,3693814.0
2019-10-24,129.828125,130.0625,129.640625,129.84375,0.015625,129.84375,1238158.0,3597790.0
2019-10-23,129.875,130.140625,129.765625,129.796875,0.046875,129.859375,829156.0,3586057.0
2019-10-22,129.578125,129.859375,129.46875,129.84375,0.1875,129.8125,981249.0,3578379.0
2019-10-21,130.09375,130.125,129.53125,129.5625,0.40625,129.625,852440.0,3618672.0
2019-10-18,129.921875,130.171875,129.765625,129.9375,0.125,130.03125,834811.0,3587336.0
2019-10-17,130.03125,130.1875,129.515625,129.890625,0.078125,129.90625,1375205.0,3578603.0
2019-10-16,129.796875,130.234375,129.765625,130.03125,0.21875,129.984375,1417476.0,3552729.0
2019-10-15,130.28125,130.546875,129.703125,129.734375,0.453125,129.765625,1325740.0,3559879.0
2019-10-14,130.0625,130.59375,129.9375,130.265625,0.34375,130.21875,440509.0,3569147.0
2019-10-11,130.640625,130.8125,129.71875,130.078125,0.828125,129.875,1931813.0,3571717.0
2019-10-10,131.359375,131.75,130.59375,130.59375,0.578125,130.703125,1801812.0,3584055.0
2019-10-09,131.75,131.8125,131.25,131.3125,0.421875,131.28125,1141915.0,3597464.0
2019-10-08,131.484375,131.953125,131.203125,131.734375,0.1875,131.703125,1327456.0,3586316.0
2019-10-07,,131.984375,131.40625,131.484375,0.390625,131.515625,1048206.0,3586298.0
2019-10-04,131.703125,132.03125,131.484375,131.734375,0.15625,131.90625,1487653.0,3558107.0
2019-10-03,131.0625,131.96875,131.046875,131.71875,0.609375,131.75,1817743.0,3573755.0
2019-10-02,130.6875,131.25,130.4375,131.078125,0.484375,131.140625,1727363.0,3592771.0
2019-10-01,130.375,130.921875,129.625,130.6875,0.34375,130.65625,2093768.0,3580823.0
2019-09-30,130.21875,130.390625,130.03125,130.359375,0.078125,130.3125,1169847.0,3610309.0
2019-09-27,130.21875,130.40625,129.9375,130.265625,0.109375,130.390625,1231321.0,3574418.0
2019-09-26,129.921875,130.390625,129.90625,130.234375,0.328125,130.28125,1475901.0,3554081.0
2019-09-25,130.578125,130.75,129.890625,129.90625,0.765625,129.953125,1684006.0,3576269.0
2019-09-24,129.96875,130.78125,129.921875,130.609375,0.640625,130.71875,1628060.0,3550495.0
2019-09-23,129.765625,130.421875,129.578125,129.921875,0.390625,130.078125,1439367.0,3550141.0
2019-09-20,129.5,129.96875,129.375,129.921875,0.09375,129.6875,1133259.0,3541295.0
2019-09-19,128.53125,129.0625,128.453125,128.921875,0.109375,128.921875,3862.0,16528.0
2019-09-18,128.734375,129.25,128.640625,128.6875,0.09375,128.8125,1344.0,21147.0
2019-09-17,128.4375,128.875,128.4375,128.78125,0.1875,128.71875,2286.0,21535.0
2019-09-16,128.375,128.6875,128.25,128.484375,0.453125,128.53125,4831.0,25007.0
2019-09-13,128.953125,129.109375,128.015625,128.078125,0.8125,128.078125,2831.0,28791.0
2019-09-12,129.296875,129.8125,128.859375,129.03125,0.453125,128.890625,6863.0,31570.0
2019-09-11,129.375,129.5,129.203125,129.296875,0.21875,129.34375,5571.0,34549.0
2019-09-10,130.078125,130.21875,129.25,129.328125,0.6875,129.5625,12280.0,36888.0
2019-09-09,130.640625,130.703125,130.015625,130.078125,0.484375,130.25,12183.0,39590.0
2019-09-06,130.671875,130.828125,130.234375,130.71875,0.078125,130.734375,15121.0,44127.0
2019-09-05,131.53125,131.5625,130.453125,130.671875,0.953125,130.65625,37594.0,58210.0
2019-09-04,131.484375,131.65625,131.21875,131.5625,0.15625,131.609375,29789.0,71910.0
2019-09-03,131.25,131.71875,130.859375,131.5,0.40625,131.453125,75380.0,95606.0
2019-08-30,131.09375,131.140625,130.75,131.09375,0.09375,131.046875,132429.0,144873.0
2019-08-29,131.3125,131.53125,130.8125,131.078125,0.40625,130.953125,1091054.0,429071.0
2019-08-28,131.25,131.515625,131.125,131.265625,0.21875,131.359375,2231084.0,1190136.0
2019-08-27,130.859375,131.296875,130.84375,131.265625,0.359375,131.140625,3263389.0,2377816.0
2019-08-26,,131.609375,130.75,130.890625,0.171875,130.78125,2718261.0,3127165.0
2019-08-23,130.25,131.15625,129.875,130.890625,0.65625,130.953125,3110345.0,3601492.0
2019-08-22,130.46875,130.734375,130.125,130.25,0.234375,130.296875,1870226.0,3709038.0
2019-08-21,130.75,130.796875,130.328125,130.453125,0.203125,130.53125,1429574.0,3771342.0
2019-08-20,130.359375,130.953125,130.359375,130.8125,0.296875,130.734375,1187171.0,3832773.0
2019-08-19,130.8125,130.8125,130.296875,130.34375,0.484375,130.4375,1258327.0,3868811.0
2019-08-16,130.90625,131.09375,130.40625,130.8125,0.03125,130.921875,1491242.0,3871396.0
2019-08-15,130.4375,131.34375,130.3125,130.921875,0.4375,130.953125,2617449.0,3868617.0
2019-08-14,129.671875,130.6875,129.65625,130.484375,0.6875,130.515625,2040674.0,3849763.0
2019-08-13,130.28125,130.53125,129.53125,129.671875,0.546875,129.828125,2177933.0,3841011.0
2019-08-12,129.671875,130.453125,129.609375,130.296875,0.6875,130.375,1088787.0,3827976.0
2019-08-09,130.0,130.265625,129.546875,129.546875,0.234375,129.6875,1525513.0,3855797.0
2019-08-08,129.734375,130.015625,129.375,129.859375,0.234375,129.921875,1982809.0,3854522.0
2019-08-07,130.015625,130.859375,129.71875,129.734375,0.390625,130.15625,2803747.0,3851306.0
2019-08-06,130.15625,130.328125,129.46875,130.015625,0.078125,129.765625,2200449.0,3878866.0
2019-08-05,128.90625,130.0,128.84375,129.96875,0.984375,129.84375,2482131.0,3828225.0
2019-08-02,128.5625,129.140625,128.453125,128.9375,0.171875,128.859375,2262282.0,3830231.0
2019-08-01,127.5,128.8125,127.140625,128.671875,1.265625,128.6875,2986078.0,3811064.0
2019-07-31,127.359375,127.703125,127.015625,127.53125,0.078125,127.421875,2334795.0,3815758.0
2019-07-30,127.359375,127.546875,127.234375,127.359375,0.109375,127.34375,1100579.0,3807047.0
2019-07-29,,127.5,,127.359375,0.234375,127.453125,793543.0,3824311.0
2019-07-26,127.234375,127.375,127.03125,127.3125,0.0625,127.21875,952437.0,3852059.0
2019-07-25,127.53125,127.84375,127.078125,127.234375,0.234375,127.28125,1884570.0,3822161.0
2019-07-24,127.28125,127.671875,127.265625,127.546875,0.15625,127.515625,1082253.0,3788032.0
2019-07-23,127.5625,127.609375,127.28125,127.3125,0.234375,127.359375,1006059.0,3760183.0
2019-07-22,,127.6875,127.34375,127.53125,0.0625,127.59375,789520.0,3750542.0
2019-07-19,127.78125,127.859375,127.375,127.4375,0.109375,127.53125,1209067.0,3754136.0
2019-07-18,127.453125,127.8125,127.234375,127.796875,0.28125,127.640625,1646461.0,3748209.0
2019-07-17,127.03125,127.53125,126.96875,127.46875,0.4375,127.359375,1033963.0,3746744.0
2019-07-16,127.203125,127.25,126.71875,127.046875,0.25,126.921875,1259760.0,3735687.0
2019-07-15,,127.21875,126.84375,127.1875,0.0625,127.171875,866307.0,3746282.0
2019-07-12,126.859375,127.140625,126.78125,126.984375,0.125,127.109375,1107965.0,3744056.0
2019-07-11,127.4375,127.640625,126.75,126.828125,0.453125,126.984375,1692470.0,3737130.0
2019-07-10,127.234375,127.578125,126.859375,127.421875,0.140625,127.4375,1831485.0,3727904.0
2019-07-09,127.390625,127.5,127.15625,127.21875,0.203125,127.296875,1170524.0,3720427.0
2019-07-08,,127.734375,127.328125,127.359375,0.03125,127.5,1141586.0,3764811.0
2019-07-05,128.25,128.40625,127.265625,127.5625,0.78125,127.46875,1926122.0,3741485.0
2019-07-03,128.15625,128.4375,128.140625,128.234375,0.109375,128.25,1169097.0,3753144.0
2019-07-02,127.75,128.171875,127.71875,128.140625,0.453125,128.140625,1110263.0,3817987.0
2019-07-01,,127.96875,127.53125,127.734375,0.28125,127.6875,1401147.0,3762277.0
2019-06-28,127.859375,128.0,127.6875,127.90625,0.03125,127.96875,1244715.0,3797310.0
2019-06-27,127.625,127.953125,127.375,127.84375,0.34375,127.9375,1306877.0,3766196.0
2019-06-26,128.171875,128.1875,127.5625,127.625,0.53125,127.59375,1313836.0,3766839.0
2019-06-25,127.96875,128.25,127.890625,128.15625,0.1875,128.125,1573738.0,3776380.0
2019-06-24,127.640625,127.984375,127.53125,127.96875,0.421875,127.9375,906683.0,3874534.0
2019-06-21,127.796875,128.015625,127.4375,127.609375,0.546875,127.515625,1518917.0,3856381.0
2019-06-20,127.875,128.265625,127.671875,127.78125,0.203125,128.0625,2131809.0,3785985.0
2019-06-19,127.015625,127.15625,126.828125,126.90625,0.234375,126.90625,743.0,13712.0
2019-06-18,126.90625,127.515625,126.875,127.171875,0.171875,127.140625,3318.0,13760.0
2019-06-17,126.875,127.046875,126.75,126.90625,0.03125,126.96875,6813.0,25451.0
2019-06-14,127.078125,127.28125,126.8125,127.0,0.0625,126.9375,5113.0,29158.0
2019-06-13,126.703125,127.078125,126.6875,126.96875,0.359375,127.0,9266.0,48972.0
2019-06-12,126.4375,126.734375,126.421875,126.703125,0.203125,126.640625,6613.0,50028.0
2019-06-11,126.390625,126.484375,126.203125,126.390625,,126.4375,8523.0,51940.0
2019-06-10,126.578125,126.6875,126.390625,126.390625,0.453125,126.4375,12131.0,55854.0
2019-06-07,126.65625,127.25,126.546875,126.890625,0.28125,126.890625,13556.0,57331.0
2019-06-06,126.625,126.90625,126.515625,126.640625,0.03125,126.609375,26921.0,64665.0
2019-06-05,126.4375,127.0625,126.40625,126.546875,0.046875,126.640625,68014.0,77567.0
2019-06-04,126.953125,127.046875,126.328125,126.484375,0.296875,126.59375,80561.0,102000.0
2019-06-03,126.3125,127.078125,126.3125,126.9375,0.515625,126.890625,160654.0,133300.0
2019-05-31,125.75,126.5,125.734375,126.453125,0.6875,126.375,374496.0,244328.0
2019-05-30,125.375,125.8125,125.203125,125.78125,0.0625,125.6875,1372405.0,683972.0
2019-05-29,125.40625,125.84375,125.34375,125.375,0.234375,125.625,3113055.0,1539147.0
2019-05-28,125.015625,125.453125,124.90625,125.40625,0.5,125.390625,4206876.0,2921923.0
2019-05-24,124.9375,125.078125,124.84375,125.015625,0.3125,124.890625,2796653.0,3282503.0
2019-05-23,124.5,125.21875,124.46875,124.953125,0.765625,125.203125,3059969.0,3770585.0
2019-05-22,124.140625,124.515625,124.09375,124.484375,0.296875,124.4375,1440120.0,3882123.0
2019-05-21,124.28125,124.359375,124.03125,124.140625,0.140625,124.140625,1206708.0,3974469.0
2019-05-20,124.5,124.59375,124.25,124.28125,0.203125,124.28125,1224508.0,4019493.0
2019-05-17,124.515625,124.78125,124.359375,124.515625,0.0625,124.484375,1284879.0,4043393.0
2019-05-16,124.6875,124.84375,124.3125,124.515625,0.25,124.421875,1330054.0,4075970.0
2019-05-15,124.390625,124.84375,124.3125,124.703125,0.34375,124.671875,1767457.0,4035339.0
2019-05-14,124.40625,124.53125,124.25,124.390625,0.09375,124.328125,1243678.0,4034953.0
2019-05-13,124.09375,124.5625,124.0,124.4375,0.4375,124.421875,1763309.0,4014195.0
2019-05-10,124.0625,124.21875,123.828125,123.875,,123.984375,2008818.0,3994074.0
2019-05-09,123.734375,124.265625,123.734375,124.0625,0.234375,123.984375,2026109.0,3992252.0
2019-05-08,123.921875,124.1875,123.65625,123.75,0.265625,123.75,1943637.0,3950222.0
2019-05-07,123.9375,124.03125,123.609375,123.9375,0.390625,124.015625,1728979.0,3912213.0
2019-05-06,123.5625,124.109375,123.5625,123.84375,0.28125,123.625,1373314.0,3883169.0
2019-05-03,123.25,123.46875,122.9375,123.390625,0.171875,123.34375,1414188.0,3917946.0
2019-05-02,123.609375,123.65625,123.15625,123.25,0.40625,123.171875,1507510.0,4009587.0
2019-05-01,123.6875,124.125,123.46875,123.609375,0.09375,123.578125,1843986.0,3969538.0
2019-04-30,123.515625,123.71875,123.3125,123.6875,0.234375,123.671875,1823769.0,3997258.0
2019-04-29,123.671875,123.703125,123.390625,123.5,0.234375,123.4375,883963.0,4011650.0
2019-04-26,123.390625,123.75,123.28125,123.703125,0.28125,123.671875,1435073.0,4009094.0
2019-04-25,123.515625,123.5625,123.328125,123.40625,0.140625,123.390625,1026872.0,3999824.0
2019-04-24,123.140625,123.578125,123.109375,123.515625,0.40625,123.53125,1253989.0,3996690.0
2019-04-23,122.953125,123.203125,122.90625,123.15625,0.1875,123.125,915189.0,3998273.0
2019-04-22,123.125,123.171875,122.921875,122.9375,0.203125,122.9375,576339.0,3978326.0
2019-04-18,122.859375,123.234375,122.84375,123.109375,0.28125,123.140625,1392230.0,3991068.0
2019-04-17,122.84375,122.9375,122.640625,122.828125,0.03125,122.859375,1453007.0,3975968.0
2019-04-16,123.15625,123.203125,122.796875,122.84375,0.328125,122.828125,1268650.0,3967129.0
2019-04-15,123.046875,123.203125,122.96875,123.140625,0.0625,123.15625,977356.0,3990671.0
2019-04-12,123.609375,123.671875,123.03125,123.03125,0.46875,123.09375,1543324.0,4005519.0
2019-04-11,123.84375,123.859375,123.515625,123.59375,0.234375,123.5625,1101037.0,3966418.0
2019-04-10,123.59375,123.921875,123.53125,123.859375,0.15625,123.796875,1295398.0,3920906.0
2019-04-09,123.453125,123.75,123.40625,123.59375,0.1875,123.640625,1196818.0,3888430.0
2019-04-08,123.625,123.703125,123.421875,123.4375,0.140625,123.453125,841357.0,3888331.0
2019-04-05,123.515625,123.6875,123.265625,123.609375,0.046875,123.59375,1359859.0,3886188.0
2019-04-04,123.4375,123.703125,123.421875,123.53125,0.046875,123.546875,1065122.0,3862856.0
2019-04-03,123.8125,123.84375,123.40625,123.421875,0.265625,123.5,1479243.0,3856055.0
2019-04-02,123.625,123.859375,123.609375,123.796875,0.15625,123.765625,1290131.0,3894755.0
2019-04-01,124.15625,124.171875,123.515625,123.5625,0.609375,123.609375,1644240.0,3860346.0
2019-03-29,124.40625,124.453125,124.078125,124.25,0.28125,124.21875,1794013.0,3947391.0
2019-03-28,124.703125,124.953125,124.328125,124.390625,0.1875,124.5,1650487.0,3941772.0
2019-03-27,124.3125,124.96875,124.265625,124.703125,0.28125,124.6875,2004162.0,3936784.0
2019-03-26,124.484375,124.515625,124.0625,124.3125,0.078125,124.40625,1842370.0,3916510.0
2019-03-25,124.0625,124.671875,123.875,124.5,0.296875,124.328125,2016631.0,3915144.0
