Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,530.75,533.25,526.0,526.25,4.25,526.75,52888.0,191610.0
2019-11-26,532.5,532.75,525.75,530.75,2.0,531.0,70772.0,195766.0
2019-11-25,518.75,534.75,518.75,531.5,14.25,533.0,93819.0,185664.0
2019-11-22,512.0,522.0,511.25,517.75,6.75,518.75,55380.0,180641.0
2019-11-21,518.0,522.75,511.0,511.0,6.75,512.0,54240.0,179072.0
2019-11-20,515.25,519.0,511.5,518.25,3.5,518.75,43344.0,175209.0
2019-11-19,509.5,518.75,509.25,515.25,4.5,515.25,75427.0,165276.0
2019-11-18,506.5,513.5,501.75,510.25,4.75,510.75,56436.0,162046.0
2019-11-15,511.0,511.5,504.75,506.0,5.0,506.0,42216.0,155872.0
2019-11-14,513.0,516.5,509.25,510.75,2.75,511.0,47489.0,153179.0
2019-11-13,521.25,521.5,511.0,513.5,8.0,513.75,49692.0,150782.0
2019-11-12,510.5,522.25,509.5,521.0,11.25,521.75,57391.0,140754.0
2019-11-11,512.0,514.25,508.75,511.0,3.75,510.5,54029.0,129933.0
2019-11-08,517.25,521.5,509.5,514.25,3.0,514.25,48911.0,122451.0
2019-11-07,522.0,524.5,515.75,517.0,4.25,517.25,43870.0,119168.0
2019-11-06,521.0,525.75,518.75,518.0,1.25,521.5,29948.0,117061.0
2019-11-05,517.0,521.5,515.25,520.25,4.0,520.25,25286.0,116000.0
2019-11-04,520.25,520.75,514.5,516.5,5.5,516.25,17332.0,110955.0
2019-11-01,514.5,522.5,512.75,520.25,7.0,521.75,22307.0,109015.0
2019-10-31,515.5,517.75,507.0,514.75,0.25,514.75,22521.0,106805.0
2019-10-30,517.25,519.25,512.75,515.75,2.5,515.0,14347.0,105677.0
2019-10-29,519.0,521.75,514.5,517.25,0.5,517.5,23007.0,103547.0
2019-10-28,522.75,522.75,516.5,519.25,5.5,518.0,20750.0,103700.0
2019-10-25,522.0,527.25,519.75,521.75,2.25,523.5,15578.0,102053.0
2019-10-24,527.25,528.75,520.75,520.0,4.75,521.25,13382.0,101751.0
2019-10-23,524.25,529.25,521.75,526.75,1.75,526.0,14771.0,103600.0
2019-10-22,529.75,537.5,523.25,523.75,5.25,524.25,21075.0,103421.0
2019-10-21,534.75,539.25,528.75,529.75,7.5,529.5,19194.0,104035.0
2019-10-18,530.5,537.25,525.75,535.25,6.75,537.0,16301.0,106740.0
2019-10-17,518.75,530.75,517.75,529.75,12.0,530.25,22706.0,107377.0
2019-10-16,512.0,519.0,510.75,519.0,5.0,518.25,23712.0,106175.0
2019-10-15,514.75,517.0,510.75,513.75,3.5,513.25,10471.0,106387.0
2019-10-14,518.5,520.5,512.75,516.75,2.75,516.75,19897.0,105988.0
2019-10-11,499.0,518.5,498.0,515.25,14.25,514.0,29496.0,103221.0
2019-10-10,506.0,510.5,494.5,497.75,7.25,499.75,22735.0,102495.0
2019-10-09,506.5,510.75,504.0,508.0,0.75,507.0,16673.0,101791.0
2019-10-08,497.25,509.75,494.0,507.75,11.25,507.75,19557.0,95812.0
2019-10-07,498.5,500.75,495.5,497.25,1.0,496.5,13410.0,92690.0
2019-10-04,,499.0,493.5,498.25,1.25,497.5,8746.0,91537.0
2019-10-03,495.0,500.0,493.25,495.75,,496.25,9398.0,90660.0
2019-10-02,503.25,506.0,492.5,495.75,9.5,496.25,18288.0,89594.0
2019-10-01,504.0,506.0,496.75,504.0,3.25,505.75,19146.0,85685.0
2019-09-30,495.0,507.0,490.25,502.5,8.75,502.5,27204.0,84340.0
2019-09-27,492.0,497.0,488.75,493.75,3.5,493.75,12915.0,82856.0
2019-09-26,483.25,492.5,483.0,492.0,6.5,490.25,10893.0,80839.0
2019-09-25,488.5,488.75,482.75,484.0,4.75,483.75,11456.0,79381.0
2019-09-24,488.25,490.25,484.25,487.25,1.5,488.5,12925.0,80070.0
2019-09-23,491.5,494.25,488.0,488.25,1.0,490.0,6233.0,79489.0
2019-09-20,493.25,497.25,490.25,491.5,3.25,491.0,9797.0,78435.0
2019-09-19,495.75,497.5,490.75,493.25,1.5,494.25,12409.0,75877.0
2019-09-18,490.5,498.75,488.75,495.75,5.0,495.75,15486.0,74364.0
2019-09-17,494.25,494.25,487.75,491.5,4.5,490.75,10979.0,74162.0
2019-09-16,494.25,496.25,488.5,495.25,5.75,495.25,12671.0,75836.0
2019-09-13,485.5,491.0,480.5,482.75,0.25,483.5,47789.0,210001.0
2019-09-12,479.0,486.0,472.5,485.0,6.25,483.75,58231.0,210545.0
2019-09-11,481.5,482.5,475.0,477.75,4.75,477.5,42657.0,214378.0
2019-09-10,475.75,483.5,473.75,482.0,7.75,482.25,51432.0,215258.0
2019-09-09,461.0,476.0,460.25,474.0,10.75,474.5,61479.0,208522.0
2019-09-06,466.0,466.75,460.25,462.5,2.5,463.75,32759.0,209758.0
2019-09-05,460.5,469.5,460.25,466.75,5.5,466.25,44185.0,210343.0
2019-09-04,454.0,465.0,454.0,460.75,7.25,460.75,63209.0,208434.0
2019-09-03,463.0,463.0,450.5,454.5,9.0,453.5,73005.0,204836.0
2019-08-30,472.75,472.75,459.25,462.5,10.25,462.5,85252.0,204386.0
2019-08-29,475.0,477.5,471.75,472.75,2.5,472.75,34127.0,201718.0
2019-08-28,477.25,478.25,468.75,475.0,1.5,475.25,50120.0,201836.0
2019-08-27,474.5,479.75,472.75,476.0,1.5,476.75,47881.0,197794.0
2019-08-26,476.0,481.25,472.75,474.75,2.5,475.25,46103.0,195482.0
2019-08-23,471.25,478.5,465.75,477.0,6.0,477.75,53277.0,193706.0
2019-08-22,468.0,474.5,466.0,472.0,3.75,471.75,43705.0,191614.0
2019-08-21,466.5,468.75,461.75,468.0,1.5,468.0,49005.0,186752.0
2019-08-20,471.0,475.75,463.5,466.0,6.0,466.5,53172.0,186118.0
2019-08-19,475.25,476.75,471.0,471.0,5.0,472.5,49683.0,181511.0
2019-08-16,476.0,478.75,474.0,476.5,3.0,477.5,46171.0,177462.0
2019-08-15,480.75,482.0,473.25,473.5,3.75,474.5,52906.0,166698.0
2019-08-14,478.5,483.5,475.75,479.25,2.5,478.25,53682.0,165043.0
2019-08-13,474.0,481.75,469.5,476.25,0.5,475.75,60140.0,153360.0
2019-08-12,502.25,503.75,471.5,477.0,25.25,476.25,72159.0,143258.0
2019-08-09,499.25,506.25,497.5,500.5,1.5,501.5,58763.0,137934.0
2019-08-08,492.25,503.0,488.5,499.5,8.75,500.0,61157.0,135333.0
2019-08-07,487.75,493.0,482.25,491.0,3.5,491.25,40280.0,136724.0
2019-08-06,493.0,496.25,486.0,486.5,7.0,487.75,39013.0,137174.0
2019-08-05,491.0,495.5,480.75,493.75,3.25,494.75,38950.0,135364.0
2019-08-02,484.0,492.5,480.5,492.0,10.75,491.5,48271.0,130899.0
2019-08-01,493.0,494.0,476.5,480.5,12.5,480.75,41575.0,126602.0
2019-07-31,502.0,505.25,490.75,492.5,9.75,493.25,34800.0,120148.0
2019-07-30,507.5,508.5,501.0,505.5,5.5,503.0,23584.0,119710.0
2019-07-29,503.0,512.5,501.0,509.25,4.25,508.5,32675.0,116031.0
2019-07-26,507.0,507.75,501.25,504.0,3.0,504.25,19367.0,114305.0
2019-07-25,505.0,515.0,500.75,507.75,0.5,507.25,35593.0,115552.0
2019-07-24,498.25,508.0,498.25,505.0,8.5,506.75,33899.0,114856.0
2019-07-23,499.0,505.0,495.0,498.25,0.75,498.25,25482.0,113476.0
2019-07-22,515.0,515.0,498.5,499.25,14.5,499.0,23951.0,115164.0
2019-07-19,506.0,527.0,504.5,520.0,8.25,513.5,22042.0,113879.0
2019-07-18,516.0,516.75,505.0,506.0,12.0,505.25,19648.0,113240.0
2019-07-17,519.25,525.0,513.75,516.75,2.0,517.25,13250.0,112001.0
2019-07-16,520.25,522.0,513.25,519.5,0.75,519.25,17935.0,109942.0
2019-07-15,536.5,543.0,518.25,521.5,15.0,520.0,22378.0,107666.0
