Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-11-27,28106.0,28158.0,28050.0,28144.0,,28143.0,365.0,5573.0
2019-11-26,28005.0,28130.0,27990.0,28125.0,,28123.0,193.0,5518.0
2019-11-25,,28035.0,27896.0,28025.0,,28030.0,805.0,5055.0
2019-11-22,27736.0,27853.0,27719.0,27846.0,,27850.0,195.0,5055.0
2019-11-21,27721.0,27830.0,27648.0,27736.0,,27736.0,302.0,5045.0
2019-11-20,27838.0,27864.0,27634.0,27784.0,,27788.0,259.0,5042.0
2019-11-19,27986.0,28108.0,27842.0,27877.0,,27886.0,295.0,5022.0
2019-11-18,27947.0,28041.0,27918.0,28001.0,,27997.0,457.0,4745.0
2019-11-15,27732.0,27955.0,27732.0,27955.0,,27944.0,333.0,4721.0
2019-11-14,27750.0,27785.0,27624.0,27742.0,,27735.0,408.0,4457.0
2019-11-13,27622.0,27764.0,27518.0,27753.0,,27751.0,197.0,4456.0
2019-11-12,27620.0,27721.0,27594.0,27649.0,,27654.0,151.0,4415.0
2019-11-11,27620.0,27654.0,27470.0,27650.0,,27646.0,128.0,4392.0
2019-11-08,27665.0,27700.0,27535.0,27630.0,,27622.0,118.0,4383.0
2019-11-07,27409.0,27718.0,27380.0,27660.0,,27655.0,389.0,4331.0
2019-11-06,27403.0,27454.0,27330.0,27430.0,,27418.0,91.0,4298.0
2019-11-05,27371.0,27479.0,27366.0,27411.0,,27412.0,173.0,4276.0
2019-11-04,27280.0,27432.0,27280.0,27375.0,,27371.0,89.0,4261.0
2019-11-01,26962.0,27262.0,26957.0,27261.0,,27247.0,184.0,4261.0
2019-10-31,27145.0,27154.0,26842.0,26973.0,,26970.0,104.0,4243.0
2019-10-30,27055.0,27205.0,26936.0,27165.0,,27120.0,137.0,4235.0
2019-10-29,27030.0,27092.0,26966.0,27043.0,,27033.0,326.0,4020.0
2019-10-28,26930.0,27114.0,26928.0,27032.0,,27040.0,89.0,3989.0
