Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2020-02-14,7401.0,7424.5,7339.5,7359.0,100035.0,730384.0
2020-02-13,7476.5,7480.0,7356.0,7390.0,134641.0,724215.0
2020-02-12,7428.0,7492.0,7428.0,7469.0,77091.0,720137.0
2020-02-11,7417.0,7465.0,7411.5,7444.5,77938.0,724265.0
2020-02-10,7379.5,7402.5,7361.0,7382.5,73299.0,716295.0
2020-02-07,7440.0,7448.0,7375.0,7401.5,76393.0,710425.0
2020-02-06,7437.0,7474.0,7419.0,7445.0,79116.0,705764.0
2020-02-05,7345.0,7447.5,7333.0,7419.5,107320.0,705942.0
2020-02-04,7260.5,7378.5,7260.5,7375.0,101429.0,706511.0
2020-02-03,7216.5,7300.0,7211.5,7275.0,121137.0,704491.0
2020-01-31,7370.0,7378.0,7164.0,7217.5,133756.0,704965.0
2020-01-30,7403.5,7404.0,7291.0,7316.0,129246.0,700289.0
2020-01-29,7415.0,7450.0,7396.0,7425.5,68819.0,703607.0
2020-01-28,7339.5,7426.5,7339.5,7417.5,102530.0,712036.0
2020-01-27,7441.5,7452.5,7326.5,7346.0,127544.0,708723.0
2020-01-24,7501.0,7579.0,7474.0,7526.5,103531.0,704706.0
2020-01-23,7499.5,7509.5,7437.5,7439.5,90066.0,702907.0
2020-01-22,7536.5,7575.0,7496.0,7500.5,87091.0,708631.0
2020-01-21,7594.0,7594.0,7484.5,7544.5,95097.0,710010.0
2020-01-20,7625.5,7629.5,7575.5,7586.0,55069.0,709792.0
2020-01-17,7570.0,7627.5,7557.0,7612.5,91411.0,702915.0
2020-01-16,7573.5,7592.5,7531.0,7542.0,81555.0,701884.0
2020-01-15,7558.5,7580.5,7543.0,7575.0,69453.0,701503.0
2020-01-14,7577.0,7586.5,7522.0,7562.0,91459.0,701780.0
2020-01-13,7523.0,7572.0,7516.0,7545.5,74504.0,699075.0
2020-01-10,7565.0,7570.0,7499.0,7529.5,71793.0,694813.0
2020-01-09,7531.0,7565.0,7518.0,7531.5,71066.0,697673.0
2020-01-08,7447.0,7545.5,7426.5,7505.5,89728.0,702403.0
2020-01-07,7530.0,7558.0,7498.0,7508.5,73673.0,702203.0
2020-01-06,7515.0,7536.5,7463.0,7505.0,80498.0,710626.0
2020-01-03,7573.5,7574.5,7487.0,7549.5,80618.0,710924.0
2020-01-02,7513.0,7571.0,7491.5,7545.5,91329.0,714672.0
2019-12-31,7513.5,7520.0,7473.0,7499.0,35560.0,715112.0
2019-12-30,7580.0,7587.0,7512.0,7536.0,63261.0,714515.0
2019-12-27,7599.0,7625.5,7567.5,7586.5,59354.0,715552.0
2019-12-26,,,,7578.0,,715208.0
2019-12-24,7567.0,7582.5,7554.0,7578.0,17852.0,716298.0
2019-12-23,7522.0,7573.0,7500.0,7564.0,59822.0,715314.0
2019-12-20,7531.0,7553.5,7505.0,7520.0,112102.0,721983.0
2019-12-19,7556.0,7583.0,7525.5,7575.5,110287.0,122224.0
2019-12-18,7513.5,7558.5,7498.5,7555.0,172871.0,231056.0
2019-12-17,7511.0,7544.5,7497.0,7524.5,322192.0,448058.0
2019-12-16,7387.5,7555.0,7373.5,7547.0,303431.0,582379.0
2019-12-13,7265.0,7431.0,7241.5,7350.0,232449.0,633502.0
2019-12-12,7227.0,7309.5,7218.5,7288.0,172904.0,693551.0
2019-12-11,7207.5,7253.0,7194.0,7215.5,94241.0,709428.0
2019-12-10,7237.0,7243.5,7136.5,7216.5,106664.0,716636.0
2019-12-09,7213.5,7256.5,7210.0,7229.5,69809.0,726604.0
2019-12-06,7159.0,7246.0,7148.5,7240.5,87668.0,729877.0
